Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,EPSBasic,ShareRepurchases,BookValuePerShare,StoreCount,CompStoreSalesGrowth
FY2013,2437.9,,725.3,29.7,139.5,5.7,186.7,51.3,2.1,0.37,160.6,87.5,73.1,513.8,1172.4,658.6,688.1,77.7,139.8,,,millions,USD,0.38,0.1,3.67,178,
FY2014,2967.4,,885.2,29.8,199.7,6.7,260.1,107.7,3.6,0.70,181.2,127.1,54.1,685.4,1369.1,683.7,348.0,130.5,154.3,,,millions,USD,0.72,0.0,4.44,203,
FY2015,3593.0,,1051.6,29.3,228.8,6.4,298.0,129.0,3.6,0.83,239.9,125.3,114.6,823.0,1426.4,603.4,261.3,136.1,155.9,,,millions,USD,0.84,25.7,5.28,217,
FY2016,4046.4,,1182.0,29.2,212.9,5.3,293.3,124.3,3.1,0.83,254.4,181.0,73.4,672.9,1439.9,767.0,95.0,12.5,149.7,,,millions,USD,0.84,294.3,4.50,253,
FY2017,4664.6,,1262.7,27.1,188.0,4.0,268.7,99.5,2.1,0.67,236.8,185.7,51.1,650.7,1581.6,930.9,348.0,22.9,148.0,,,millions,USD,0.68,0.0,4.40,285,
FY2018,5207.3,,1411.1,27.1,189.4,3.6,300.1,100.5,1.9,0.67,276.1,196.3,79.8,589.2,1675.6,1086.4,453.0,104.3,150.5,,,millions,USD,0.68,0.0,3.91,313,2.1
FY2019,5634.8,,1894.8,33.6,217.4,3.9,337.9,149.6,2.7,1.25,399.6,183.2,216.4,855.2,1844.2,989.0,255.0,260.1,119.7,,,millions,USD,1.25,176.3,7.14,340,1.1
FY2020,6468.8,,2379.3,36.8,391.7,6.1,515.8,287.5,4.4,2.43,423.8,121.9,301.9,881.3,2806.4,1925.1,250.0,267.7,118.2,,,millions,USD,2.44,0.0,7.45,362,6.9
FY2021,6099.9,,2209.2,36.2,334.1,5.5,456.4,244.2,4.0,2.10,425.8,102.4,323.4,959.9,2923.1,1963.2,250.0,295.8,116.1,,,millions,USD,2.12,188.3,8.27,374,-6.7
FY2022,6404.2,,2348.6,36.7,358.4,5.6,481.9,261.2,4.1,2.39,424.2,124.0,300.2,1046.5,3070.4,2024.0,250.0,402.7,109.1,,,millions,USD,2.41,200.0,9.59,386,2.2
FY2023,6837.4,,2521.8,36.9,350.2,5.1,482.1,258.9,3.8,2.50,465.1,225.3,239.8,1148.5,3327.4,2178.9,125.0,201.8,103.4,,,millions,USD,2.53,203.5,11.11,407,3.4
Q1-2024,1884.0,,711.9,37.8,72.1,3.8,,52.8,2.8,0.46,,,,1211.0,3472.4,2261.4,0.0,310.6,99.3,,,millions,USD,0.46,,12.20,414,5.4
Q2-2024,1893.5,,716.4,37.8,72.3,3.8,,56.7,3.0,0.49,,,,1269.3,3410.5,2141.2,0.0,194.0,99.3,,,millions,USD,0.49,,12.78,419,6.7
Q3-2024,1945.7,,728.5,37.4,78.5,4.0,,87.5,4.5,0.76,,,,1343.5,3585.5,2242.0,0.0,309.7,99.3,,,millions,USD,0.77,,13.53,428,8.4
FY2024,7719.3,,2941.5,38.1,504.5,6.5,644.7,380.6,4.9,3.75,645.2,230.4,414.8,1321.9,3640.7,2318.8,0.0,265.2,99.3,,,millions,USD,3.79,228.5,13.31,440,7.6
Q1-2025,2236.4,,886.4,39.6,226.3,10.1,,180.0,8.0,1.81,299.1,59.5,239.6,1288.0,3738.3,2450.3,0.0,285.7,98.2,,,millions,USD,1.83,,13.12,443,11.7
Q2-2025,2220.6,,862.6,38.8,179.4,8.1,,133.7,6.0,1.35,,,,1356.5,3783.2,2426.7,0.0,261.4,97.8,,,millions,USD,1.37,,13.87,455,10.2
Q3-2025,2200.4,,851.1,38.7,157.4,7.2,,120.1,5.5,1.22,,,,1434.6,4013.1,2578.6,0.0,322.4,97.5,,,millions,USD,1.23,,14.71,464,5.9
FY2025,8806.2,,3416.4,38.8,686.2,7.8,844.0,523.7,5.9,5.31,716.0,248.3,467.7,1403.1,4158.6,2755.6,0.0,257.3,95.9,,,millions,USD,5.36,471.9,14.63,477,7.3
Q1-2026,2329.2,,917.3,39.4,215.3,9.2,,163.7,7.0,1.71,235.3,101.2,134.1,1434.2,4269.4,2835.1,0.0,252.2,94.6,,,millions,USD,1.73,,15.16,483,-1.7
