Period,ProcessedVolume,NetRevenue,TakeRate,EBITDA,EBITDAMargin,NetIncome,NetMargin,EPS_Basic,EPS_Diluted,CapEx,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,PayablesToMerchants,SharesOutstanding,FTE
H1 2018,70.0,156.4,22.3,70.3,44.9,48.2,30.8,1.64,1.58,7.5,62.7,483.1,,943.1,819.5,30.5,768
H2 2018,89.0,192.5,21.6,111.7,58.0,83.0,43.1,2.81,2.71,6.3,105.4,582.4,,1231.9,1186.9,30.6,873
FY2018,159.0,348.9,21.9,181.9,52.1,131.1,37.6,,,13.8,168.1,582.4,,1231.9,1186.9,30.6,873
H1 2019,104.6,221.1,21.1,125.8,56.9,92.5,41.8,3.13,3.02,8.2,117.6,661.3,,1337.7,1229.2,30.7,987
H2 2019,135.0,275.6,20.4,153.5,55.7,111.5,40.5,3.76,3.67,11.8,141.7,868.3,50.9,1745.4,1521.4,30.4,1182
FY2019,239.6,496.7,20.7,279.3,56.2,204.0,41.1,,,20.0,259.3,868.3,50.9,1745.4,1521.4,30.4,1182
H1 2020,129.1,279.9,21.7,140.9,50.3,78.4,28.0,2.59,2.55,6.3,129.3,977.0,132.7,2080.4,1905.7,30.2,
H2 2020,174.5,379.4,21.7,236.8,62.4,163.1,43.0,5.39,5.32,15.6,217.0,1218.1,131.5,2737.5,2588.9,30.5,1747
FY2020,303.6,684.2,22.5,402.5,58.8,261.0,38.1,,,21.9,346.3,1218.1,131.5,2737.5,2588.9,30.5,1747
H1 2021,216.0,445.0,20.6,272.7,61.3,204.8,46.0,6.73,6.69,21.7,246.4,1436.4,128.4,3344.9,,30.4,
H2 2021,300.0,556.5,18.6,357.2,64.2,264.9,47.6,8.68,8.63,32.6,298.2,1810.4,143.0,4616.1,3608.5,30.5,2180
FY2021,516.0,1001.5,19.4,629.9,62.9,469.7,46.9,,,54.3,544.6,1810.4,143.0,4616.1,3608.5,30.5,2180
H1 2022,345.8,608.5,17.6,356.3,58.6,282.1,46.4,9.11,9.09,40.0,308.9,2100.4,175.8,5584.1,,31.0,2575
H2 2022,421.7,721.6,17.1,372.0,51.6,282.0,39.1,9.10,9.08,59.1,298.2,2412.1,203.1,6522.3,4795.8,31.0,3332
FY2022,767.5,1330.2,17.3,728.3,54.7,564.1,42.4,,,99.1,607.1,2412.1,203.1,6522.3,4795.8,31.0,3332
H1 2023,426.0,739.1,17.3,320.0,43.3,282.2,38.2,9.10,9.07,56.1,247.7,2734.0,207.1,6411.6,,31.0,
H2 2023,544.1,887.0,16.3,423.0,47.7,416.1,46.9,13.42,13.36,13.6,391.8,3159.6,223.1,8307.0,5953.6,31.0,4196
FY2023,970.1,1626.1,16.8,743.0,45.7,698.3,42.9,,,69.7,639.5,3159.6,223.1,8307.0,5953.6,31.0,4196
H1 2024,619.5,913.4,14.7,423.1,46.3,409.6,44.8,13.19,13.15,42.3,360.6,3575.8,224.3,8735.3,,31.0,
H2 2024,666.4,1082.7,16.2,569.2,52.6,515.5,47.6,16.55,16.49,48.8,499.2,4231.5,228.3,9965.0,6684.7,31.2,4345
FY2024,1285.9,1996.1,15.5,992.3,49.7,925.2,46.4,,,91.1,859.8,4231.5,228.3,9965.0,6684.7,31.2,4345
H1 2025,649.0,1093.5,16.8,543.7,49.7,481.0,44.0,15.27,15.22,47.3,474.5,4675.1,247.5,12520.7,,31.5,
H2 2025,745.3,1270.7,17.1,702.1,55.0,581.6,45.8,18.46,18.40,69.6,606.9,5285.4,252.4,10797.4,6371.8,31.5,4771
FY2025,1394.3,2364.2,17.0,1245.7,52.7,1062.5,45.0,,,116.8,1081.3,5285.4,252.4,10797.4,6371.8,31.5,4771
