Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CET1Ratio,CashEarnings,CostToIncomeRatio,CustomerDeposits,ImpairmentExpense,NetInterestIncome,NetInterestMargin,NonInterestIncome,OperatingExpenses,ReturnOnEquity,CashEPS,GrossLoansAndAdvances,TotalDeposits
H1 FY2016,561.0,,,,287.0,51.2,,171.0,30.5,0.457,-1004.0,,,3525.0,49841.0,46316.0,9204.0,846.0,,,0.38,,,,,millions,AUD,8.8,,,,36.0,466.0,,,274.0,,,42659.0,
FY2016,1117.0,,,,563.0,50.4,,338.0,30.3,0.898,-1073.0,,,3587.0,50853.0,47266.0,9398.0,1228.0,376.043,,0.76,,,,,millions,AUD,9.0,360.0,46.8,29122.0,67.0,936.0,1.94,,554.0,10.3,,43152.0,36720.0
H1 FY2017,532.0,,,,261.0,49.1,,161.0,30.3,0.418,-63.0,,,3691.0,50956.0,47265.0,9218.0,894.0,,,0.38,,,,,millions,AUD,,,,,27.0,452.0,,,271.0,,,42743.0,
FY2017,1103.0,,,,555.0,50.3,,352.0,31.9,0.909,-302.0,,,3788.0,51658.0,47870.0,9651.0,914.0,386.862,,0.76,,,,,millions,AUD,9.39,378.0,46.6,30190.0,48.0,926.0,1.87,,548.0,10.4,,43817.0,37169.0
H1 FY2018,555.0,,,,278.0,50.1,,174.0,31.4,0.446,390.0,,,3791.0,51252.0,47461.0,9615.0,1012.0,,,0.38,,,,,millions,AUD,,,,,22.0,475.0,,,277.0,,,44269.0,
FY2018,1121.0,,,,534.0,47.6,,336.0,30.0,0.855,317.0,,,3856.0,52980.0,49124.0,10077.0,1212.0,393.418,,0.76,,,,,millions,AUD,9.31,372.0,47.5,31325.0,41.0,965.0,1.98,,587.0,9.9,,45279.0,38017.0
H1 FY2019,544.0,,,,257.0,47.2,,156.0,28.7,0.39,-107.0,,,3885.0,53008.0,49123.0,10382.0,1264.0,,,0.34,,,,,millions,AUD,,,,,30.0,476.0,,,287.0,,,45715.0,
FY2019,1096.0,,,,509.0,46.4,,298.0,27.2,0.742,-1479.0,,,3859.0,55597.0,51738.0,11986.0,1274.0,401.555,,0.65,,,,,millions,AUD,9.04,320.0,51.0,32428.0,74.0,961.0,1.93,,587.0,8.3,,46216.0,38337.0
H1 FY2020,545.0,,,,168.0,30.8,,93.0,17.1,0.217,208.0,,,4211.0,55408.0,51197.0,11514.0,1134.0,,,,,,,,millions,AUD,,,,,30.0,483.0,,,377.0,,,,
FY2020,1100.0,,,,348.0,31.6,,115.0,10.5,0.262,592.0,,,4231.0,56772.0,52541.0,11339.0,1353.0,440.935,,0.12,,,,,millions,AUD,9.78,225.0,54.2,34762.0,175.0,986.0,1.91,,752.0,5.4,,47043.0,39593.0
H1 FY2021,577.0,,,,247.0,42.8,,154.0,26.7,0.318,406.0,,,4420.0,57637.0,53217.0,10753.0,1136.0,,,0.17,,,,,millions,AUD,,,,,24.0,512.0,,,330.0,,,47734.0,
FY2021,1253.0,,,,517.0,41.3,,369.0,29.4,0.67,381.0,,,6197.0,91432.0,85235.0,17723.0,2563.0,549.629,,0.39,,,,,millions,AUD,9.8,412.0,54.4,56469.0,-21.0,1128.0,1.92,,736.0,8.2,74.7,75748.0,65902.0
FY2022,1682.0,,,,624.0,37.1,,426.0,25.3,0.657,-1237.0,,,6685.0,99930.0,93245.0,19187.0,2448.0,642.84,,0.46,,,,,millions,AUD,9.57,491.0,56.5,60903.0,-1.0,1540.0,1.71,142.0,1058.0,8.2,75.8,81226.0,70684.0
FY2023,1759.0,,,,348.0,19.8,,124.0,7.0,0.183,3566.0,,,6130.0,105352.0,99222.0,19322.0,5238.0,650.373,,0.41,,,,,millions,AUD,10.91,450.0,58.0,66964.0,67.0,1615.0,1.69,144.0,1411.0,7.3,68.4,81135.0,76500.0
FY2024,1603.0,,,,457.0,28.5,,285.0,17.8,0.433,-865.0,,,6017.0,103040.0,97023.0,18187.0,2927.0,657.135,,0.34,,,,,millions,AUD,10.66,343.0,66.8,67361.0,18.0,1472.0,1.56,131.0,1146.0,5.7,52.2,80479.0,76218.0
H1 FY2025,793.0,,,,273.0,34.4,,171.0,21.6,,,,,,,,,,,,0.18,,,,,millions,AUD,10.87,183.0,65.6,,3.0,725.0,1.57,68.0,520.0,,,,
FY2025,1668.0,,,,298.0,17.9,,133.0,8.0,0.201,2328.0,,,5907.0,100526.0,94619.0,16656.0,3024.0,658.119,,0.38,,,,,millions,AUD,10.94,383.0,64.7,66729.0,20.0,1527.0,1.64,141.0,1370.0,6.4,58.3,77860.0,75677.0
H1 FY2026,832.0,,,,279.0,33.5,,136.0,16.3,,,,,,,,,,,,0.2,,,,,millions,AUD,11.18,176.0,66.5,,20.0,755.0,1.72,77.0,553.0,,26.8,,
