Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,RandD,SalesAndMarketing,GeneralAndAdmin,TotalOpex,NonGAAPOperatingIncome,NonGAAPOperatingMargin,OtherIncomeNet,AdjustedFreeCashFlow,AdjFCFMargin,MarketableSecurities,TotalCashAndInvestments,DeferredRevenue,PaidCustomers10K,PaidCustomers100K,NetDollarRetentionRate,Extra1
FY2023,0.504874,0.0445,0.460374,91.2,-0.073456,-14.5,,0.737782,,3.57,1.047334,-0.006367,1.040967,0.707766,1.601913,0.564706,0,1.270178,207.063,0.002703,,millions,USD,164.774,201.377,167.679,533.830,27.128,5.4,810.238,91.809,18.2,148.973,1419.151,253.635,7233,630,122,
Q1 2024,0.156229,0.01279,0.143439,91.8,0.012521,8.0,,0.013466,,0.06,-0.018139,-0.001511,-0.01965,,,,,,190.058,0.000607,,millions,USD,52.711,55.334,22.873,130.918,18.067,11.6,-1.045,48.472,31.0,,,,8007,701,125,
Q2 2024,0.177198,0.039558,0.13764,77.7,-0.894287,-504.7,,-0.827795,,-4.36,,,,,,,,,,,,millions,USD,535.676,276.246,220.005,1031.927,,,,,,,,,,,858.390,
Q3 2024,0.198639,0.018703,0.179936,90.6,-0.047336,-23.8,,-0.015598,,-0.07,0.061574,-0.001155,0.060419,,,,,,210.768,0.088403,,millions,USD,104.182,79.290,43.800,227.272,93.391,47.0,17.910,60.971,30.7,,,,9762,876,131,
Q4 2024,0.216945,0.016463,0.200482,92.4,0.051669,23.8,,0.097861,,0.46,0.073091,-0.002266,0.070825,0.469095,0,1.793148,1.457837,,0.381363,0.134,,millions,USD,58.551,61.206,29.056,148.813,,,,,,486.954,970.883,1324.053,214906,10517,963,57.493
FY2024,0.749011,0.087514,0.661497,88.3,-0.877433,-117.1,,-0.732066,,-3.82,-0.061717,-0.006501,-0.068218,1.324053,1.793148,0.469095,0,0.486954,214.906,1.004893,,millions,USD,751.120,472.076,315.734,1538.930,127.218,17.0,145.367,181.261,24.2,970.883,1457.837,381.363,10517,963,134,
Q1 2025,0.228199,0.019452,0.208747,91.5,0.039749,17.4,,0.044918,,0.16,0.097177,-0.002595,0.094582,1.370364,1.914755,0.544391,0,0.618581,216.653,0.000197,,millions,USD,69.925,68.840,30.233,168.998,40.032,17.5,18.560,94.582,41.4,923.224,1541.805,406.636,11107,1031,132,
Q2 2025,0.24964,0.027889,0.221751,88.8,0.002076,0.8,,0.028191,,0.09,0.062455,-0.001395,0.060603,,,,,,,,,millions,USD,83.052,97.701,38.922,219.675,,,,,,,,,,,,0.455
Q3 2025,0.274173,0.083884,0.190289,69.4,-1.13678,-414.6,,-1.097015,,-2.72,0.051163,-0.002116,0.049047,1.38852,2.073225,0.684705,0,0.340485,492.659,1.138332,,millions,USD,680.885,274.759,371.425,1327.069,5.988,2.2,29.305,49.047,17.9,1237.048,1577.533,473.567,12910,1262,131,
Q4 2025,0.303776,0.054302,0.249474,82.1,-0.195502,-64.4,,-0.226557,,-0.44,0.039886,-0.000734,0.039152,1.510641,2.348207,0.837566,0,0.403469,513.043,,,millions,USD,195.838,134.208,114.930,444.976,67.863,22.3,-8.742,39.152,12.9,1252.474,1655.943,595.334,,,,218.294
FY2025,1.055788,0.185527,0.870261,82.4,-1.290457,-122.2,,-1.250463,,-3.71,0.250681,-0.004444,0.246237,1.510641,2.348207,0.837566,0,0.403469,513.043,1.364133,,millions,USD,1029.700,575.508,555.510,2160.718,126.375,12.0,64.815,246.237,23.3,1252.474,1655.943,595.334,13861,1405,136,
Q1 2026,0.333439,0.068666,0.264773,79.4,-0.137398,-41.2,,-0.142401,,-0.27,0.097308,-0.007812,0.089496,1.456961,2.290788,0.833827,0,0.405654,523.485,0.168998,,millions,USD,172.974,125.568,103.629,402.171,52.133,15.6,-4.325,89.496,26.8,1232.810,1638.464,627.664,15218,1525,139,
