Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,GrossPremiumsWritten,NetPremiumsWritten,NetPremiumsEarned,UnderwritingProfit,CombinedRatio,InterestDividendIncome,NetInvestmentGains,NetEarnings,BookValuePerShare
FY2015,9580.4,,,,,,,,,23.15,144.7,,,8952.5,,,3351.5,7918.1,22.2,,,,,8655.8,7520.5,7371.0,704.5,89.9,512.2,-259.2,567.7,403.01
FY2016,9299.6,,,,,,,,,-24.18,1258.2,,,8484.6,,,4767.6,11309.6,23.1,,,,,9534.3,8088.4,7862.2,575.9,92.5,555.2,-1203.6,-512.5,367.40
FY2017,16224.6,,,,,,,,,64.98,2700.6,,,12475.6,,,6414.1,19750.9,27.8,,,,,12207.5,9983.5,9721.4,-641.5,106.6,559.0,1467.5,1740.6,449.55
FY2018,17757.7,,,,,,,,,11.65,-1924.3,,,11779.3,,,6480.4,8279.2,27.2,,,,,15528.3,12431.0,12066.0,318.3,97.3,783.5,252.9,376.0,432.46
FY2019,21532.8,,,,,,,,,69.79,1355.4,,,13042.6,,,7232.6,10996.8,26.8,,,,,17511.2,13835.6,13229.7,394.5,96.9,880.2,1716.2,2004.1,486.10
FY2020,19794.9,,,,,,,,,6.29,139.8,,,12521.1,,,8814.0,14450.0,26.2,,,,,19125.9,14864.5,13988.7,309.0,97.8,769.2,313.1,218.4,478.33
FY2021,26467.9,,,,,,,,,122.25,6641.0,,,15049.6,,,7753.0,23277.8,23.9,,,,,23910.2,18278.1,16558.0,801.2,95.0,640.8,3445.1,3401.1,630.60
Q1 2022,5982.6,,,,,,,,,4.49,-981.3,,,14910.7,,,7916.6,14728.2,23.8,,,,,6662.9,5342.7,4777.7,324.4,93.1,168.9,-214.4,125.5,626.21
Q2 2022,5502.3,,,,,,,,,-37.59,-3075.0,,,13917.5,,,7699.3,10743.7,23.7,,,,,7307.7,5705.0,5141.3,301.7,94.1,203.1,-1547.9,-881.4,588.36
Q3 2022,6844.6,,,,,,,,,-3.65,-919.1,,,13363.3,,,8415.3,9088.3,23.4,,,,,6922.9,5611.2,5391.9,-16.9,100.3,256.5,-519.1,-75.1,569.97
Q4 2022,9720.5,,,,,,,,,78.33,555.5,,,15340.7,,,8624.9,10714.0,23.3,,,,,7019.1,5612.8,5695.2,496.1,91.3,333.3,547.5,1978.2,657.68
FY2022,28050.0,,,,,,,,,43.49,-4419.9,,,15340.7,,,8624.9,10714.0,23.3,,,,,27912.6,22271.7,21006.1,1105.3,94.7,961.8,-1733.9,1147.2,657.68
Q1 2023,9325.6,,,,,,,,,49.38,-1125.0,,,18663.8,,,8718.3,8427.3,23.2,,,,,7093.0,5619.4,5131.5,313.8,94.0,382.3,771.2,1250.0,803.49
Q2 2023,8605.5,,,,,,,,,28.80,-220.8,,,19357.1,,,8812.8,7579.5,23.2,,,,,7988.4,6134.4,5343.7,337.5,93.9,464.6,-342.1,734.4,834.28
Q3 2023,9703.6,,,,,,,,,42.26,317.9,,,20262.1,,,8632.0,7603.4,23.1,,,,,7229.6,5837.9,5695.4,291.6,95.0,512.7,56.0,1068.9,876.55
Q4 2023,10782.5,,,,,,,,,52.87,988.5,,,21615.0,,,9723.5,8947.2,23.0,,,,,6579.1,5103.7,5641.8,579.3,,536.6,1464.4,1328.5,939.65
FY2023,38417.2,,,,,,,,,173.24,-39.4,,,21615.0,,,9723.5,8947.2,23.0,,,,,28890.1,22695.4,21812.4,1522.2,93.2,1896.2,1949.5,4381.8,939.65
Q1 2024,9860.0,,,,,,,,,30.82,1597.0,,,21585.5,,,10351.5,10298.0,22.8,,,,,7349.1,5915.3,6052.0,373.0,93.6,589.8,-58.5,776.5,945.44
Q2 2024,10108.6,,,,,,,,,37.18,169.3,,,21729.8,,,11121.0,10264.3,22.2,,,,,9500.5,6841.6,5901.7,370.4,93.9,614.0,241.6,915.4,979.63
Q3 2024,11917.4,,,,,,,,,42.62,1491.2,,,22720.3,,,10710.9,10063.7,22.0,,,,,8237.9,6754.4,6451.3,389.7,93.9,609.9,1287.3,1030.8,1033.18
Q4 2024,10396.3,,,,,,,,,50.42,736.4,,,22959.8,,,11753.7,10123.2,21.7,,,,,7439.9,5824.3,6461.4,658.3,89.8,698.2,-403.2,1152.2,1059.60
FY2024,42282.3,,,,,,,,,160.56,3993.9,,,22959.8,,,11753.7,10123.2,21.7,,,,,32527.4,25335.6,24866.4,1791.4,92.7,2511.9,1067.2,3874.9,1059.60
Q1 2025,11363.3,,,,,,,,,42.70,694.4,,,23316.0,,,12171.8,9999.5,21.6,,,,,8395.5,6774.6,6105.9,96.9,98.5,606.5,1056.1,945.7,1080.38
Q2 2025,11665.2,,,,,,,,,61.61,871.3,,,25013.5,,,13216.4,13083.8,21.6,,,,,9079.1,7170.1,6351.6,426.9,93.3,666.3,952.0,1436.7,1158.47
Q3 2025,11851.4,,,,,,,,,52.04,2152.3,,,25672.4,,,13842.5,14594.0,21.3,,,,,8179.8,6555.5,6758.0,540.3,92.0,655.4,426.2,1151.7,1203.65
Q4 2025,11794.2,,,,,,,,,57.57,-1298.6,,,26282.6,,,13642.9,11704.1,20.9,,,,,7630.3,5828.5,6857.4,752.5,89.0,645.8,717.1,1238.3,1260.19
FY2025,46674.1,,,,,,,,,213.78,2419.4,,,26282.6,,,13642.9,11704.1,20.9,,,,,33284.7,26328.7,26072.9,1816.6,93.0,2574.0,3151.4,4772.4,1260.19
Q1 2026,10193.4,,,,,,,,,31.11,-271.5,,,25782.9,,,14048.8,9492.2,20.6,,,,,8739.4,7058.0,6392.5,381.6,94.1,662.1,-385.9,695.7,1250.14
