Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NTAPerShare,Occupancy,RevPAR
FY2016,172.035,-72.702,99.333,57.7,69.661,40.5,75.498,40.447,23.5,0.2556,71.009,32.565,38.444,489.063,713.905,161.624,71.804,101.118,158.318,0.0,,,,,,millions,NZD,,,
H1 FY2017,104.141,-41.815,62.326,59.8,42.923,41.2,45.971,24.233,23.3,0.1532,45.957,7.461,38.496,505.795,726.451,152.587,68.8,126.095,158.318,0.0,,,,,,millions,NZD,,,
FY2017,187.267,-74.847,112.42,60.0,72.768,38.9,79.25,43.116,23.0,0.2725,52.922,14.466,38.456,588.88,828.225,164.535,66.0,123.085,158.318,0.0,,,,,,millions,NZD,,,
H1 FY2018,127.506,-49.85,77.656,60.9,53.835,42.2,58.021,30.147,23.6,0.1905,22.907,12.635,10.272,608.098,861.986,172.805,73.1,127.725,158.318,0.0,,,,,,millions,NZD,,,
FY2018,218.838,-89.004,129.834,59.3,83.078,38.0,91.266,49.375,22.6,0.3121,29.686,14.375,15.311,640.259,898.182,174.309,64.0,122.726,158.318,0.0,,,,,,millions,NZD,,,
H1 FY2019,110.611,-46.512,64.099,57.9,40.566,36.7,44.783,23.805,21.5,0.1505,26.316,3.037,23.279,645.49,925.164,194.166,76.0,142.253,158.318,0.0,,,,,,millions,NZD,,,
FY2019,229.669,-97.628,132.041,57.5,84.237,36.7,92.657,49.662,21.6,0.3139,63.536,6.917,56.619,436.483,669.691,145.752,67.0,165.231,158.318,0.0,,,,,,millions,NZD,,,
H1 FY2020,84.743,-39.26,45.483,53.7,25.393,30.0,,34.09,40.2,0.2153,34.62,3.167,31.453,702.801,955.04,157.98,67.297,182.346,158.318,0.0,,,,,,millions,NZD,,,
FY2020,171.982,-79.815,92.167,53.6,53.046,30.8,60.847,48.483,28.2,0.3064,86.097,9.281,76.816,474.67,664.149,94.167,38.0,198.04,158.318,0.0,,,,,,millions,NZD,,,
H1 FY2021,98.36,-46.938,51.422,52.3,47.417,48.2,51.116,31.344,31.9,0.2447,55.062,6.27,48.792,769.165,984.325,110.661,3.0,225.846,158.318,0.0,,,,,,millions,NZD,,,
FY2021,164.772,-78.513,86.259,52.4,64.406,39.1,71.823,40.049,24.3,0.2531,29.019,24.058,4.961,514.189,680.796,62.997,1.0,179.639,158.318,0.0,,,,,,millions,NZD,3.25,36.1,57.91
H1 FY2022,83.656,-32.015,51.641,61.7,32.174,38.5,35.655,15.403,18.4,0.0974,24.395,13.415,10.98,526.722,700.015,64.505,0.0,181.833,158.318,0.0,,,,,,millions,NZD,,,
FY2022,144.198,,,,43.242,30.0,,21.713,15.1,0.1372,,,,,709.186,66.485,0.0,173.333,158.318,0.0,,,,,,millions,NZD,3.35,43.7,76.59
H1 FY2023,60.051,,,,8.726,14.5,,6.174,10.3,0.039,,,,,,,,,158.318,0.0,,,,,,millions,NZD,,,
FY2023,145.7,,,,32.1,22.0,,21.6,14.8,0.1365,,,,547.9,746.79,84.338,11.968,75.331,158.318,0.0,0.03,,,,,millions,NZD,3.46,,
H1 FY2024,85.319,,,,19.811,23.2,,-11.747,-13.8,-0.0742,,,,532.0,738.522,93.565,0.0,62.169,158.318,0.0,,,,,,millions,NZD,3.36,,
FY2024,176.184,-78.328,97.856,55.5,42.461,24.1,50.212,2.762,1.6,0.0175,13.677,29.465,-15.788,547.915,762.266,97.361,3.0,41.297,158.318,0.0,0.0,,,,,millions,NZD,3.46,66.0,
H1 FY2025,79.3,,,,11.97,15.1,,6.649,8.4,0.042,,,,547.4,787.3,124.4,30.0,18.7,158.318,0.0,,,,,,millions,NZD,3.46,,
FY2025,186.733,-87.805,98.928,53.0,30.625,16.4,40.281,20.218,10.8,0.1278,25.738,52.787,-27.049,567.246,800.463,115.444,20.0,24.233,158.318,0.0,,,,,,millions,NZD,3.58,,
H1 FY2026,88.84,,,,14.93,16.8,,11.589,13.0,0.0732,,,,579.6,785.8,87.9,0.0,14.4,158.318,0.0,,,,,,millions,NZD,3.66,,
