Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,UnderlyingEBITDA,C1CostPerWmt,IronOreShipments,RealisedPricePerDmt
H1 FY2016,3344.0,-2642.0,702.0,21.0,568.0,17.0,1195.0,319.0,9.5,0.1026,1388.0,-123.0,1265.0,7818.0,20372.0,12554.0,8448.0,2318.0,,,,,,,,millions,USD,1301.0,,,
FY2016,7083.0,-5064.0,2019.0,28.5,1815.0,25.6,3059.0,985.0,13.9,0.316,3023.0,-360.0,2663.0,8406.0,19337.0,10931.0,6771.0,1583.0,3111.801515,-3.0,,,,,,millions,USD,3195.0,,169.4,
H1 FY2017,4492.0,-2482.0,2010.0,44.7,1980.0,44.1,2602.0,1222.0,27.2,0.393,1857.0,-320.0,1537.0,9333.0,18980.0,9647.0,5156.0,1160.0,,,,,,,,millions,USD,2645.0,,,
FY2017,8447.0,-4888.0,3559.0,42.1,3450.0,40.8,4693.0,2093.0,24.8,0.673,4256.0,-729.0,3527.0,9734.0,19115.0,9381.0,4471.0,1838.0,3111.190703,16.0,,,,,,millions,USD,4744.0,,170.4,
H1 FY2018,3679.0,-2445.0,1234.0,33.5,1176.0,32.0,1806.0,681.0,18.5,0.219,411.0,-420.0,-9.0,9799.0,18153.0,8354.0,4181.0,892.0,,,,,,,,millions,USD,1828.0,,,
FY2018,6887.0,-4930.0,1957.0,28.4,1873.0,27.2,3150.0,878.0,12.7,0.282,1601.0,-901.0,700.0,9732.0,17849.0,8117.0,3975.0,863.0,3112.150439,14.0,,,,,,millions,USD,3182.0,,,
H1 FY2019,3540.0,-2480.0,1060.0,29.9,1048.0,29.6,1629.0,644.0,18.2,0.208,948.0,-531.0,417.0,9984.0,18086.0,8102.0,3998.0,962.0,,,,,,,,millions,USD,1633.0,,,
FY2019,9965.0,-5115.0,4850.0,48.7,4822.0,48.4,6018.0,3187.0,32.0,1.031,4373.0,-1048.0,3325.0,10601.0,19694.0,9093.0,3952.0,1874.0,3090.462322,21.0,,,,,,millions,USD,6047.0,,167.7,65.0
H1 FY2020,6485.0,-2924.0,3561.0,54.9,3550.0,54.7,4207.0,2453.0,37.8,0.797,3114.0,-852.0,2262.0,12522.0,21299.0,8777.0,4033.0,3314.0,,,,,,,,millions,USD,4228.0,,,
FY2020,12820.0,-5742.0,7078.0,55.2,6912.0,53.9,8312.0,4735.0,36.9,1.539,6415.0,-1945.0,4470.0,13244.0,23398.0,10154.0,5113.0,4855.0,3077.324924,41.0,,,,,,millions,USD,8375.0,,,79.0
H1 FY2021,9335.0,-3078.0,6257.0,67.0,5939.0,63.6,6611.0,4084.0,43.7,1.327,4410.0,-1721.0,2689.0,15007.0,24473.0,9466.0,4084.0,3974.0,,,,,,,,millions,USD,6639.0,,,
FY2021,22284.0,-6794.0,15490.0,69.5,14946.0,67.1,16312.0,10295.0,46.2,3.346,12594.0,-3382.0,9212.0,17735.0,28383.0,10648.0,4252.0,6930.0,3077.08233,94.0,,,,,,millions,USD,16375.0,13.93,,135.0
H1 FY2022,8125.0,-3734.0,4391.0,54.0,4024.0,49.5,4746.0,2777.0,34.2,0.903,2136.0,-1441.0,695.0,15780.0,25184.0,9404.0,4623.0,2899.0,,,,,,,,millions,USD,4762.0,,,
FY2022,17390.0,-7649.0,9741.0,56.0,9000.0,51.8,10528.0,6197.0,35.6,2.014,6646.0,-2803.0,3843.0,17345.0,28375.0,11030.0,6103.0,5224.0,3076.669539,128.0,,,,,,millions,USD,10561.0,15.91,,100.0
H1 FY2023,7835.0,-3941.0,3894.0,49.7,3457.0,44.1,4316.0,2368.0,30.2,0.77,2948.0,-1365.0,1583.0,17129.0,27974.0,10845.0,6077.0,4001.0,,,,,,,,millions,USD,4352.0,,,
FY2023,16871.0,-7817.0,9054.0,53.7,7020.0,41.6,8764.0,4796.0,28.4,1.56,7432.0,-2901.0,4531.0,17998.0,28218.0,10220.0,5321.0,4287.0,3075.997351,148.0,,,,,,millions,USD,9963.0,17.54,192.0,95.0
H1 FY2024,9512.0,-4067.0,5445.0,57.2,4958.0,52.1,5880.0,3334.0,35.1,1.085,4170.0,-1509.0,2661.0,19403.0,29885.0,10482.0,5318.0,4749.0,,,,,,,,millions,USD,5912.0,,,
FY2024,18220.0,-8673.0,9547.0,52.4,8489.0,46.6,10633.0,5664.0,31.1,1.848,7919.0,-2834.0,5085.0,19531.0,30060.0,10529.0,5400.0,4903.0,3075.951886,156.0,,,,,,millions,USD,10708.0,18.24,191.6,103.0
H1 FY2025,7638.0,-4568.0,3070.0,40.2,2398.0,31.4,3614.0,1547.0,20.3,0.505,2430.0,-1529.0,901.0,19193.0,29219.0,10026.0,5439.0,3409.0,,,,,,,,millions,USD,3641.0,,97.1,
FY2025,15541.0,-9102.0,6439.0,41.4,5208.0,33.5,7714.0,3366.0,21.7,1.097,6474.0,-3263.0,3211.0,19956.0,30515.0,10559.0,5439.0,4328.0,3074.807097,184.0,,,,,,millions,USD,7941.0,17.99,198.0,85.0
H1 FY2026,8439.0,-4961.0,3478.0,41.2,2908.0,34.5,4358.0,1910.0,22.6,0.622,3203.0,-1475.0,1728.0,20706.0,31353.0,10647.0,5756.0,4743.0,,,,,,,,millions,USD,4486.0,,100.2,
FY2026,16966.0,-10155.0,6811.0,40.1,4512.0,26.6,7384.0,2860.0,16.9,0.933,6836.0,-3181.0,3655.0,20245.0,31579.0,11334.0,5931.0,5074.0,3076.300671,195.0,,,,,,millions,USD,8635.0,18.74,,91.0
