Period,NetTradingIncome,TotalIncome,EBITDA,EBITDAMargin,EBIT,NetProfit,NetMargin,EPS,DilutedEPS,FixedOperatingExpenses,VariableExpenses,TotalAssets,TotalEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,DividendPerShare,ETPValueTraded,NumberOfEmployees,ReturnOnEquity
FY2015,304.7,304.7,121.6,39.9%,114.4,97.3,31.9%,2.09,2.09,61.9,121.1,4599.5,246.5,,1.9,46.5,1.50,645,268,
FY2016,250.0,250.0,118.7,47.5%,109.6,91.9,36.8%,1.98,1.98,72.9,58.4,5789.7,270.1,,2.7,46.5,1.25,640,341,
FY2017,166.0,166.0,56.0,33.8%,48.3,39.6,23.9%,0.85,0.85,84.7,25.2,5919.8,254.1,,5.9,46.5,0.65,686,394,
FY2018,383.4,383.4,199.8,52.1%,190.5,160.9,42.0%,3.46,3.46,90.7,92.9,6780.2,341.1,,10.1,46.5,2.35,899,436,
FY2019,216.4,216.4,78.9,36.5%,64.2,53.1,24.5%,1.15,1.15,99.8,37.7,6755.6,331.1,,5.7,46.5,0.90,1009,513,
FY2020,933.4,933.4,586.7,62.8%,571.9,464.5,49.8%,10.26,9.81,118.6,228.1,8448.4,589.9,,8.3,44.7,6.50,1515,554,
FY2021,384.0,387.1,159.4,41.5%,144.7,114.9,29.9%,2.63,2.52,122.1,102.5,10823.7,508.2,,4.9,46.5,1.35,1541,613,
FY2022,460.2,458.7,179.3,39.0%,162.4,126.8,27.6%,2.92,2.76,161.6,90.8,11104.7,606.3,,8.6,42.8,1.50,1775,660,27%
FY2023,300.3,303.9,67.5,22.0%,49.2,36.2,11.9%,0.84,0.81,174.1,57.9,13917.2,585.8,,5.7,43.1,0.45,1464,646,10%
FY2024,467.8,479.3,217.1,45.3%,199.7,159.5,33.3%,3.69,3.56,179.1,85.3,12901.3,766.6,,8.4,43.1,0.00,1545,609,24%
H1-2016,132.5,132.5,65.2,49.2%,59.3,51.9,39.2%,1.12,1.12,,,5962.4,252.2,,2.7,46.5,0.55,293,306,
H1-2017,95.0,95.0,32.0,33.7%,31.8,26.1,27.5%,0.56,0.56,,,4106.6,258.2,,5.3,46.5,0.30,359,369,
H1-2018,266.9,266.9,140.5,52.6%,149.1,126.8,47.5%,2.73,2.73,,,6702.7,368.1,,5.3,46.5,1.35,449,412,
H1-2019,117.0,117.0,47.7,40.8%,40.4,33.0,28.2%,0.71,0.71,,,6312.6,327.7,,10.4,46.5,0.35,494,465,
H1-2020,724.8,724.8,464.3,64.1%,457.1,375.3,51.8%,8.25,8.25,54.7,205.8,8696.0,656.1,,3.3,45.1,4.00,820,502,
H1-2021,236.6,236.6,119.6,50.5%,137.0,90.2,38.1%,2.05,1.99,58.9,58.1,13842.1,526.2,,5.4,44.0,1.00,768,577,
H1-2022,232.1,234.5,88.4,37.7%,85.2,63.5,27.1%,1.46,1.41,75.2,48.1,14813.5,582.1,,4.7,43.5,0.70,970.8,611,
H1-2023,160.0,161.9,43.4,26.8%,33.7,23.5,14.5%,0.54,0.52,87.0,20.4,13987.0,586.0,,5.4,43.1,0.30,754.9,654,
H1-2024,206.6,205.8,82.4,40.0%,73.6,59.0,28.7%,1.36,1.33,88.4,35.0,16561.5,637.6,,6.8,43.4,,756,594,
H1-2025,283.6,279.0,130.3,46.7%,112.6,87.5,31.4%,2.01,1.98,100.5,48.2,15738.4,820.8,,8.1,43.5,,999,607,
Q2-2020,229.9,,140.6,61.1%,137.0,113.0,49.1%,2.51,,,,8696.0,,,3.3,45.1,,378.7,502,
Q3-2020,78.3,,31.9,40.8%,28.4,23.0,29.4%,0.51,,,,,,,,,45.1,,324.4,532,
Q4-2020,130.3,,90.5,69.4%,86.3,66.2,50.8%,1.47,,,,8448.4,589.9,,8.3,44.7,,370.8,554,
Q1-2021,142.2,,79.3,55.8%,75.5,61.6,43.3%,1.39,1.35,,,,,,,44.3,,414.4,566,
Q4-2023,72.7,74.3,11.8,15.9%,7.4,6.4,8.6%,0.15,0.14,40.4,,13917.2,585.8,,5.7,43.2,,375,646,
Q1-2024,127.1,129.6,61.1,47.1%,56.4,45.9,35.4%,1.06,1.04,,,,,631.0,,,43.5,,409,633,
Q2-2024,79.5,76.2,21.1,27.7%,16.4,12.8,16.8%,0.30,0.29,,,,,635.0,,,43.4,,347,635,
Q3-2024,107.3,114.6,50.5,44.1%,44.7,37.5,32.7%,0.87,0.85,,,,,666.0,,,43.6,,365,646,
Q4-2024,153.8,159.0,82.1,51.6%,76.9,63.2,39.7%,1.47,1.42,45.3,31.5,,766.6,,8.4,43.1,,424,609,
FY2025,485.8,480.5,198.9,41.0%,164.6,133.6,27.5%,3.07,2.98,204.1,77.4,,868.0,,8.1,43.6,0.00,1940,635,
Q2-2025,143.4,143.9,68.0,47.4%,,,51.3,1.18,1.16,,,,,821.0,,,43.5,,492,607,
Q3-2025,78.3,80.5,19.4,24.1%,13.3,10.9,13.5%,0.25,0.25,51.2,9.8,,834.0,,,43.5,,426,622,
Q4-2025,123.8,121.0,49.2,40.7%,43.5,35.1,29.0%,0.81,0.78,52.4,19.4,,868.0,,8.1,43.6,,516,635,
Q1-2025,140.2,135.1,62.3,46.1%,44.3,36.3,26.9%,0.84,0.82,,,,,787.0,,,43.5,,507,619,
