Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NetInterestMargin
H1-2016,10274.0,,,,4786.0,46.6,,2738.0,26.6,0.948,,,,56464.0,895300.0,838800.0,,,2917.560098,,80.0,,,,,millions,AUD,
FY2016,20529.0,,,,10107.0,49.2,,5709.0,27.8,1.9740000000000002,10841.0,,,57927.0,914869.0,856942.0,113044.0,69278.0,2927.47666,19382.0,160.0,,,,,millions,AUD,2.0
H1-2017,9996.0,,,,5265.0,52.7,,2911.0,29.1,1.002,15160.0,,,57908.0,896500.0,838600.0,109075.0,66220.0,2936.037009,,80.0,,,,,millions,AUD,
FY2017,20273.0,,,,10825.0,53.4,,6406.0,31.6,2.201,23972.0,,,59075.0,897326.0,838251.0,107973.0,68048.0,2937.415327,14926.0,160.0,,,,,millions,AUD,1.99
H1-2018,10175.0,,,,5764.0,56.6,,3323.0,32.7,1.1420000000000001,8151.0,,,59500.0,935100.0,875600.0,114836.0,82071.0,2909.6,,80.0,,,,,millions,AUD,
FY2018,19831.0,,,,10583.0,53.4,,6400.0,32.3,2.216,10566.0,,,59383.0,942624.0,883241.0,121179.0,84636.0,2873.618118,8910.0,160.0,,,,,millions,AUD,
H1-2019,9293.0,,,,4928.0,53.0,,3173.0,34.1,1.117,7583.0,,,59405.0,943156.0,883751.0,129691.0,93996.0,2841.3,,80.0,,,,,millions,AUD,
FY2019,18785.0,,,,9714.0,51.7,,5953.0,31.7,2.1,-4550.0,,,60794.0,981137.0,920343.0,129691.0,81621.0,2834.584923,,160.0,,,,,millions,AUD,
H1-2020,8893.0,,,,4288.0,48.2,,1545.0,17.4,0.546,54647.0,,,61400.0,1150000.0,1088600.0,140248.0,143093.0,2830.6,,25.0,,,,,millions,AUD,
FY2020,17752.0,,,,8254.0,46.5,,3577.0,20.1,1.264,52284.0,,,61297.0,979078.0,925806.0,119668.0,107923.0,2840.370225,8198.0,60.0,,,,,millions,AUD,1.63
H1-2021,8367.0,,,,3885.0,46.4,,2943.0,35.2,1.0370000000000001,29821.0,,,62600.0,1018300.0,955700.0,107623.0,124460.0,2838.7,,70.0,,,,,millions,AUD,
FY2021,17420.0,,,,8369.0,48.0,,6162.0,35.4,2.171,43822.0,,,63676.0,978857.0,915181.0,101054.0,151260.0,2823.563652,5066.0,142.0,,,,,millions,AUD,
H1-2022,9542.0,,,,4751.0,49.8,,3530.0,37.0,1.2570000000000001,32641.0,,,61800.0,1017400.0,955600.0,87226.0,168054.0,2808.7,,72.0,,,,,millions,AUD,
FY2022,19426.0,,,,9847.0,50.7,,7119.0,36.6,2.5,20176.0,,,66401.0,1085729.0,1019328.0,93734.0,168132.0,2989.923751,7368.0,146.0,,,,,millions,AUD,1.63
H1-2023,10147.0,,,,5161.0,50.9,,3568.0,35.2,1.191,39131.0,,,68625.0,1111600.0,1043000.0,106157.0,208800.0,3003.366782,,81.0,,,,,millions,AUD,
FY2023,20466.0,,,,10379.0,50.7,,7165.0,35.0,2.391,6195.0,,,69114.0,1106041.0,1036927.0,116014.0,168154.0,3003.366782,8303.0,175.0,,,,,millions,AUD,1.7
H1-2024,10148.0,,,,4969.0,49.0,,3450.0,34.0,1.149,-15578.0,,,70202.0,1090100.0,1019900.0,127109.0,137696.0,3003.366782,,83.0,,,,,millions,AUD,
FY2024,20521.0,,,,9852.0,48.0,,6595.0,32.1,2.196,11046.0,,,68760.0,1229585.0,1160825.0,156388.0,150965.0,3003.366782,11199.0,166.0,,,,,millions,AUD,1.57
H1-2025,11153.0,,,,5365.0,48.1,,3663.0,32.8,1.225,47507.0,,,70712.0,1302971.0,1232300.0,169555.0,195788.0,3003.366782,,83.0,,,,,millions,AUD,
FY2025,22148.0,,,,9282.0,41.9,,6035.0,27.2,1.981,26028.0,,,70445.0,1297671.0,1227226.0,169274.0,155209.0,3003.366782,17335.0,166.0,,,,,millions,AUD,1.54
H1-2026,11079.0,,,,5484.0,49.5,,3650.0,32.9,1.218,24484.0,,,71756.0,1313805.0,1242049.0,160480.0,165539.0,2997.7,,83.0,,,,,millions,AUD,
