Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CET1Ratio,Deposits,NetInterestIncome,NetInterestMargin,ReturnOnEquity,RiskWeightedAssets,LoanImpairmentExpense,LoansAndAdvances
FY2016,24578.0,,,,12854.0,52.3,,9227.0,37.5,5.425,-4561.0,,,60756.0,933078.0,872322.0,176828.0,23372.0,1771.0,102.0,4.2,,,,,millions,AUD,10.6,588045.0,16935.0,2.07,,,1256.0,695398.0
FY2017,26121.0,,,,13944.0,53.4,,9928.0,38.0,5.776,-807.0,,,63716.0,976374.0,912658.0,186297.0,45850.0,1816.0,122.0,4.29,,,,,millions,AUD,10.1,626655.0,17600.0,2.1,16.2,,1095.0,731762.0
FY2018,26132.0,,,,13420.0,51.4,,9329.0,35.7,5.343,1109.0,,,67860.0,975165.0,907305.0,195286.0,36417.0,1852.0,69.0,4.31,,,,,millions,AUD,10.1,622234.0,18341.0,2.14,14.3,,1079.0,743365.0
FY2019,24337.0,,,,11763.0,48.3,,8571.0,35.2,4.856,18086.0,,,69649.0,976502.0,906853.0,186956.0,29387.0,1897.0,99.0,4.31,,,,,millions,AUD,10.7,636040.0,18120.0,2.09,12.6,,1201.0,755173.0
FY2020,23926.0,,,,10479.0,43.8,,9634.0,40.3,5.448,37307.0,,,72013.0,1014060.0,942047.0,169860.0,44165.0,1895.0,103.0,2.98,,,,,millions,AUD,11.6,701999.0,18610.0,2.07,13.5,,2518.0,771547.0
FY2021,24414.0,,,,12375.0,50.7,,10181.0,41.7,5.748,41312.0,,,78718.0,1091962.0,1013244.0,184219.0,100041.0,1934.0,100.0,3.5,,,,,millions,AUD,13.1,766381.0,18839.0,2.03,13.5,,554.0,811356.0
FY2022,25143.0,,,,13684.0,54.4,,10771.0,42.8,6.254,23240.0,,,72838.0,1215260.0,1142422.0,199726.0,161154.0,1833.0,111.0,3.85,,,,,millions,AUD,11.5,857586.0,19473.0,1.9,12.7,497892.0,-357.0,878854.0
FY2023,27530.0,,,,14343.0,52.1,,10090.0,36.7,5.972,-8390.0,,,72005.0,1252845.0,1180840.0,209085.0,116619.0,1800.0,123.0,4.5,,,,,millions,AUD,12.2,864995.0,23056.0,2.07,14.0,467992.0,1108.0,926082.0
FY2024,26921.0,,,,13782.0,51.2,,9394.0,34.9,5.614,-25623.0,,,73088.0,1254076.0,1180988.0,184696.0,83080.0,1784.0,130.0,4.65,,,,,millions,AUD,12.3,882922.0,22824.0,1.99,13.1,467551.0,802.0,942210.0
FY2025,28290.0,,,,14549.0,51.4,,10116.0,35.8,6.051,-825.0,,,78776.0,1353799.0,1275023.0,210613.0,83819.0,1675.0,161.0,4.85,,,,,millions,AUD,12.3,937857.0,24023.0,2.08,13.4,496145.0,726.0,1007756.0
H1 FY2026,15000.0,,,,7765.0,51.8,,5367.0,35.8,3.21,1674.0,,,77232.0,1408728.0,1331496.0,207454.0,82606.0,1672.0,,2.35,,,,,millions,AUD,12.3,982534.0,12695.0,2.04,,,319.0,1040881.0
FY2026,30153.0,,,,15580.0,51.7,,10866.0,36.0,6.499,-6503.0,,,78704.0,1452456.0,1373752.0,212395.0,72443.0,1674.0,189.0,5.05,,,,,millions,AUD,12.0,1012557.0,25586.0,2.05,13.9,522407.0,788.0,1079452.0
