Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,ARR,ImpairmentGoodwillAndOtherAssets,NormalisedEBIT
FY2017,32.764,,,,-5.021,-15.3,7.056,-5.274,-16.1,-0.0881,6.628,19.874,-13.246,45.556,73.063,27.507,7.03,0.935,59.78,0.345,,,,,,millions,NZD,,,
H1 FY2018,19.57,,,,-3.387,-17.3,3.42,-3.862,-19.7,-0.0644,0.718,9.238,-8.52,36.382,80.968,44.586,17.86,0.83,60.0,0.096,,,,,,millions,NZD,,,
FY2018,51.524,,,,-0.53,-1.0,15.01,0.21,0.4,0.0034,2.007,21.353,-19.346,67.161,112.841,45.68,26.483,21.87,68.09,0.269,,,,,,millions,NZD,,,
H1 FY2019,28.549,,,,-2.29,-8.0,6.201,-3.41,-11.9,-0.0504,7.051,10.082,-3.031,54.588,119.552,64.963,33.227,22.272,67.72,0.204,,,,,,millions,NZD,,,
FY2019,61.352,,,,-2.319,-3.8,15.633,-4.915,-8.0,-0.0724,14.313,20.504,-6.191,51.291,123.2,71.909,34.639,16.139,68.28,0.368,,,,,,millions,NZD,,,
H1 FY2020,38.5,,,,1.4,3.6,11.9,-0.1,-0.3,,9.9,14.6,-4.7,,,,,10.2,,,,,,,,millions,NZD,,,
FY2020,81.2,,,,4.5,5.5,27.1,1.0,1.2,0.0153,23.1,28.1,-5.0,51.3,125.8,74.5,35.8,3.4,68.28,0.3,,,,,,millions,NZD,,,
H1 FY2021,45.8,,,,2.4,5.2,15.3,1.0,2.2,,14.3,7.4,6.9,91.8,162.1,70.3,37.6,49.0,,,,,,,,millions,NZD,,,
FY2021,91.6,,,,5.1,5.6,30.4,2.5,2.7,0.0333,28.1,17.8,10.3,102.1,169.6,67.4,35.0,57.1,74.37,0.9,,,,,,millions,NZD,,,
H1 FY2022,48.0,,,,-0.4,-0.8,12.3,-2.8,-5.8,,9.8,21.3,-11.5,182.6,254.2,71.6,32.7,119.3,,,,,,,,millions,NZD,,,
FY2022,114.9,,,,-7.2,-6.3,21.0,-9.6,-8.4,-0.0998,8.6,53.3,-44.7,247.7,370.1,122.4,32.1,13.9,96.46,2.0,,,,,,millions,NZD,,,
H1 FY2023,85.4,,,,1.0,1.2,20.8,0.6,0.7,0.0049,11.9,30.4,-18.5,253.3,389.7,136.4,47.5,4.4,,,,,,,,millions,NZD,,,
FY2023,174.9,,,,1.7,1.0,45.2,-3.0,-1.7,-0.0268,24.1,55.7,-31.6,248.8,402.8,154.0,70.6,8.1,112.63,0.1,,,,,,millions,NZD,,,
H1 FY2024,88.9,,,,0.4,0.4,25.6,-1.2,-1.3,-0.0113,20.7,22.6,-1.9,284.9,430.1,145.2,52.5,16.8,,2.8,,,,,,millions,NZD,,,
FY2024,182.0,,,,0.2,0.1,53.3,-0.8,-0.4,-0.0055,52.9,53.5,-0.6,321.3,453.5,132.2,36.6,14.5,184.82,4.1,,,,,,millions,NZD,,,
H1 FY2025,95.9,,,,2.4,2.5,29.2,-1.5,-1.6,-0.0082,17.3,17.9,-0.6,311.8,,,,11.3,185.65,1.5,,,,,,millions,NZD,,,
FY2025,194.4,,,,5.9,3.0,59.6,1.4,0.7,0.0073,40.6,28.3,12.3,331.7,460.3,128.6,25.6,13.8,187.41,1.7,,,,,,millions,NZD,175.1,,9.9
H1 FY2026,99.1,,,,-133.9,-135.1,28.7,-144.2,-145.5,-0.7704,25.7,19.9,5.8,186.8,316.7,129.9,23.2,15.5,187.06,1.6,,,,,,millions,NZD,,134.7,
FY2026,195.2,,,,-155.9,-79.9,39.0,-161.1,-82.5,-0.8582,30.3,32.5,-2.2,172.3,308.8,136.5,26.1,10.1,187.97,2.6,,,,,,millions,NZD,174.3,134.7,2.9
