Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AFFO,AUM,NTAPerShare,Occupancy,WALT,GrossRentalIncome,ManagementFeeIncome
FY2017,73.105,,66.471,90.9,,,,53.334,73.0,14.63,34.929,-7.176,27.753,607.858,994.66,386.802,347.021,5.961,364.443,0.518,,,,,,millions,NZD,31.84,,,,,64.564,8.541
FY2018,78.57,,70.885,90.2,57.059,72.6,,95.254,121.2,26.1,39.025,-20.314,18.711,667.148,1011.745,344.597,307.365,10.006,364.969,0.526,,,,,,millions,NZD,33.267,,,,,65.295,13.275
FY2019,92.434,,73.004,79.0,57.891,62.6,,76.191,82.4,20.86,33.16,-24.065,9.095,704.219,1076.429,372.21,332.399,5.364,365.297,,,,,,,millions,NZD,,,,,,76.727,15.707
H1 FY2020,41.722,,33.701,80.8,23.453,56.2,,37.422,89.7,10.24,10.028,-22.409,-12.381,,,,,12.098,,,,,,,,millions,NZD,,,,,,,
FY2020,95.046,,77.361,81.4,53.586,56.4,,25.319,26.6,6.93,29.12,-44.664,-15.544,698.164,1150.278,452.114,385.865,12.098,365.352,,,,,,,millions,NZD,31.812,,,,,76.767,18.279
H1 FY2021,40.858,,33.557,82.1,24.123,59.0,,51.531,126.1,14.1,0.832,-10.11,-9.278,732.893,1001.825,268.932,211.074,15.599,365.352,0.169,,,,,,millions,NZD,,,,,,,13.058
FY2021,91.485,,74.924,81.9,53.873,58.9,,131.871,144.1,32.99,27.881,-23.254,4.627,1017.786,1383.618,365.832,303.029,23.024,472.828,0.75,,,,,,millions,NZD,43.294,,2.15,97.7,,66.428,25.057
H1 FY2022,54.192,,42.861,79.1,25.948,47.9,,61.511,113.5,13.0,12.65,-9.003,3.647,1062.183,1595.01,532.827,468.238,22.503,472.828,0.545,,,,,,millions,NZD,,,,,,,12.75
FY2022,113.297,,90.106,79.5,69.055,61.0,,112.292,99.1,22.7,36.329,-19.201,17.128,1231.084,1642.317,411.233,344.252,20.621,540.189,,,,,,,millions,NZD,50.057,,,,,89.025,24.272
H1 FY2023,58.134,,46.154,79.4,33.975,58.4,,-53.13,-91.4,-9.83,16.804,-7.199,9.605,1158.546,1666.18,507.634,400.985,18.016,540.189,0.943,,,,,,millions,NZD,,,,,,,12.049
FY2023,117.912,,94.394,80.1,70.659,59.9,,-116.747,-99.0,-21.6,39.868,-12.937,26.931,1075.737,1590.463,514.726,442.169,16.833,543.321,,,,,,,millions,NZD,51.575,3.4,,,,94.6,23.312
H1 FY2024,60.727,,47.49,78.2,35.765,58.9,,-50.524,-83.2,-9.26,20.999,-6.04,14.959,1015.884,1503.248,487.364,439.22,14.963,543.321,,,,,,,millions,NZD,,,,,,,10.268
FY2024,118.71,,92.155,77.6,70.602,59.5,,-56.145,-47.3,-10.22,47.26,-14.764,32.496,992.433,1458.543,466.11,414.895,14.762,558.408,,,,,,,millions,NZD,,3.2,1.78,,,98.857,19.853
H1 FY2025,59.676,,45.419,76.1,35.089,58.8,,18.459,30.9,3.3,17.473,-9.088,8.385,980.156,1448.797,468.641,382.367,11.844,558.408,,,,,,,millions,NZD,,,,,,,9.413
FY2025,118.126,,89.467,75.7,68.152,57.7,,21.652,18.3,3.87,39.328,-16.304,23.024,959.669,1397.657,437.988,390.129,15.569,559.039,0.516,,,,,,millions,NZD,42.09,3.2,1.72,95.0,6.6,97.711,20.415
H1 FY2026,,,,,,,,42.6,,,,,,,,,,,,,,,,,,millions,NZD,,3.3,1.75,,,,11.7
FY2026,111.375,,81.837,73.5,59.768,53.7,,31.275,28.1,5.59,31.572,-18.172,13.4,945.68,1287.784,342.104,293.847,15.281,559.462,0.725,,,,,,millions,NZD,42.51,,1.69,95.0,6.6,88.466,22.909
