Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,DistributionPerSecurity,FreeCashFlowPerSecurity,NetIncomeExSignificant,RevenueExPassThrough,TotalDrawnDebt
H1 FY2016,1049.081,,,,417.086,39.8,667.567,99.545,9.5,0.089,462.134,295.527,166.607,4018.211,14240.472,10222.261,9397.533,153.539,1118.523,,0.19,667.567,,,,millions,AUD,19.0,,,812.494,
FY2016,2077.327,,,,809.653,39.0,1330.5,559.93,27.0,0.161,862.435,456.68,405.755,4029.111,14842.675,10813.564,9724.202,84.506,1118.523,,0.415,1330.5,,,,millions,AUD,41.5,,,1656.0,9037.3
H1 FY2017,1179.085,,,,477.699,40.5,759.682,139.83,11.9,0.125,518.247,126.212,392.035,3934.38,14768.665,10834.286,9679.102,132.586,1118.523,,0.205,759.682,,,,millions,AUD,20.5,,,954.305,
FY2017,2304.634,,,,900.101,39.1,1470.1,236.846,10.3,0.213,973.936,342.209,631.727,3978.183,15045.948,11067.765,9700.765,394.501,1118.523,,0.435,1470.1,,,,millions,AUD,43.5,,,1888.3,9249.7
H1 FY2018,1188.649,,,,466.136,39.2,755.256,123.966,10.4,0.111,462.527,320.705,141.822,3939.36,15091.984,11152.624,9733.598,273.234,1136.875,,0.21,755.256,,,,millions,AUD,21.0,,,954.714,
FY2018,2386.722,,,,939.558,39.4,1518.5,264.839,11.1,0.233,1031.627,876.191,155.436,4126.827,15227.226,11100.399,9650.596,100.643,1136.875,,0.45,1518.5,,,,millions,AUD,45.0,,,1941.4,8810.4
H1 FY2019,1237.158,,,,490.037,39.6,787.682,157.4,12.7,0.133,470.184,330.429,139.755,3793.741,15307.033,11513.292,10139.093,130.404,1179.894,,0.215,787.682,,,,millions,AUD,21.5,,,1012.91,
FY2019,2428.949,,,,962.398,39.6,1573.756,288.013,11.9,0.244,1012.127,581.702,430.425,3599.397,15433.927,11834.53,10310.315,354.947,1179.894,,0.47,1573.756,,,,millions,AUD,47.0,,,2030.973,9352.1
H1 FY2020,1313.834,,,,522.797,39.8,842.207,175.047,13.3,0.148,511.853,213.648,298.205,3473.583,15085.976,11612.393,10068.826,74.45,1179.894,,0.23,842.207,,,,millions,AUD,23.0,,,1077.818,
FY2020,2590.6,,,,1001.2,38.6,1652.0,309.0,11.9,0.262,1087.5,,956.6,3223.855,16007.165,12783.31,10917.995,1172.771,1179.894,,0.5,1649.9,,,,millions,AUD,50.0,,309.0,2129.5,9983.6
H1 FY2021,1295.03,,,,491.464,38.0,822.836,-11.706,-0.9,-0.01,519.227,253.316,265.911,3282.496,15217.98,11935.484,10015.312,806.803,1179.894,,0.24,822.836,,,,millions,AUD,24.0,,162.82,1071.807,
FY2021,2605.3,,,,964.5,37.0,1638.8,0.7,0.0,0.001,1050.958,432.928,901.9,2950.978,14742.868,11791.89,9924.038,652.352,1179.894,,0.51,1628.8,,,,millions,AUD,51.0,,278.9,2144.5,9665.7
FY2022,2705.04,,,,895.0,33.1,1630.2,259.7,9.6,0.221,1197.268,689.045,1080.6,2628.445,15836.287,13207.842,10904.32,940.129,1179.894,,0.53,1692.3,,,,millions,AUD,53.0,91.6,240.0,2236.6,10668.1
FY2023,2890.0,,,,936.0,32.4,1686.0,287.0,9.9,0.243,1206.0,1180.0,1070.0,1910.0,15866.0,13956.0,11523.0,513.0,1180.0,,0.55,1725.0,,,,millions,AUD,55.0,90.7,287.0,2401.0,11240.0
H1 FY2024,1516.0,,,,405.0,26.7,840.0,1049.0,69.2,0.842,593.0,560.0,533.0,,,,,,1246.0,,0.265,930.0,,,,millions,AUD,26.5,,74.0,1274.0,
FY2024,3039.0,,,,817.0,26.9,1736.0,998.0,32.8,0.789,1156.0,1096.0,1073.0,3248.0,19563.0,16315.0,12922.0,676.0,1265.0,,0.56,1893.0,,,,millions,AUD,56.0,83.6,119.0,2591.0,12893.0
H1 FY2025,1621.0,,,,495.0,30.5,971.0,34.0,2.1,0.026,666.0,506.0,552.0,2777.0,20605.0,17828.0,14285.0,1320.0,1290.0,,0.27,1015.0,,,,millions,AUD,27.0,,34.0,1364.0,13849.0
FY2025,3179.0,,,,904.0,28.4,1894.0,129.0,4.1,0.099,1284.0,964.0,1083.0,2668.0,19937.0,17269.0,13977.0,800.0,1295.0,,0.57,2015.0,,,,millions,AUD,57.0,83.0,129.0,2713.0,13350.0
H1 FY2026,1614.0,,,,536.0,33.2,1046.0,95.0,5.9,0.073,578.0,398.0,556.0,2772.0,19162.0,16390.0,13170.0,170.0,1312.0,,0.275,1092.0,,,,millions,AUD,27.5,,,1391.0,12821.0
FY2026,2977.0,,,,1053.0,35.4,2095.0,234.0,7.9,0.178,1252.0,845.0,1118.0,2699.0,20217.0,17518.0,14087.0,1636.0,1316.0,,0.58,2183.0,,,,millions,AUD,58.0,84.4,234.0,2803.0,14230.0
