Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,NetIncome,NetMargin,EPS,FreeCashFlow,OperatingCashFlow,CapEx,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,CloudRevenue,ProductivityRevenue,PersonalComputingRevenue
FY2015,93580,64470,68.9,18161,19.4,12193,13.0,1.48,23136,29080,5944,80083,27808,96526,8177,,,,
FY2016,85320,58374,68.4,20182,23.7,16798,19.7,2.10,24982,33325,8343,83090,40783,113240,7808,,,,
FY2017,89950,55689,61.9,22326,24.8,21204,23.6,2.71,31378,39507,8129,87711,76073,132981,7746,,,,
FY2018,110360,72007,65.3,35058,31.8,16571,15.0,2.13,32252,43884,11632,82718,72242,133768,7700,,,,
FY2019,125843,82933,65.9,42959,34.1,39240,31.2,5.06,38260,52185,13925,102330,66662,133819,7643,,,,
Q1 FY2020,33055,22649,68.5,12686,38.4,10678,32.3,1.38,,,,,,,,10845,11077,11133
Q2 FY2020,36906,25252,68.4,13893,37.6,11649,31.6,1.51,,,,,,,,12025,11833,13048
Q3 FY2020,35021,23773,67.9,13030,37.2,10752,30.7,1.40,,,,,,,,11183,10986,12852
FY2020,143015,96937,67.8,52959,37.0,44281,31.0,5.76,45234,60675,15441,118304,66662,133819,7683,48366,43076,51573
Q1 FY2021,37154,26167,70.4,15471,41.6,13893,37.4,1.82,,,,,,,,13530,12316,11308
Q2 FY2021,43076,29528,68.6,17902,41.6,15463,35.9,2.03,,,,,,,,14601,13354,15121
Q3 FY2021,41706,28516,68.4,17007,40.8,15355,36.8,2.03,,,,,,,,14575,12882,14249
FY2021,168088,115856,68.9,69916,41.6,61271,36.5,8.05,56118,76740,20622,141988,58146,130334,7608,60080,48728,59280
Q1 FY2022,45317,30825,68.0,20694,45.7,20505,45.2,2.71,,,,,,,,17367,13724,14226
Q2 FY2022,51728,35030,67.7,22247,43.0,18765,36.3,2.48,,,,,,,,18327,14687,18714
Q3 FY2022,49360,32701,66.3,20360,41.3,16728,33.9,2.22,,,,,,,,16924,14581,17855
FY2022,198270,135620,68.4,83383,42.1,72738,36.7,9.65,65149,89035,23886,166542,49781,104757,7540,74965,63364,59941
Q1 FY2023,50122,33721,67.3,21516,42.9,17556,35.0,2.35,,,,,,,,23318,16469,10335
Q2 FY2023,52747,35532,67.4,20399,38.7,16425,31.1,2.20,,,,,,,,22090,17029,13628
Q3 FY2023,52857,35686,67.5,22352,42.3,18299,34.6,2.45,,,,,,,,22056,17680,13121
FY2023,211915,146052,68.9,88523,41.8,72361,34.2,9.68,59475,87582,28107,206223,50074,48305,7472,87907,69274,54734
Q1 FY2024,56517,38842,68.7,26895,47.6,22291,39.4,2.99,,,,,,,,24092,18590,13835
Q2 FY2024,62020,42825,69.1,27041,43.6,21870,35.3,2.93,,,,,,,,24544,18980,18496
Q3 FY2024,61858,43353,70.1,27581,44.6,21939,35.5,2.94,,,,,,,,22141,27113,12604
FY2024,245122,171008,69.8,109433,44.6,88136,36.0,11.80,74071,118548,44477,268477,51630,75543,7469,105362,77728,62032
Q1 FY2025,65585,45486,69.4,30552,46.6,24667,37.6,3.30,,,,,,,,24092,28317,13176
Q2 FY2025,69632,47833,68.7,31653,45.5,24108,34.6,3.23,,,,,,,,25544,29437,14651
Q3 FY2025,70066,48147,68.7,32000,45.7,25824,36.9,3.46,,,,,,,,26751,29944,13371
FY2025,281724,193893,68.8,128528,45.6,101832,36.2,13.64,71611,136162,64551,343479,43151,94565,7465,106265,120810,54649
Q1 FY2026,77673,53630,69.1,37961,48.9,27747,35.7,3.72,,,,,,,,30897,33020,13756
Q2 FY2026,81273,55295,68.0,38275,47.1,38458,47.3,5.16,,,,,,,,32907,34116,14250
