Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,ComparableSalesGrowthEurope,ComparableSalesGrowthUS,EmployeesFTE,EuropeSegmentOperatingIncome,EuropeSegmentRevenue,NetConsumerOnlineSales,OnlineSales,StoreCount,USSegmentOperatingIncome,USSegmentRevenue,UnderlyingOperatingMargin
FY2016,49695.0,,,,1584.0,3.2,3048.0,830.0,1.7,0.81,2893.0,-1302.0,1441.0,16276.0,36275.0,19999.0,7561.0,4032.0,1272.0,61.0,0.57,,,,,millions,EUR,,,225.0,,,,1991.0,6556.0,,,3.8
FY2017,62890.0,-46121.0,16769.0,26.7,2225.0,3.5,4082.0,1817.0,2.9,1.45,3695.0,-1698.0,1926.0,15170.0,33871.0,18701.0,7250.0,4581.0,1228.0,79.0,0.63,,,,,millions,EUR,,,224.0,,,,2393.0,6637.0,,,3.9
FY2018,62791.0,-45839.0,16952.0,27.0,2623.0,4.2,4439.0,1780.0,2.8,1.51,4323.0,-1780.0,2165.0,14205.0,39830.0,25625.0,14485.0,3122.0,1130.0,60.0,0.7,,,,,millions,EUR,2.8,2.3,225.0,1123.0,25331.0,3494.0,2817.0,6769.0,1633.0,37460.0,4.4
FY2019,66260.0,,,,2662.0,4.0,5510.0,1766.0,2.7,1.6,5449.0,-2218.0,1843.0,14083.0,41490.0,27407.0,15445.0,3717.0,1088.0,51.0,0.76,,,,,millions,EUR,2.7,1.1,232.0,1140.0,26194.0,4547.0,3493.0,6967.0,1668.0,40066.0,4.2
FY2020,74736.0,,,,2191.0,2.9,5083.0,1397.0,1.9,1.31,6343.0,-2659.0,2199.0,12432.0,40692.0,28260.0,14554.0,2933.0,1047.0,59.0,0.9,,,,,millions,EUR,9.5,13.3,249.0,1380.0,29266.0,7576.0,5547.0,7137.0,1006.0,45470.0,4.8
FY2021,75601.0,-54916.0,20685.0,27.4,3320.0,4.4,6388.0,2246.0,3.0,2.18,5468.0,-2371.0,1618.0,13721.0,45712.0,31991.0,17089.0,2993.0,1011.0,48.0,0.95,,,,,millions,EUR,2.8,2.6,259.0,1209.0,30147.0,10401.0,7704.0,7452.0,2231.0,45455.0,4.4
FY2022,86984.0,-64880.0,22104.0,25.4,3768.0,4.3,7436.0,2546.0,2.9,2.56,6110.0,-2490.0,2188.0,15405.0,48555.0,33150.0,17640.0,3082.0,977.0,65.0,1.05,,,,,millions,EUR,2.9,7.4,250.0,1173.0,31767.0,11323.0,8618.0,7659.0,2605.0,55218.0,4.3
Q1 2023,21624.0,-15793.0,5831.0,27.0,822.0,3.8,,561.0,2.6,0.58,940.0,,,15623.0,48845.0,33222.0,,3656.0,974.0,,,,,,,millions,EUR,,,,,,,,,,,
Q2 2023,22068.0,-16209.0,5859.0,26.5,724.0,3.3,,468.0,2.1,0.49,913.0,,,15035.0,48445.0,33410.0,,,967.0,,,,,,,millions,EUR,,,,,,,,,,,
Q3 2023,21934.0,-16134.0,5800.0,26.4,625.0,2.8,,394.0,1.8,0.42,1443.0,,,15322.0,50150.0,34828.0,,,958.0,,,,,,,millions,EUR,,,,,,,,,,,
Q4 2023,23023.0,-16743.0,6279.0,27.3,675.0,2.9,,451.0,2.0,0.48,2230.0,,,14755.0,47821.0,33066.0,,3484.0,949.0,,,,,,,millions,EUR,,,,,,,,,,,
FY2023,88734.0,,,,2846.0,3.2,6690.0,1874.0,2.1,1.95,6466.0,-2434.0,2425.0,14755.0,47821.0,33066.0,17766.0,3484.0,946.0,53.0,1.1,,,,,millions,EUR,6.3,1.8,232.0,870.0,34124.0,11793.0,8931.0,7716.0,2044.0,54610.0,4.1
Q1 2024,21728.0,-15904.0,5825.0,26.8,803.0,3.7,,513.0,2.4,0.54,1194.0,,,15244.0,51113.0,35869.0,,6508.0,942.0,,,,,,,millions,EUR,,,,,,,,,,,
Q2 2024,22349.0,-16366.0,5982.0,26.8,790.0,3.5,,499.0,2.2,0.53,188.0,,,15133.0,50698.0,35565.0,,,934.0,,,,,,,millions,EUR,,,,,,,,,,,
Q3 2024,21957.0,-16141.0,5862.0,26.7,583.0,2.7,,372.0,1.7,0.4,1330.0,,,14355.0,47615.0,33260.0,,,926.0,,,,,,,millions,EUR,,,,,,,,,,,
Q4 2024,23276.0,-17140.0,6136.0,26.4,607.0,2.6,,380.0,1.6,0.41,2319.0,,,15454.0,51842.0,36388.0,,6169.0,917.0,,,,,,,millions,EUR,,,,,,,,,,,
FY2024,89356.0,-65551.0,23805.0,26.6,2784.0,3.1,6490.0,1764.0,2.0,1.9,6224.0,-2299.0,2545.0,15454.0,51842.0,36388.0,20315.0,6169.0,914.0,42.0,1.17,,,,,millions,EUR,2.0,0.5,222.0,906.0,35158.0,12123.0,9235.0,7765.0,2215.0,54198.0,4.0
Q1 2025,23276.0,-17104.0,6172.0,26.5,880.0,3.8,,554.0,2.4,0.6,1296.0,,,15425.0,51484.0,36059.0,,4721.0,912.0,,,,,,,millions,EUR,,,,,,,,,,,
Q2 2025,23092.0,-16985.0,6107.0,26.4,861.0,3.7,,548.0,2.4,0.61,298.0,,,14108.0,48986.0,34878.0,,,906.0,,,,,,,millions,EUR,,,,,,,,,,,
Q3 2025,22494.0,-16543.0,5951.0,26.5,902.0,4.0,,584.0,2.6,0.65,1397.0,,,13862.0,49028.0,35166.0,,,899.0,,,,,,,millions,EUR,,,,,,,,,,,
Q4 2025,23490.0,-17206.0,6284.0,26.8,899.0,3.8,,577.0,2.5,0.65,2701.0,,,14195.0,49089.0,34894.0,,3605.0,889.0,,,,,,,millions,EUR,,,,,,,,,,,
FY2025,92352.0,-67838.0,24514.0,26.5,3542.0,3.8,7275.0,2264.0,2.5,2.51,6989.0,-2564.0,2600.0,14195.0,49089.0,34894.0,18404.0,3605.0,887.0,70.0,1.24,,,,,millions,EUR,3.4,2.8,222.0,1404.0,39289.0,13399.0,10274.0,9551.0,2277.0,53063.0,4.0
Q1 2026,22275.0,-16306.0,5969.0,26.8,895.0,4.0,,552.0,2.5,0.62,757.0,,,14790.0,49874.0,35084.0,,,883.0,,,,,,,millions,EUR,,,,,,,,,,,
Q2 2026,23165.0,-17054.0,6111.0,26.4,866.0,3.7,,526.0,2.3,0.6,986.0,,,14445.0,49659.0,35214.0,,,878.0,,,,,,,millions,EUR,,,,,,,,,,,
