Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CombinedOperatingRatio,GrossWrittenPremium,InsuranceServiceResult,NetEarnedPremium,ExpenseRatio,NetClaimsRatio,NetCommissionRatio,UnderwritingResult
H1 FY2016,6876.0,,,,326.0,4.7,,265.0,3.9,0.192,216.0,41.0,175.0,10325.0,43273.0,32889.0,3482.0,763.0,1373.0,40.0,,,,,,millions,USD,,8107.0,,5615.0,,,,54.0
H1 FY2017,6973.0,,,,406.0,5.8,,345.0,4.9,0.25,-402.0,55.0,-457.0,10668.0,45993.0,35277.0,3498.0,802.0,1370.0,33.0,,,,,,millions,USD,,8038.0,,6043.0,,,,154.0
H1 FY2018,6697.0,,,,450.0,6.7,,358.0,5.3,0.263,-1174.0,49.0,-1223.0,8695.0,42417.0,33692.0,3205.0,511.0,1356.0,17.0,,,,,,millions,USD,,7887.0,,5647.0,,,,260.0
FY2018,13601.0,,,,826.0,6.1,,390.0,2.9,0.286,-443.0,100.0,-543.0,8381.0,39582.0,31182.0,3188.0,863.0,1327.0,34.0,,,,,,millions,USD,,13657.0,,11640.0,,,,480.0
H1 FY2019,6458.0,,,,433.0,6.7,,463.0,7.2,0.347,113.0,49.0,64.0,8366.0,41193.0,32814.0,3076.0,678.0,1327.0,22.0,,,,,,millions,USD,,7637.0,,5671.0,,,,-24.0
FY2019,13257.0,,,,647.0,4.9,,550.0,4.1,0.415,1779.0,114.0,1665.0,8153.0,40035.0,31882.0,3095.0,547.0,1305.0,38.0,,,,,,millions,USD,,13442.0,,11609.0,,,,-2.0
H1 FY2020,6509.0,,,,-584.0,-9.0,,-712.0,-10.9,-0.519,-122.0,49.0,-171.0,8438.0,43167.0,34729.0,3064.0,938.0,1372.0,11.0,,,,,,millions,USD,,8011.0,,5506.0,,,,-524.0
FY2020,14008.0,,,,-727.0,-5.2,,-1517.0,-10.8,-1.085,1234.0,111.0,1123.0,8491.0,46625.0,38133.0,2955.0,766.0,1471.0,20.0,,,,,,millions,USD,,14643.0,,11708.0,,,,-869.0
H1 FY2021,7980.0,,,,674.0,8.4,,441.0,5.5,0.281,790.0,37.0,753.0,8839.0,49390.0,40550.0,2751.0,767.0,1475.0,18.0,,,,,,millions,USD,,10203.0,,6571.0,,,,642.0
FY2021,17035.0,,,,1215.0,7.1,,750.0,4.4,0.472,2754.0,120.0,2634.0,8881.0,49303.0,40421.0,3268.0,819.0,1477.0,32.0,,,,,,millions,USD,,18457.0,,13408.0,,,,1138.0
H1 FY2022,9047.0,,,,644.0,7.1,,151.0,1.7,0.085,421.0,64.0,357.0,8512.0,51070.0,42557.0,2755.0,801.0,1482.0,20.0,,,,,,millions,USD,,11552.0,,6789.0,,,,1191.0
FY2022,18904.0,,,,1295.0,6.9,,587.0,3.1,0.36,2833.0,165.0,2668.0,8855.0,39201.0,30344.0,2744.0,833.0,1485.0,39.0,,,,,,millions,USD,95.9,19993.0,971.0,,11.7,66.0,18.2,
H1 FY2023,,,,,,,,400.0,,,,,,,,,,,,,,,,,,millions,USD,98.8,12803.0,,,11.7,69.0,18.1,
FY2023,20826.0,,,,1619.0,7.8,,1355.0,6.5,0.87,1503.0,168.0,1335.0,9950.0,42108.0,32155.0,2798.0,1366.0,1494.0,42.0,,,,,,millions,USD,95.2,21748.0,1503.0,,11.8,65.1,18.3,
H1 FY2024,,,,,,,,802.0,,,,,,,,,,,,,,,,,,millions,USD,93.8,13051.0,,,12.0,64.2,17.6,
FY2024,21778.0,,,,2133.0,9.8,,1779.0,8.2,1.142,2575.0,152.0,2423.0,10728.0,43846.0,33115.0,2664.0,1638.0,1505.0,59.0,,,,,,millions,USD,93.1,22395.0,2006.0,,12.2,63.2,17.7,
H1 FY2025,10875.0,,,,1105.0,10.2,,1022.0,9.4,0.655,1756.0,45.0,1711.0,10896.0,,,,2124.0,1510.0,34.0,,,,,,millions,USD,92.8,13820.0,1077.0,,12.1,62.8,17.9,
FY2025,22955.0,,,,2486.0,10.8,,2157.0,9.4,1.4,4223.0,135.0,4088.0,11671.0,48535.0,36862.0,3700.0,1869.0,1506.0,64.0,,,,,,millions,USD,91.9,23959.0,2394.0,,12.4,61.4,18.1,
H1 FY2026,11953.0,,,,1285.0,10.8,,1033.0,8.6,0.683,1052.0,69.0,983.0,11667.0,48807.0,37138.0,4160.0,2325.0,1494.0,38.0,,,,,,millions,USD,92.8,15137.0,1250.0,,12.4,62.3,18.1,
