Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,LeasePrincipalPaid,DiscontinuedOpsProfit,NetIncomeContinuing,ShareOfAssociatesProfit
FY2015,947.662,350.894,596.768,62.9727,122.683,12.9459,145.36,88.102,9.2968,0.5649,103.111,36.164,66.947,1338.307,1648.803,310.496,104.655,281.572,155.96,0.53,,,,,,millions,AUD,,,,13.144
H1 FY2016,564.951,198.931,366.02,64.7879,100.837,17.8488,113.151,71.537,12.6625,0.457,74.88,20.015,54.865,1366.783,1649.632,282.849,83.031,288.382,156.54,,,,,,,millions,AUD,,,,8.476
FY2016,1049.226,378.946,670.28,63.8833,147.995,14.1052,171.876,103.874,9.9001,0.6627,103.663,45.174,58.489,1338.555,1662.883,324.328,105.805,283.233,156.38,1.65,,,,,,millions,AUD,,,,13.792
H1 FY2017,588.613,211.75,376.863,64.0256,100.237,17.0294,113.191,71.868,12.2097,0.4569,82.544,81.441,1.103,1374.965,1738.806,363.841,135.389,279.154,157.3,,,,,,,millions,AUD,,,,9.271
FY2017,1092.76,403.336,689.424,63.0902,145.387,13.3046,171.458,105.136,9.6211,0.6678,97.837,105.959,-8.122,1335.673,1736.691,401.018,173.475,170.631,157.44,,,,,,,millions,AUD,,,,14.799
H1 FY2018,630.073,232.148,397.925,63.1554,111.009,17.6184,124.743,78.598,12.4744,0.4981,101.352,23.074,78.278,1373.903,1750.027,376.124,146.579,185.521,157.8,,,,,,,millions,AUD,,,,9.992
FY2018,1182.221,443.907,738.314,62.4514,131.516,11.1245,190.42,83.638,7.0747,0.5297,133.851,54.031,79.82,1344.934,1751.414,406.48,175.684,178.618,157.748,2.343,,,,,,millions,AUD,,,,16.087
H1 FY2019,680.201,251.538,428.663,63.02,125.831,18.4991,141.404,88.82,13.0579,0.5617,104.53,8.417,96.113,1377.605,1769.535,391.93,137.788,183.207,158.13,,,,,,,millions,AUD,,,,12.209
FY2019,1270.958,484.38,786.578,61.8886,159.429,12.544,211.744,106.807,8.4037,0.6751,138.814,20.332,118.482,1349.286,1768.723,419.437,167.493,190.255,158.099,1.186,,,,,,millions,AUD,,,,18.906
H1 FY2020,732.074,274.24,457.834,62.5393,145.939,19.935,252.584,99.611,13.6067,0.6287,223.944,7.364,216.58,1385.663,2122.631,736.968,101.576,199.757,158.44,,,,,,,millions,AUD,,,,13.902
FY2020,1216.316,474.582,741.734,60.982,211.915,17.4227,461.975,137.753,11.3254,0.8689,483.582,7.589,475.993,1347.448,2202.532,855.084,146.659,448.832,158.43,1.613,,,,,,millions,AUD,150.958,,,17.696
H1 FY2021,784.614,271.494,513.12,65.3978,268.404,34.2084,357.494,188.172,23.9827,1.185,233.337,1.167,232.17,1471.946,2246.905,774.959,146.746,497.243,158.8,,,,,,,millions,AUD,,,,16.854
FY2021,1443.174,515.271,927.903,64.296,391.157,27.1039,569.415,271.84,18.8363,1.7115,383.52,3.033,380.487,1532.905,2281.222,748.317,146.834,523.356,158.724,1.856,,,,,,millions,AUD,137.18,,,23.897
H1 FY2022,769.924,262.734,507.19,65.8753,233.912,30.3812,317.199,163.644,21.2546,1.0297,172.652,3.694,168.958,1620.432,2272.436,652.004,69.0,468.634,158.93,,,,,,,millions,AUD,,,,20.349
FY2022,1497.52,527.721,969.799,64.7603,401.525,26.8127,567.701,285.174,19.0431,1.794,355.477,8.874,346.603,1677.519,2304.734,627.215,69.0,471.273,158.864,6.098,,,,,,millions,AUD,169.573,,,27.085
H1 FY2023,905.233,329.05,576.183,63.6502,249.796,27.5947,330.057,174.344,19.2596,1.0958,212.22,7.084,205.136,1795.507,2442.62,647.113,69.0,470.352,159.1,3.544,,,,,,millions,AUD,,,,20.121
FY2023,1643.502,621.011,1022.491,62.2142,398.65,24.2561,563.872,271.078,16.4939,1.7031,359.055,16.451,342.604,1741.336,2518.129,776.793,69.0,417.647,158.993,7.207,,,,,,millions,AUD,161.754,,,30.864
H1 FY2024,879.518,320.925,558.593,63.5113,253.065,28.7731,335.26,177.229,20.1507,1.1122,271.334,14.192,257.142,1814.193,2568.066,753.873,69.0,478.091,159.35,-3.974,,,463.19,,,millions,AUD,,53.126,124.103,35.722
FY2024,1595.326,597.294,998.032,62.5598,384.265,24.0869,550.307,257.922,16.1674,1.6178,407.13,29.161,377.969,1795.522,2523.533,728.011,69.0,409.481,159.225,-3.084,,,804.616,,,millions,AUD,176.556,72.071,185.851,42.411
H1 FY2025,457.359,147.774,309.585,67.6897,149.513,32.6905,187.661,117.047,25.5919,0.7332,223.39,22.931,200.459,783.183,2644.218,1861.035,69.0,337.078,159.64,3.468,,,457.359,,,millions,AUD,,15.735,101.312,24.728
FY2025,816.807,280.706,536.101,65.6337,223.139,27.3184,300.553,338.216,41.4071,2.1171,251.204,31.1,220.104,1001.935,1434.031,432.096,69.0,333.337,159.658,4.9,,,816.807,,,millions,AUD,125.751,194.242,143.974,34.449
H1 FY2026,453.87,151.604,302.266,66.5975,141.445,31.1642,179.494,101.694,22.406,0.6361,146.028,6.904,139.124,1020.71,1459.04,438.33,69.0,360.061,159.87,0.868,,,453.87,,,millions,AUD,,0.0,101.694,24.753
FY2026,793.689,279.875,513.814,64.7374,199.722,25.1638,283.568,129.165,16.274,0.8084,221.435,14.601,206.834,962.19,1439.932,477.742,69.0,391.35,159.88,1.902,,,793.689,,,millions,AUD,76.215,0.0,129.165,34.808
