Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,EPSDiluted
FY2015,2867.8,,,,,,,2707.8,94.4,0.5098,1189.2,579.0,610.2,17639.6,31841.3,13935.1,11142.7,142.7,5311.5,,,,,,,millions,AUD,0.5083
H1 FY2016,1275.7,,,,,,,1154.0,90.5,0.2173,583.1,340.1,243.0,18250.8,32785.5,14261.7,11440.5,208.7,5310.6,,,,,,,millions,AUD,0.2166
FY2016,2520.7,,,,,,,2990.5,118.6,0.563,1116.9,723.1,393.8,19487.2,33985.2,14230.8,11630.6,159.0,5311.7,,,,,,,millions,AUD,0.5614
H1 FY2017,1203.7,,,,,,,1412.1,117.3,0.2659,568.5,328.2,240.3,20335.8,34850.3,14252.3,12057.4,172.0,5310.6,,,,,,,millions,AUD,0.2651
FY2017,2469.6,,,,,,,4217.9,170.8,0.7941,1225.1,684.7,540.4,22533.9,37415.6,14634.3,12323.7,174.0,5311.5,,,,,,,millions,AUD,0.7918
FY2018,2635.1,,,,,,,2287.2,86.8,0.431,1299.3,776.1,523.2,23637.7,40875.0,17009.2,14643.1,206.1,5306.7,,,,,,,millions,AUD,0.4297
FY2019,2616.4,,,,,,,1179.5,45.1,0.223,1300.5,358.1,942.4,23338.6,39883.4,16335.5,13819.7,253.0,5289.2,,,,,,,millions,AUD,0.2223
FY2020,2162.3,,,,,,,-3731.8,-172.6,-0.7192,684.6,296.0,388.6,18828.4,38064.1,19069.7,15675.8,378.1,5188.8,,,,,,,millions,AUD,-0.7192
FY2021,2280.8,,,,,,,887.9,38.9,0.1713,887.2,301.0,586.2,18998.9,36638.4,17463.8,14742.1,978.7,5183.3,,,,,,,millions,AUD,0.1707
FY2022,2457.9,,,,,,,300.6,12.2,0.058,1146.6,439.3,707.3,18530.6,37006.7,18286.2,15412.1,679.0,5182.8,,,,,,,millions,AUD,0.0578
FY2023,2510.3,,,,,,,174.9,7.0,0.0337,1070.7,446.6,624.1,17841.3,35671.5,17648.0,15440.2,296.4,5189.9,,,,,,,millions,AUD,0.0336
FY2024,2637.1,,,,,,,1049.8,39.8,0.2023,1071.2,411.0,660.2,18006.3,36354.9,18165.5,16692.8,380.6,5189.3,,,,,,,millions,AUD,0.2013
FY2025,2685.0,,,,,,,1778.5,66.2,0.3417,1052.5,378.3,674.2,18885.0,35397.0,16320.6,14894.7,529.4,5204.9,,,,,,,millions,AUD,0.3401
