Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CET1Ratio,NetInterestMargin,CashEarnings,CostToIncomeRatio,CreditExpenses,Deposits,LiquidityCoverageRatio,NetLoans,NetStableFundingRatio,ReturnOnEquity,RiskWeightedAssets
H1 FY2016,783.5,,,,307.8,,,208.7,26.64,0.456,-8.0,,,5035.5,65722.5,60687.0,5605.2,886.7,458.928,,0.33,,,,,millions,AUD,,,,,,54198.1,,,,,
FY2016,1548.6,,,,606.9,,,415.6,26.84,0.904,293.7,,,5116.5,68580.9,63464.4,5226.5,1060.0,463.763,,0.68,,,,,millions,AUD,,,,,,57054.7,,57253.6,,,
H1 FY2017,804.1,,,,304.7,,,209.0,25.99,0.446,254.4,,,5301.5,70948.5,65647.0,5390.3,913.2,474.353,,0.34,,,,,millions,AUD,,,,,,59228.5,,,,,
FY2017,1541.7,,,,628.3,,,429.6,27.87,0.909,58.4,,,5425.6,71415.5,65989.9,6023.8,1001.5,479.206,,0.68,,,,,millions,AUD,,,,,,58772.3,,60776.6,,,
H1 FY2018,842.9,,,,339.1,,,231.7,27.49,0.4,156.0,,,5556.4,71261.9,65705.5,6237.3,1050.9,483.863,,0.35,,,,,millions,AUD,,,,,,58502.0,,,,,
FY2018,1643.5,,,,587.0,,,434.5,26.44,0.899,351.6,,,5620.3,71439.8,65819.5,5134.9,1067.9,486.418,,0.7,,,,,millions,AUD,,,,,,59529.5,,,,,
H1 FY2019,790.2,,,,297.0,,,203.2,25.72,0.417,29.5,,,5585.3,71685.1,66099.8,4615.2,1708.6,488.969,,0.35,,,,,millions,AUD,,,,,,60682.1,,,,,
FY2019,1567.5,,,,552.0,,,376.8,24.04,0.771,205.8,,,5631.6,72570.3,66938.7,5032.2,922.0,491.575,,0.7,,,,,millions,AUD,,,,,,60566.6,,61791.8,,,
H1 FY2020,834.2,,,,212.3,,,145.8,17.48,0.296,133.1,,,5591.9,74631.4,69039.5,5527.1,2319.0,493.843,,0.35,,,,,millions,AUD,,,,,,62688.6,,,,,
FY2020,1634.4,,,,286.1,,,192.8,11.8,0.381,323.5,,,5798.2,76008.9,70210.7,5065.0,1181.5,530.779,,0.35,,,,,millions,AUD,,,,,,64182.6,,64980.4,,,
H1 FY2021,889.8,,,,347.9,,,243.9,27.41,0.46,177.3,,,6047.2,80765.2,74718.0,4675.4,4577.0,532.077,,0.28,,,,,millions,AUD,,,,,,69339.4,,,,,
FY2021,1805.4,,,,753.7,,,524.0,29.02,0.981,6135.9,,,6353.5,86577.2,80223.7,4980.9,7086.3,545.51,,0.5,,,,,millions,AUD,,1.95,457.2,60.3,,74355.6,,71920.6,,7.67,
H1 FY2022,965.1,,,,458.4,,,321.3,33.29,0.58,2656.6,,,6689.1,90782.4,84093.3,5336.2,9493.3,558.901,,0.265,,,,,millions,AUD,,1.8,,59.3,,,,,,8.11,
FY2022,1709.9,,,,708.5,,,488.1,28.55,0.875,-3250.6,,,6711.9,95243.7,88531.8,13069.1,3541.0,563.077,,0.53,,,,,millions,AUD,,1.74,500.4,59.4,-27.2,74583.9,,77610.4,,7.72,
H1 FY2023,907.8,,,,363.9,,,249.0,27.43,0.441,4709.2,,,6809.6,96647.1,89837.5,12469.7,8007.0,565.667,,0.29,,,,,millions,AUD,,,,,,76455.4,,,,,
FY2023,1920.3,,,,724.8,,,497.0,25.88,0.879,5705.7,,,6850.7,98479.7,91629.0,13209.2,8384.2,565.896,,0.61,,,,,millions,AUD,,1.94,576.9,54.9,33.6,77310.8,,78526.3,,8.62,
H1 FY2024,1030.7,,,,413.5,,,282.3,27.39,0.499,-3229.1,,,7009.0,99530.1,92521.1,12644.9,4783.3,566.167,,0.3,,,,,millions,AUD,,1.83,,57.8,10.8,78655.8,,,,7.82,
FY2024,2033.3,,,,797.2,,,545.0,26.8,0.963,834.4,,,7034.0,98187.9,91153.9,10660.0,1964.5,565.315,,0.63,,,,,millions,AUD,11.32,1.9,562.0,57.5,9.9,78986.5,137.8,80567.6,116.4,8.18,38005.0
H1 FY2025,949.0,,,,311.4,,,216.8,22.85,0.383,2409.4,,,7093.1,102169.7,95076.6,11606.4,4004.3,566.543,,0.3,,,,,millions,AUD,11.17,1.88,,61.5,,82500.4,,,,7.55,38871.0
FY2025,1939.7,,,,105.3,,,-97.1,-5.01,-0.172,140.4,,,6670.3,103218.9,96548.6,11294.8,3400.6,563.867,,0.63,,,,,millions,AUD,11.0,1.88,514.6,62.1,-14.7,83842.9,132.3,85708.4,115.9,7.34,39305.0
H1 FY2026,1021.1,,,,320.3,,,230.6,22.58,0.408,-289.1,,,6643.8,101300.6,94656.8,9472.7,2508.3,566.8,,0.3,,,,,millions,AUD,11.37,1.92,256.4,63.0,,84111.8,135.3,,,7.76,38747.0
FY2026,1994.3,,,,554.9,,,375.1,18.81,0.659,667.8,,,6734.5,104410.7,97676.2,10442.0,3761.0,566.8,,0.63,,,,,millions,AUD,11.34,1.95,,61.6,,85991.3,140.2,87020.1,114.7,8.01,40014.0
