Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NetTangibleAssetsPerSecurity
H1 FY2016,523.7,,,,,,,797.5,152.3,0.8227,438.5,64.3,374.2,7324.6,11124.0,3799.4,3272.8,25.5,969.4,,,,,,,millions,AUD,7.25
FY2016,865.5,,,,,,,1259.8,145.6,1.3006,663.7,174.7,489.0,7596.3,11782.8,4186.5,3686.8,18.1,968.6,,,,,,,millions,AUD,
H1 FY2017,384.0,,,,,,,716.0,186.5,0.7397,301.6,73.1,228.5,8104.4,11916.8,3812.4,3170.4,19.7,968.0,,,,,,,millions,AUD,8.05
FY2017,881.7,,,,,,,1264.2,143.4,1.3053,657.1,149.2,507.9,8824.5,12270.1,3445.6,2697.8,21.2,968.5,,,,,,,millions,AUD,
H1 FY2018,437.3,,,,,,,997.1,228.0,0.9802,180.9,92.8,88.1,9556.5,13807.0,4250.5,3622.3,24.5,1017.2,,,,,,,millions,AUD,9.16
FY2018,840.6,,,,,,,1728.9,205.7,1.6995,609.7,206.9,402.8,10047.4,14017.3,3969.9,3359.6,33.3,1017.3,,,,,,,millions,AUD,
H1 FY2019,455.6,,,,,,,726.4,159.4,0.7141,331.3,128.8,202.5,10492.8,14711.8,4219.0,3558.4,36.7,1017.2,,,,,,,millions,AUD,10.07
FY2019,795.1,,,,,,,1281.0,161.1,1.2236,493.1,268.0,225.1,11743.3,16521.3,4778.0,4066.6,29.8,1046.9,,,,,,,millions,AUD,
H1 FY2020,583.5,,,,,,,994.2,170.4,0.892,439.7,177.2,262.5,12426.1,17831.5,5405.4,4641.4,55.5,1114.6,,,,,,,millions,AUD,11.1
FY2020,991.9,,,,,,,983.0,99.1,0.8863,729.9,262.4,467.5,12110.3,17622.1,5511.8,4838.0,31.8,1109.1,,,,,,,millions,AUD,
H1 FY2021,626.6,,,,,,,442.9,70.7,0.4056,499.8,62.1,437.7,12192.3,17412.4,5220.1,4500.3,47.3,1092.0,,,,,,,millions,AUD,10.96
FY2021,1015.9,,,,,,,1138.4,112.1,1.0473,999.3,127.1,872.2,12509.0,18099.6,5590.6,4924.7,43.5,1087.0,,,,,,,millions,AUD,
H1 FY2022,514.9,,,,,,,803.2,156.0,0.738,344.2,88.5,255.7,13028.2,19381.4,6353.2,5591.3,61.9,1088.3,,,,,,,millions,AUD,11.77
FY2022,874.3,,,,,,,1615.9,184.8,1.4836,560.1,104.9,455.2,13567.2,19192.1,5624.9,4882.3,75.3,1089.2,,,,,,,millions,AUD,
H1 FY2023,463.5,,,,,,,23.1,5.0,0.014,294.1,72.7,221.4,13281.4,18600.6,5319.2,4531.2,87.3,1076.0,,,,,,,millions,AUD,12.01
FY2023,848.4,,,,,,,-752.7,-88.7,-0.6998,770.9,226.8,544.1,12264.3,18480.2,6215.9,5309.7,123.9,1075.6,,,,,,,millions,AUD,
H1 FY2024,480.6,,,,,,,-597.2,-124.3,-0.555,108.2,52.8,55.4,11369.6,16957.2,5587.6,4694.0,77.6,1076.0,,,,,,,millions,AUD,10.04
FY2024,902.2,,,,,,,-1583.8,-175.5,-1.4725,613.5,148.1,465.4,10164.8,15822.4,5657.6,4909.6,54.0,1075.6,,,,,,,millions,AUD,
H1 FY2025,434.7,,,,,,,10.3,2.4,0.0096,264.1,43.2,220.9,9982.8,15580.5,5597.7,4863.0,55.5,1072.9,,,,,,,millions,AUD,8.81
FY2025,951.2,,,,,,,136.1,14.3,0.1268,811.3,85.8,725.5,9913.1,15388.6,5475.5,4720.1,65.3,1073.3,,,,,,,millions,AUD,8.81
H1 FY2026,360.0,,,,,,,364.6,101.3,0.3254,168.5,42.8,125.7,10046.9,15308.0,5261.1,4591.4,74.7,1120.5,,,,,,,millions,AUD,8.95
FY2026,710.0,,,,,,,482.2,67.9,0.4334,545.5,73.8,471.7,9969.4,15218.5,5249.1,4574.0,57.8,1112.6,,,,,,,millions,AUD,
