Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,TotalInterestIncome,TotalInterestExpense,NetInterestIncome,ProvisionForCreditLosses,NoninterestIncome,NoninterestExpense,PretaxIncome,NetInterestMargin,TotalLoans,TotalDeposits,BookValuePerShare,Notes
FY2022,,,,,,,,1.9,,,,,,118.2,648.6,,0.0,35.3,,,,millions,USD,13.4,1.5,11.9,0.0,1.4,11.0,2.2,2.59,334.6,522.1,,Standalone mutual Somerset Savings Bank pre-IPO; no public shares/EPS
FY2023,,,,,,,,1.6,,,,,,122.1,651.5,,20.0,42.4,,,,millions,USD,16.1,2.4,13.7,0.0,1.3,13.2,1.8,3.00,362.3,503.9,,Standalone mutual Somerset Savings Bank pre-IPO (year ended Jun 30 2023); IPO/Regal acquisition closed Sep 2023
Q1 2024,,,,,,,,-10.5,,-10.03,,,,194.5,1108.5,,20.0,121.1,9.5,,,millions,USD,5.5,1.4,4.1,4.2,0.5,12.9,-12.4,2.41,692.4,877.3,20.5,IPO and Regal Bancorp acquisition closed Sep 19 2023; provision reflects full CECL day-1 reserve established on acquired Regal loan portfolio; large merger/other noninterest expense one-offs; only 11 days of shares outstanding in EPS-weighted avg
Q2 2024,,,,,,,,1.6,,0.18,,,,198.0,1074.9,,20.0,90.2,9.5,,,millions,USD,12.3,3.3,9.0,-0.1,0.4,7.5,2.0,3.56,695.8,843.3,20.8,Three-month (not six-month) column used
Q3 2024,,,,,,,,1.1,,0.12,,,,199.3,1052.8,,0.0,72.5,9.5,,,millions,USD,11.6,3.4,8.3,-0.1,0.5,7.6,1.4,3.31,698.9,838.0,21.0,Three-month (not nine-month) column used
Q4 2024,,,,,,,,-3.0,,,,,,199.5,1020.8,,0.0,45.9,9.5,,,millions,USD,11.4,3.5,7.9,0.2,-3.9,6.6,-2.7,,731.9,807.1,21.0,Derived: FY2024 10-K full year minus Q1-Q3 2024 nine-month cumulative; NoninterestIncome quarter reflects continued realized securities losses
FY2024,,,,,,,,-10.9,,-1.59,,,,199.5,1020.8,,0.0,45.9,9.5,,,millions,USD,40.9,11.5,29.4,4.1,-2.5,34.6,-11.8,3.19,731.9,807.1,21.0,"First full fiscal year post-IPO/Regal merger; net loss driven by merger-related CECL day-1 provision build and one-time noninterest expenses (incl. large ""Other"" noninterest expense line)"
Q1 2025,,,,,,,,1.4,,0.16,,,,200.5,1053.0,,20.0,47.3,9.4,,,millions,USD,11.5,3.9,7.6,-0.2,0.8,6.8,1.7,3.21,767.7,819.4,21.2,
Q2 2025,,,,,,,,1.0,,0.12,,,,198.1,1064.5,,30.0,53.4,9.3,,,millions,USD,11.5,4.3,7.2,0.0,0.6,6.5,1.3,2.88,775.8,824.1,21.4,Three-month (not six-month) column used
Q3 2025,,,,,,,,0.5,,0.06,,,,195.1,1073.9,,30.0,62.2,9.2,,,millions,USD,11.5,4.3,7.2,0.0,0.5,7.1,0.6,2.82,780.8,835.6,21.2,Three-month (not nine-month) column used
Q4 2025,,,,,,,,2.2,,,,,,193.8,1084.4,,30.0,57.8,8.9,,,millions,USD,11.8,4.3,7.6,0.2,1.8,6.7,2.4,,797.2,846.0,21.8,Derived: FY2025 10-K full year minus Q1-Q3 2025 nine-month cumulative
FY2025,,,,,,,,5.1,,0.61,,,,193.8,1084.4,,30.0,57.8,8.9,,,millions,USD,46.3,16.7,29.6,0.1,3.7,27.1,6.1,2.93,797.2,846.0,21.8,Second full fiscal year post-merger; returned to normalized profitability; includes $1.5M gain from life insurance proceeds in noninterest income
Q1 2026,,,,,,,,0.7,,0.09,,,,191.9,1110.1,,35.0,58.3,8.7,,,millions,USD,11.9,4.3,7.6,0.2,0.6,7.1,0.9,3.05,826.4,869.6,22.1,
Q2 2026,,,,,,,,0.8,,0.11,,,,188.5,1143.0,,50.0,81.8,8.4,,,millions,USD,12.3,4.5,7.8,0.0,0.6,7.2,1.1,3.06,835.4,891.5,22.4,Three-month (not six-month) column used
Q3 2026,,,,,,,,0.9,,0.12,,,,184.5,1143.5,,50.0,63.7,8.2,,,millions,USD,12.5,4.7,7.8,0.1,0.5,7.1,1.2,3.00,859.1,894.3,22.6,Three-month (not nine-month) column used
