Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,FacilityCount,Dividends
FY2015,1341.8,,274.1,20.4,93.1,6.9,121.2,55.4,4.1,1.06,-26.6,60.0,,,,,,,52.2,,,,,,
FY2016,1654.9,,313.1,18.9,91.8,5.5,130.5,50.0,3.0,0.96,73.9,65.7,8.2,456.4,1001.0,540.5,283.6,57.7,52.1,,,,,,
FY2017,1849.3,,351.6,19.0,81.3,4.4,125.8,40.5,2.2,0.77,73.0,57.2,15.8,492.4,1102.4,602.4,312.9,42.3,51.4,,,,,,
FY2018,1754.6,,336.4,19.2,84.9,4.8,129.8,59.1,3.4,1.10,210.3,50.9,,,,,,,53.0,,,,,,
FY2019,2036.5,,415.9,20.4,129.2,6.3,180.2,92.2,4.5,1.66,192.2,71.5,,,,,,,55.1,,,,,,
FY2020,2402.6,,537.4,22.4,223.2,9.3,277.8,171.4,7.1,3.10,373.4,50.3,323.0,818.2,2545.6,1727.4,117.8,,54.6,,,,,228,
FY2021,2627.5,,607.6,23.1,260.5,9.9,316.5,194.7,7.4,3.52,275.7,69.6,206.1,1020.8,2850.6,1829.0,156.6,,55.2,,,,,245,
FY2022,3025.5,,662.2,21.9,296.8,9.8,359.2,197.7,6.5,3.54,272.5,87.5,185.0,1122.0,3328.2,2206.2,156.3,,55.9,,,,,271,
FY2023,3729.4,,788.2,21.1,255.4,6.9,327.8,209.4,5.6,3.65,376.7,106.2,270.5,1239.6,4177.5,2937.9,152.4,509.6,57.3,,,,,297,12.9
FY2024,4260.5,,883.6,20.7,358.3,8.4,442.4,298.0,7.0,5.12,347.2,158.2,189.0,1837.1,4669.4,2832.3,145.7,464.6,58.2,,,,,327,13.7
FY2025,5057.8,,1038.8,20.5,425.3,8.4,529.6,344.0,6.8,5.84,564.3,193.6,370.7,2231.7,5463.0,3228.1,141.8,503.9,58.1,,,,,373,14.4
Q3-2016,428.1,,79.1,18.5,20.0,4.7,29.1,11.2,2.6,0.21,,,,,,,,,,,,,,,
Q1-2017,441.7,,86.2,19.5,7.6,1.7,18.0,2.8,0.6,0.05,,,,,,,,,,,,,,,
Q2-2017,448.3,,81.3,18.1,22.0,4.9,30.7,12.2,2.7,0.23,,,,,,,,,,,,,,,
Q3-2017,471.6,,90.1,19.1,25.6,5.4,35.0,14.2,3.0,0.27,,,,,,,,,,,,,,,
Q1-2024,1010.2,,196.6,19.5,82.2,8.1,101.9,68.8,6.8,1.19,,,,,,,,,,,,,,,
Q2-2024,1036.3,,215.9,20.8,86.0,8.3,106.5,71.0,6.9,1.22,,,,,,,,,,,,,,,
Q3-2024,1081.8,,230.2,21.3,89.3,8.3,110.8,78.4,7.2,1.34,,,,,,,,,,,,,,,
Q4-2024,1132.2,,240.9,21.3,100.8,8.9,123.2,79.8,7.0,1.37,,,,,,,,,,,,,,,
Q1-2025,1173.0,,238.6,20.3,101.4,8.6,125.6,80.3,6.8,1.37,,,,,,,,,,,,,,,
Q2-2025,1227.8,,256.0,20.8,103.9,8.5,129.7,84.4,6.9,1.44,,,,,,,,,,,,,,,
Q3-2025,1296.4,,262.1,20.2,119.6,9.2,145.4,83.8,6.5,1.42,,,,,,,,,,,,,,,
Q4-2025,1360.6,,282.1,20.7,100.4,7.4,128.9,95.5,7.0,1.61,,,,,,,,,,,,,,,
Q1-2026,1389.2,,293.4,21.1,124.9,9.0,153.7,99.7,7.2,1.67,100.2,35.5,64.7,2366.3,5611.8,3242.1,140.8,539.5,59.6,,,,,,
