Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,BasicEPS
H1 FY2016,739.064,660.387,78.677,10.6,,,62.741,37.647,5.1,0.4037,42.542,0.607,41.935,365.202,742.922,377.72,19.869,202.574,93.25,,,,,,,millions,AUD,0.4037
FY2016,1368.849,1228.15,140.699,10.3,,,113.63,67.014,4.9,0.7177,77.969,0.836,77.133,368.889,705.337,336.448,17.546,203.515,93.37,-1.178,,,,,,millions,AUD,0.7177
H1 FY2017,627.118,560.466,66.652,10.6,,,50.504,28.57,4.6,0.3046,77.113,2.195,74.918,369.892,684.443,314.551,18.515,244.739,93.8,0.56,,,,,,millions,AUD,0.305
FY2017,1249.085,1121.827,127.258,10.2,,,98.184,57.563,4.6,0.6134,111.193,12.368,98.825,378.244,669.698,291.454,13.76,241.909,93.84,1.04,,,,,,millions,AUD,0.6141
H1 FY2018,849.675,772.645,77.03,9.1,,,62.087,37.608,4.4,0.4003,21.017,14.767,6.25,389.212,689.706,300.494,9.283,215.396,93.95,-0.106,,,,,,millions,AUD,0.4006
FY2018,1737.632,1590.821,146.811,8.4,,,119.046,71.479,4.1,0.7607,51.647,25.039,26.608,396.128,688.994,292.866,20.971,208.773,93.96,-0.48,,,,,,millions,AUD,0.7611
H1 FY2019,778.507,710.355,68.152,8.8,,,55.758,30.726,3.9,0.3263,15.466,5.213,10.253,395.376,670.424,275.048,27.057,193.505,94.16,0.511,,,,,,millions,AUD,0.3266
FY2019,1479.737,1351.482,128.255,8.7,,,106.791,50.565,3.4,0.5362,15.965,19.707,-3.742,394.681,684.986,290.305,38.229,164.042,94.3,2.953,,,,,,millions,AUD,0.5372
H1 FY2020,777.543,710.724,66.819,8.6,,,59.132,28.456,3.7,0.3007,38.569,5.093,33.476,395.002,729.71,334.708,4.407,163.26,94.63,,,,,,,millions,AUD,0.3017
FY2020,1488.749,1386.327,102.422,6.9,,,92.077,36.483,2.5,0.3852,119.078,12.126,106.952,384.442,714.162,329.72,3.523,208.292,94.71,2.186,,,,,,millions,AUD,0.3865
H1 FY2021,842.371,780.808,61.563,7.3,,,57.049,31.576,3.7,0.3329,-18.031,4.229,-22.26,400.112,815.944,415.832,1.5,169.351,94.85,,,,,,,millions,AUD,0.3336
FY2021,1754.242,1641.572,112.67,6.4,,,108.696,47.06,2.7,0.4945,26.735,8.191,18.544,395.581,777.067,381.486,0.9,175.708,95.17,2.538,,,,,,millions,AUD,0.497
H1 FY2022,995.13,920.861,74.269,7.5,,,60.949,30.058,3.0,0.3154,49.592,7.905,41.687,408.004,792.488,384.484,6.144,175.264,95.3,,,,,,,millions,AUD,0.3163
FY2022,1810.39,1686.937,123.453,6.8,,,111.201,52.219,2.9,0.5454,64.871,9.118,55.753,412.184,791.361,379.177,11.672,183.329,95.74,5.234,,,,,,millions,AUD,0.549
H1 FY2023,896.753,830.802,65.951,7.4,,,58.226,29.14,3.2,0.3005,39.926,1.68,38.246,425.171,741.174,316.003,14.123,189.907,96.97,,,,,,,millions,AUD,0.305
FY2023,1725.691,1602.298,123.393,7.2,,,109.083,53.543,3.1,0.5502,93.29,19.042,74.248,437.978,768.174,330.196,0.77,178.323,97.32,10.725,,,,,,millions,AUD,0.5585
H1 FY2024,1003.212,928.745,74.467,7.4,,,61.291,30.08,3.0,0.3067,147.332,41.086,106.246,451.782,872.395,420.613,13.694,263.295,98.08,,,,,,,millions,AUD,0.3115
FY2024,2015.915,1872.79,143.125,7.1,,,127.436,62.203,3.1,0.6313,187.738,88.882,98.856,465.594,887.363,421.769,10.895,225.864,98.53,7.475,,,,,,millions,AUD,0.6408
H1 FY2025,1023.827,934.206,89.621,8.8,,,79.776,42.513,4.2,0.4293,93.052,5.708,87.344,486.484,876.798,390.314,8.631,272.489,99.03,,,,,,,millions,AUD,0.433
FY2025,2162.571,1999.44,163.131,7.5,,,158.211,83.721,3.9,0.841,81.039,13.879,67.16,497.836,1005.23,507.394,6.365,205.829,99.55,8.311,,,,,,millions,AUD,0.8501
H1 FY2026,1439.163,1316.686,122.477,8.5,,,116.15,64.883,4.5,0.6462,171.09,22.58,148.51,548.911,1122.558,573.647,4.187,322.011,100.41,,,,,,,millions,AUD,0.6519
FY2026,2796.117,2565.92,230.197,8.2,,,226.026,127.3,4.6,1.2609,245.091,38.547,206.544,569.049,1231.449,662.4,0.0,293.642,100.96,10.063,,,,,,millions,AUD,1.2756
