Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingExpenses,ResearchDevelopment,SGA,OperatingIncome,OperatingMargin,NetIncome,NetMargin,DilutedEPS,DilutedShares,FreeCashFlow,OperatingCashFlow,CapEx,ComputeNetworkingRevenue,GraphicsRevenue,DataCenterRevenue,GamingRevenue,ProfessionalVisualizationRevenue,AutomotiveRevenue,TotalAssets,TotalLiabilities,ShareholdersEquity,Cash,CashAndInvestments,TotalDebt,SharesOutstanding
FY2015,4682,2278,2404,51.3,2234,1331,903,170,3.6,-157,-3.4,-0.01,24850,1042,1666,624,,,,,,,,5907,2124,3783,1199,2912,1987,25100
FY2016,5010,2447,2563,51.2,2328,1386,942,235,4.7,614,12.3,0.02,25390,894,1672,778,,,,,,,,7201,2952,4249,1423,3292,1951,25840
FY2017,6910,2847,4063,58.8,2839,1797,1042,1224,17.7,1666,24.1,0.07,24400,1491,2676,1185,,,,,,,,10188,3933,6255,2182,4408,1985,25370
FY2018,9714,3892,5822,59.9,3587,2376,1211,2235,23.0,3047,31.4,0.12,25200,2042,3399,1357,,,,,,,,13292,5184,8108,2827,6024,1986,25960
FY2019,11716,4545,7171,61.2,4293,2838,1455,2878,24.6,4141,35.3,0.16,25200,1995,3743,1748,,,,,,,,13775,4787,8988,782,9370,1987,25920
FY2020,10918,5265,5653,51.8,4392,2855,1537,1261,11.5,2796,25.6,0.11,26000,3030,5822,2792,,,,,,,,17315,6002,11313,10896,14353,1988,27260
FY2021,16675,6279,10396,62.3,5864,3924,1940,4532,27.2,4332,26.0,0.16,26800,4696,6776,2080,,,,,,,,28791,11700,17091,847,11561,1993,27750
FY2022,26914,9439,17475,64.9,7434,5268,2166,10041,37.3,9752,36.2,0.38,25350,8132,10810,2678,,,,,,,,44187,17082,27105,1990,21606,2000,28030
Q1 FY2023,8288,2857,5431,65.5,3563,1618,592,1868,22.5,1618,19.5,0.06,25370,,,,,3672,4616,3750,3620,622,138,45212,18892,26320,3887,20338,10947,25270
Q2 FY2023,6704,3789,2915,43.5,2416,1824,592,499,7.4,656,9.8,0.03,25160,,,,,2797,3907,3806,2042,496,220,43476,19625,23851,3013,17037,10949,25050
Q3 FY2023,5931,2754,3177,53.6,2576,1945,631,601,10.1,680,11.5,0.03,24990,,,,,3816,2115,3833,1574,200,251,40488,19139,21349,2800,13143,10950,24970
FY2023,26974,11618,15356,56.9,11132,7339,2440,4224,15.7,4368,16.2,0.17,25070,5641,5641,1833,,,,9067,1544,903,41182,19081,22101,3389,13296,10953,24660
Q1 FY2024,7192,2544,4648,64.6,2508,1875,633,2140,29.7,2043,28.4,0.08,24900,,,,,4460,2732,4284,2240,295,296,44460,19940,24520,5079,15320,10954,24760
Q2 FY2024,13507,4045,9462,70.1,2662,2040,622,6800,50.3,6188,45.8,0.25,24990,,,,,10402,3105,10323,2486,379,253,49555,22054,27501,5783,16023,9705,24700
Q3 FY2024,18120,4720,13400,73.9,2983,2294,689,10417,57.5,9243,51.0,0.37,24940,,,,,14645,3475,14514,2856,416,261,54148,20883,33265,5519,18281,9706,24630
FY2024,60922,16621,44301,72.7,11329,8675,2654,32972,54.1,29760,48.9,1.19,24940,27021,28090,1069,47405,13517,47525,10447,1553,1091,65728,22750,42978,7280,25984,9709,24640
Q1 FY2025,26044,5638,20406,78.4,3497,2720,777,16909,64.9,14881,57.1,0.60,24890,,,,,22675,3369,22563,2647,427,329,77072,27930,49142,7587,31438,9710,24600
Q2 FY2025,30040,6397,23643,78.7,3932,3090,842,19714,65.6,16599,55.2,0.67,24848,,,,,26446,3594,26272,2880,454,346,85227,27070,58157,8563,34800,8461,24560
Q3 FY2025,35082,8926,26156,74.6,4287,3390,897,21869,62.3,19309,55.0,0.78,24774,,,,,31036,4046,30771,3279,486,449,96013,30114,65899,9107,38487,8462,24510
FY2025,130497,32639,97858,75.0,16405,12914,3491,81453,62.4,72880,55.8,2.94,24804,60853,64089,3236,116193,14304,115186,11350,1878,1694,111601,32274,79327,8589,43210,8463,24477
Q1 FY2026,44062,17394,26668,60.5,5030,3989,1041,21638,49.1,18775,42.6,0.76,24611,,,,,39589,4473,39112,3763,509,567,125254,41411,83843,15234,53691,8464,24388
Q2 FY2026,46743,12890,33853,72.4,5413,4291,1122,28440,60.8,26422,56.5,1.08,24532,,,,,41331,5412,41096,4287,601,586,140740,40609,100131,11639,56791,8466,24347
Q3 FY2026,57006,15157,41849,73.4,5839,4705,1134,36010,63.2,31910,56.0,1.30,24483,,,,,50908,6098,51215,4265,760,592,161148,42251,118897,11486,60608,8467,24305
