Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,Subscribers
FY2015,927.525,,,,260.575,28.09358238322417,379.769,171.764,18.51853049783025,44.09,282.915,115.462,167.45300000000003,1335.724,1942.021,604.818,350.76300000000003,17.895,389.14,,,,,,,millions,NZD,
FY2016,928.2,,,,225.04500000000002,24.245313510019393,325.286,147.123,15.850355526826112,37.7,275.844,128.803,147.041,1329.708,1943.564,612.641,348.085,22.863,389.14,,,,,,,millions,NZD,
H1 FY2017,458.183,,,,97.656,21.313754547855336,149.863,59.459,12.977129225658746,15.24,120.994,52.64,68.354,1337.2250000000001,1934.1870000000001,595.588,353.421,30.074,389.14,,,,,,,millions,NZD,
FY2017,893.485,,,,187.192,20.950771417539187,292.34000000000003,116.34400000000001,13.021371371651455,29.82,245.261,79.682,165.579,1326.588,1887.2,559.322,298.663,5.444,389.14,,,,,,,millions,NZD,
H1 FY2018,433.08500000000004,,,,102.28,23.616611057875474,153.504,66.7,15.40113372663565,17.1,109.827,28.163,81.664,1354.332,1873.991,518.231,289.87,22.362000000000002,389.14,,,,,,,millions,NZD,
FY2018,852.71,,,,-176.604,-20.71090992248244,285.80999999999995,-240.674,-28.224601564424013,-61.92,213.613,58.223,155.39,1025.433,1503.002,476.315,235.344,4.694,389.14,,,,,,,millions,NZD,
H1 FY2019,403.032,,,,81.021,20.102870243553863,128.28300000000002,53.604,13.300184600726494,13.73,89.699,38.763,50.936,1043.44,1480.662,435.797,213.251,6.957,389.14,,,,,,,millions,NZD,
FY2019,795.126,,,,-570.9350000000001,-71.80434295948065,230.1679999999999,-607.837,-76.44536840701977,-156.28,178.026,76.342,101.68400000000001,350.23900000000003,771.3530000000001,419.785,193.662,4.283,389.14,,,,,,,millions,NZD,
H1 FY2020,384.839,,,,28.384,7.375551854151996,89.72,11.868,3.0838870280818735,2.81,41.966,33.249,8.716999999999999,390.132,889.3240000000001,497.71000000000004,297.69,3.898,1746.28,,,,,,,millions,NZD,
FY2020,746.641,,,,-132.567,-17.75511926079602,164.25099999999998,-156.772,-20.996971770904622,-23.91,157.3,56.458,100.84200000000001,373.724,837.936,462.966,212.513,110.677,1746.28,,,,,,,millions,NZD,
H1 FY2021,356.87,,,,61.216,17.153585339199147,116.285,39.581,11.091153641382016,2.26,51.205,19.900000000000002,31.304999999999996,409.266,793.852,383.18600000000004,195.43,123.279,1746.48,,,,,,,millions,NZD,
FY2021,711.234,,,,78.425,11.026610088944002,186.416,47.546,6.685000998264987,2.7,107.208,51.071,56.137,422.154,701.648,278.154,77.547,34.800000000000004,1746.88,,,,,,,millions,NZD,936750.0
H1 FY2022,371.671,,,,42.134,11.336370069227893,85.303,28.265,7.604844069082603,16.2,74.898,18.485,56.413,455.284,692.716,236.119,53.613,73.946,174.68800000000002,,,,,,,millions,NZD,
FY2022,736.111,,,,86.845,11.797813101556695,169.01600000000002,62.212,8.451442785123438,35.57,119.638,44.683,74.95500000000001,493.224,776.85,282.357,71.714,138.916,174.68800000000002,,,,,,,millions,NZD,957665.0
H1 FY2023,378.646,,,,37.431,9.88548670790131,73.46799999999999,26.211000000000002,6.922296815495212,15.49,56.115,40.156,15.959000000000003,424.909,679.296,252.981,53.187,56.597,174.68800000000002,,,,,,,millions,NZD,
FY2023,754.1,,,,74.41,9.867391592626971,148.50799999999998,51.013,6.764752685320249,32.37,117.021,71.38,45.641000000000005,439.18,690.174,249.568,49.313,56.051,143.852,0.181,,,,,,millions,NZD,978361.0
H1 FY2024,392.687,,,,40.465,10.304644666108121,81.66900000000001,28.966,7.376358270072602,20.07,62.89,41.411,21.479,447.428,667.364,218.699,34.351,47.376,137.675,,,,,,,millions,NZD,
FY2024,766.734,,,,69.764,9.098853057253232,153.035,49.223,6.419827476021671,34.44,139.131,88.70700000000001,50.42399999999999,447.539,681.384,232.466,24.712,37.799,137.675,0.181,,,,,,millions,NZD,904527.0
H1 FY2025,384.761,,,,0.124,0.0322277985554669,43.190000000000005,-1.75,-0.4548278021940893,-1.42,62.735,40.782000000000004,21.952999999999996,436.401,625.941,187.953,26.975,27.753,137.675,0.176,,,,,,millions,NZD,
FY2025,750.7230000000001,,,,31.497,4.195555484512929,120.638,20.59,2.7426893807702704,14.69,120.20100000000001,77.746,42.45500000000001,437.56600000000003,672.867,233.852,72.60000000000001,32.410000000000004,137.675,0.396,,,,,,millions,NZD,914368.0
H1 FY2026,414.439,,,,61.175000000000004,14.760917770769645,110.787,52.429,12.650595141866475,37.91,99.048,26.389,72.659,479.079,748.6990000000001,267.937,69.043,99.91,137.675,0.156,,,,,,millions,NZD,
FY2026,824.845,,,,73.18299999999999,8.872333589947202,170.20299999999997,59.798,7.249604471143063,43.13,152.75,63.427,89.32300000000001,467.568,738.852,269.576,62.483000000000004,79.14,137.675,,32.0,,,,,millions,NZD,
