Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,APLNGDividendsReceived
FY2016,11923.0,,,,735.0,6.2,1635.0,-589.0,-4.9,-0.373,1404.0,691.0,713.0,14530.0,28898.0,14368.0,9616.0,146.0,1578.0,,,,,,,millions,AUD,
FY2017,13646.0,,,,1128.0,8.3,2530.0,-2226.0,-16.3,-1.269,1289.0,501.0,788.0,11418.0,25199.0,13781.0,8515.0,117.0,1754.49,,,,,,,millions,AUD,
FY2018,14604.0,,,,1212.0,8.3,2787.0,218.0,1.5,0.124,1293.0,412.0,881.0,11828.0,24257.0,12429.0,7439.0,150.0,1757.44,,,,,,,millions,AUD,
H1 FY2019,7660.0,,,,788.0,10.3,1727.0,796.0,10.4,0.453,553.0,189.0,364.0,12788.0,24536.0,11748.0,6805.0,89.0,1758.96,,,,,,,millions,AUD,
FY2019,14727.0,,,,1308.0,8.9,3232.0,1211.0,8.2,0.688,1325.0,341.0,984.0,13149.0,25743.0,12594.0,7596.0,1546.0,1760.2,,,,,,,millions,AUD,
H1 FY2020,6728.0,,,,665.0,9.9,1590.0,599.0,8.9,0.34,351.0,258.0,93.0,13733.0,24501.0,10768.0,6905.0,832.0,1759.39,,,,,,,millions,AUD,
FY2020,13157.0,,,,1329.0,10.1,3141.0,83.0,0.6,0.047,951.0,500.0,451.0,12701.0,25093.0,12392.0,6852.0,1240.0,1759.8,,,,,,,millions,AUD,
H1 FY2021,6068.0,,,,398.0,6.6,1154.0,13.0,0.2,0.007,669.0,172.0,497.0,11830.0,22152.0,10322.0,5255.0,474.0,1759.92,,,,,,,millions,AUD,
FY2021,12097.0,,,,540.0,4.5,2048.0,-2291.0,-18.9,-1.302,964.0,339.0,625.0,9815.0,21037.0,11222.0,5228.0,472.0,1759.56,,,,,,,millions,AUD,
H1 FY2022,6511.0,,,,288.0,4.4,1099.0,-131.0,-2.0,-0.074,-79.0,215.0,-294.0,10049.0,22249.0,12200.0,5292.0,214.0,1758.71,,,,,,,millions,AUD,
FY2022,14461.0,,,,527.0,3.6,2114.0,-1429.0,-9.9,-0.815,531.0,336.0,195.0,10022.0,24020.0,13998.0,3390.0,620.0,1753.61,,,,,,,millions,AUD,
H1 FY2023,8760.0,,,,243.0,2.8,1059.0,399.0,4.6,0.232,-786.0,269.0,-1055.0,8679.0,20488.0,11809.0,3849.0,678.0,1719.73,,,,,,,millions,AUD,
FY2023,16481.0,,,,1417.0,8.6,3107.0,1055.0,6.4,0.613,-633.0,475.0,-1108.0,8911.0,18948.0,10037.0,3258.0,463.0,1720.57,,,,,,,millions,AUD,1783.0
H1 FY2024,7996.0,,,,1231.0,15.4,1995.0,995.0,12.4,0.578,-212.0,302.0,-514.0,9236.0,18989.0,9753.0,3276.0,162.0,1722.09,,,,,,,millions,AUD,648.0
FY2024,16138.0,,,,1941.0,12.0,3528.0,1397.0,8.7,0.811,1114.0,653.0,461.0,9489.0,20454.0,10965.0,3378.0,625.0,1722.2,,,,,,,millions,AUD,1384.0
H1 FY2025,8771.0,,,,1137.0,13.0,1926.0,1017.0,11.6,0.591,-168.0,889.0,-1057.0,10340.0,20821.0,10481.0,4147.0,280.0,1719.51,,,,,,,millions,AUD,612.0
FY2025,17224.0,,,,1895.0,11.0,3411.0,1481.0,8.6,0.862,425.0,1473.0,-1048.0,9919.0,20989.0,11070.0,4842.0,161.0,1717.64,,,,,,,millions,AUD,797.0
H1 FY2026,7993.0,,,,806.0,10.1,1589.0,557.0,7.0,0.324,661.0,489.0,172.0,9735.0,20100.0,10365.0,4721.0,239.0,1719.51,,,,,,,millions,AUD,542.0
FY2026,15569.0,,,,1603.0,10.3,3220.0,1574.0,10.1,0.915,1917.0,969.0,948.0,10134.0,20779.0,10645.0,4986.0,307.0,1719.9,,,,,,,millions,AUD,911.0
