Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,TTV
H1 FY2016,1269.722,,,,,,200.924,116.688,9.190043174805194,1.157,-96.72200000000001,58.194,-154.916,1285.214,2543.063,1257.849,21.224,1041.541,100.85393258426966,,,,,,,millions,AUD,
FY2016,2666.176,,,,,,439.738,244.556,9.172537746945439,2.424,356.603,120.988,235.615,1345.945,3001.3160000000003,1655.371,76.845,1315.984,100.88943894389439,,,,,,,millions,AUD,
H1 FY2017,1303.605,,,,,,157.29100000000003,74.447,5.710855665634913,0.737,-146.707,65.732,-212.439,1334.669,2793.092,1458.423,91.904,1008.139,101.01356852103122,,,,,,,millions,AUD,
FY2017,2677.3360000000002,,,,,,428.923,230.773,8.619500876991157,2.285,295.354,104.124,191.23,1428.755,3195.4880000000003,1766.733,55.866,1281.6480000000001,100.99474835886214,,,,,,,millions,AUD,
H1 FY2018,1373.777,,,,,,189.504,102.158,7.436286966516399,1.012,-102.819,42.784,-145.603,1433.435,2988.5660000000003,1555.131,91.486,1010.143,100.94664031620553,,,,,,,millions,AUD,
FY2018,2949.955,,,,,,466.81100000000004,262.93,8.913017317213313,2.605,314.337,87.283,227.05399999999997,1554.442,3405.219,1850.777,35.498,1272.992,100.93282149712093,,,,,,,millions,AUD,
H1 FY2019,1461.509,,,,,,179.362,84.797,5.802016956447069,0.841,-195.906,50.723,-246.62900000000002,1506.239,3002.327,1496.088,35.767,904.976,100.82877526753865,,,,,,,millions,AUD,
FY2019,3055.268,,,,,,451.419,263.825,8.635085367306566,2.616,278.883,100.982,177.90099999999998,1462.318,3493.414,2031.096,185.085,1172.252,100.8505351681957,,,,,,,millions,AUD,
H1 FY2020,1546.4850000000001,,,,,,173.486,22.019000000000002,1.4238094776218326,0.218,-136.453,59.519,-195.972,1407.686,3701.804,2293.895,767.938,836.159,101.0045871559633,,,,,,,millions,AUD,
FY2020,1898.085,,,,,,-574.004,-662.166,-34.886003524605066,-5.521,5.654,110.529,-104.875,1393.186,3999.0660000000003,2605.88,988.8430000000001,1865.797,119.93588118094549,,,,,,,millions,AUD,
H1 FY2021,159.362,,,,,,-226.51000000000002,-233.24800000000002,-146.3636249545061,-1.172,-659.964,20.859,-680.8230000000001,1165.316,3525.213,2359.897,1325.202,1669.676,199.01706484641642,,,,,,,millions,AUD,
FY2021,395.907,,,,,,-426.627,-433.129,-109.40170292518194,-2.175,-912.2330000000001,37.354,-949.5870000000001,956.0360000000001,3264.876,2308.84,1283.5430000000001,1290.8310000000001,199.13977011494256,,,,,,,millions,AUD,
H1 FY2022,315.714,,,,,,-186.257,-194.184,-61.50630000570136,-0.9740000000000001,-224.891,17.893,-242.784,853.07,3484.862,2631.792,1568.3700000000001,1210.964,199.36755646817247,,,,,,,millions,AUD,
FY2022,1007.485,,,,,,-194.03,-286.651,-28.452135763807902,-1.4369999999999998,-101.374,40.371,-141.745,777.462,3732.087,2954.625,1316.2740000000001,1226.904,199.47877522616565,,,,,,,millions,AUD,
H1 FY2023,1001.837,,,,,,88.783,-19.778,-1.9741734433845026,-0.099,-91.84400000000001,34.44,-126.284,792.576,3680.051,2887.475,1299.884,1036.7830000000001,199.77777777777774,,,,,,,millions,AUD,
FY2023,2280.782,,,,,,297.347,47.461,2.0809090917062654,0.231,156.17000000000002,92.031,64.13900000000001,1136.497,4436.427,3299.9300000000003,1358.733,1328.438,205.45887445887445,,,,,,,millions,AUD,
H1 FY2024,1287.3220000000001,,,,,,236.428,86.60300000000001,6.727376678096078,0.397,10.501,49.122,-38.621,1164.093,3874.4320000000002,2710.339,993.8240000000001,814.048,218.1435768261965,,,,,,,millions,AUD,
FY2024,2710.753,,,,,,369.708,139.638,5.151262398307777,0.637,421.48,95.604,325.87600000000003,1203.203,4214.281,3011.078,988.152,1138.142,219.21193092621664,,,,,,,millions,AUD,23744.461
H1 FY2025,1328.008,,,,,,196.18200000000002,60.471000000000004,4.553511725832977,0.27399999999999997,-165.596,62.754,-228.35,1236.673,3866.958,2630.285,943.3100000000001,718.471,220.69708029197085,,,,,,,millions,AUD,11691.975
FY2025,2783.944,,,,,,427.834,109.489,3.932873649757323,0.496,139.15800000000002,102.656,36.50200000000001,1223.626,4109.075,2885.449,884.083,815.511,220.74395161290323,,,,,,,millions,AUD,24527.63
H1 FY2026,1408.478,,,,,,200.69600000000003,60.461,4.292647808485471,0.28300000000000003,-60.503,48.461,-108.964,1182.6100000000001,4657.336,3474.726,1274.622,733.9490000000001,213.643109540636,,,,,,,millions,AUD,12542.542
FY2026,2854.861,,,,,,454.48,149.174,5.225263156419875,0.7090000000000001,277.935,94.643,183.292,1099.261,4903.036,3803.775,1234.854,824.755,210.4005641748942,,,,,,,millions,AUD,25676.194
