Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,ImpairmentExpense,ShareIssuanceProceeds,BiologicalFairValueAdjustment,LeasePrincipalPaid
FY2015,223644.0,168130.0,55514.0,24.8,85901.0,38.4,,56766.0,25.4,0.829,30399.0,,,287387.0,487912.0,200525.0,109978.0,270.0,68475.0,,,,,,,thousands,AUD,,,,
H1 FY2016,166440.0,102537.0,63903.0,38.4,32848.0,19.7,,23913.0,14.4,0.334,80825.0,25302.0,55523.0,295116.0,452231.0,157115.0,28339.0,12754.0,71596.0,498.0,,,,,,thousands,AUD,,,,
FY2016,286168.0,186286.0,99882.0,34.9,49828.0,17.4,,33796.0,11.8,0.467,92866.0,37125.0,55741.0,290901.0,449772.0,158871.0,68701.0,1435.0,72368.0,568.0,,,,,,thousands,AUD,,,-43033.0,
H1 FY2017,126457.0,98370.0,28087.0,22.2,17899.0,14.2,,11625.0,9.2,0.159,5782.0,22329.0,-16547.0,284663.0,449504.0,164841.0,100628.0,2188.0,73113.0,285.0,,,,,,thousands,AUD,,,,
FY2017,242142.0,194240.0,47902.0,19.8,17010.0,7.0,,9249.0,3.8,0.126,4738.0,33227.0,-28489.0,277619.0,479691.0,202072.0,146877.0,1060.0,73405.0,229.0,,,,,,thousands,AUD,,,-14250.0,
FY2018-3mo,67581.0,51050.0,16531.0,24.5,-1045.0,-1.5,,-1536.0,-2.3,-0.016,24860.0,9007.0,15853.0,370639.0,522621.0,151982.0,65780.0,6860.0,96000.0,9.0,,,,,,thousands,AUD,,,-12675.0,
H1 FY2018,112946.0,96707.0,16239.0,14.4,12168.0,10.8,,6288.0,5.6,0.081,13000.0,14047.0,-1047.0,369856.0,484508.0,114652.0,57051.0,657.0,77630.0,176.0,,,,,,thousands,AUD,,,,
FY2018,210238.0,172623.0,37615.0,17.9,34905.0,16.6,,20371.0,9.7,0.232,18287.0,30015.0,-11728.0,378640.0,516553.0,137913.0,71147.0,394.0,87806.0,228.0,,,,,,thousands,AUD,,,13391.0,
H1 FY2019,99974.0,78742.0,21232.0,21.2,30993.0,31.0,,20038.0,20.0,0.21,-14412.0,17923.0,-32335.0,392072.0,559262.0,167190.0,94716.0,1349.0,95419.0,,,,,,,thousands,AUD,,,,
FY2019,298474.0,201636.0,96838.0,32.4,80065.0,26.8,,53022.0,17.8,0.555,80337.0,36301.0,44036.0,416003.0,552856.0,136853.0,39014.0,11588.0,95535.0,592.0,,,,,,thousands,AUD,,,9212.0,
H1 FY2020,93521.0,65474.0,28047.0,30.0,25424.0,27.2,,17357.0,18.6,0.181,-22929.0,27717.0,-50646.0,391562.0,813447.0,421885.0,70406.0,1332.0,95895.0,,,,61680.0,,,thousands,AUD,,,,
FY2020,248262.0,199951.0,48311.0,19.5,38730.0,15.6,63003.0,25001.0,10.1,0.26,13153.0,36319.0,-23166.0,405010.0,824894.0,419884.0,58985.0,1451.0,96158.0,537.0,,,187108.0,,,thousands,AUD,,,13988.0,21848.0
H1 FY2021,84750.0,63021.0,21729.0,25.6,5573.0,6.6,,1273.0,1.5,0.011,6267.0,20979.0,-14712.0,519785.0,980263.0,460478.0,115420.0,2834.0,115727.0,,,,84750.0,,,thousands,AUD,,115382.0,,
FY2021,228595.0,179220.0,49375.0,21.6,32606.0,14.3,53717.0,15116.0,6.6,0.127,38189.0,33378.0,4811.0,526956.0,1003805.0,476849.0,100063.0,1995.0,119024.0,-80.0,,,228595.0,,,thousands,AUD,,115382.0,-4203.0,21549.0
H1 FY2022,68734.0,57593.0,11141.0,16.2,7067.0,10.3,,2011.0,2.9,0.017,15267.0,24063.0,-8796.0,531090.0,1000156.0,469064.0,126947.0,1120.0,118294.0,,,,68734.0,,,thousands,AUD,,,,
FY2022,235516.0,237164.0,-1648.0,-0.7,12043.0,5.1,40384.0,4759.0,2.0,0.039,26843.0,35836.0,-8993.0,520284.0,1014284.0,494000.0,135663.0,1135.0,122026.0,491.0,,,235516.0,,,thousands,AUD,2785.0,,26723.0,21931.0
H1 FY2023,60864.0,88340.0,-27476.0,-45.1,-133220.0,-218.9,,-96229.0,-158.1,-0.795,-26744.0,16452.0,-43196.0,431636.0,893362.0,461726.0,192210.0,2283.0,121043.0,,,,60864.0,,,thousands,AUD,61805.0,,,
