Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,GoogleSearchRevenue,YouTubeAdsRevenue,GoogleCloudRevenue,GoogleNetworkRevenue,OtherBetsRevenue,TrafficAcquisitionCosts,NumberOfEmployees
Q1 2020,41159,,22177,53.9,6988,17.0,,6836,16.6,9.87,,,7874,201442,,,4554,119686,6925,,,millions,USD,24502,4038,2777,5224,135,7452,123048
Q2 2020,38297,,20593,53.8,6372,16.6,,6959,18.2,10.13,,,9612,203624,,,4198,121197,6877,,,millions,USD,21318,3812,3007,5423,148,7188,127498
Q3 2020,46173,,24682,53.5,11214,24.3,,11247,24.4,16.40,,,13000,207453,,,13932,120908,6858,,,millions,USD,26337,5037,3444,5674,149,7821,132121
Q4 2020,56898,,30323,53.3,15652,27.5,,15227,26.8,22.30,,,15901,222544,,,13932,136694,6868,,,millions,USD,31887,6885,3831,6735,196,9317,135301
FY2020,182527,,97795,53.6,41224,22.6,,40269,22.1,58.61,,,42843,222544,,,13932,136694,6868,,,millions,USD,104062,19772,13059,23090,657,32778,135301
Q1 2021,55314,,29757,53.8,16437,29.7,,17930,32.4,26.29,,,15003,224925,,,13932,135860,6834,,,millions,USD,31879,6005,4047,6524,198,8230,139995
Q2 2021,61880,,33682,54.4,19360,31.3,,18525,29.9,27.26,,,15744,233537,,,14518,135860,6818,,,millions,USD,35848,7002,4628,6620,192,8617,144056
Q3 2021,65118,,35565,54.6,21031,32.3,,18936,29.1,27.99,,,16718,242859,,,14701,142008,6777,,,millions,USD,37926,7205,4990,7497,182,8747,150028
Q4 2021,75325,,41292,54.8,21885,29.1,,20642,27.4,30.69,,,20000,251635,,,14817,139649,6723,,,millions,USD,43298,8633,5541,8059,181,10108,156500
FY2021,257637,,140296,54.4,78714,30.5,,76033,29.5,112.20,,,67465,251635,,,14817,139649,6723,,,millions,USD,148951,28845,19206,31701,753,35702,156500
Q1 2022,68011,,36869,54.2,20094,29.5,,16436,24.2,24.62,,,15361,254455,,,14701,135863,6678,,,millions,USD,39618,6869,5821,6426,440,8730,163906
Q2 2022,69685,,37746,54.2,19361,27.8,,16002,23.0,23.97,,,16087,255276,,,14701,124997,6679,,,millions,USD,40689,7340,6276,6553,193,8814,174014
Q3 2022,69092,,37355,54.1,17135,24.8,,13910,20.1,20.71,,,13726,253317,,,14701,116246,6725,,,millions,USD,39539,7071,6868,7207,209,8541,186779
Q4 2022,76048,,40916,53.8,18988,25.0,,13624,17.9,20.22,,,16200,256144,,,14701,113753,6728,,,millions,USD,42604,7963,7315,7594,226,10693,190234
FY2022,282836,,152886,54.1,74687,26.4,,59972,21.2,89.53,,,61374,256144,,,14701,113753,6728,,,millions,USD,162450,29243,26280,32780,1068,36778,190234
Q1 2023,69787,,38011,54.5,17415,25.0,,15051,21.6,22.42,,,16700,262035,,,14565,114672,6723,,,millions,USD,40359,6693,7454,7496,288,8881,197159
Q2 2023,74604,,40747,54.6,21838,29.3,,18368,24.6,27.33,,,17900,270260,,,13726,118337,6721,,,millions,USD,42628,7665,8031,7850,285,9306,181269
Q3 2023,76693,,42084,54.9,23054,30.1,,19689,25.7,29.32,,,19500,277081,,,13296,118084,6715,,,millions,USD,44026,7952,8411,7548,297,9458,182502
Q4 2023,86310,,47387,54.9,23696,27.5,,20687,24.0,30.73,,,20400,283388,,,13231,110916,6722,,,millions,USD,48019,9200,9176,8422,657,10695,190711
FY2023,307394,,168229,54.7,85994,28.0,,73795,24.0,5.80,,,74500,283388,,,13231,110916,12637,,,millions,USD,175032,31510,33088,31316,1527,38340,190711
Q1 2024,80539,,46911,58.2,25473,31.6,,23662,29.4,1.89,,,22100,289085,,,13232,108039,12519,,,millions,USD,46156,8091,9574,7413,495,9828,191566
Q2 2024,84742,,49358,58.3,27429,32.4,,23619,27.9,1.89,,,23700,296403,,,13219,111693,12496,,,millions,USD,48509,8663,10347,7443,365,10026,183372
Q3 2024,88268,,51412,58.3,28521,32.3,,26301,29.8,2.12,,,24800,304532,,,13220,93235,12406,,,millions,USD,49385,8921,11353,7546,388,10485,181269
Q4 2024,96771,,56333,58.3,30883,31.9,,26471,27.4,2.14,,,27800,315237,,,13220,123921,12370,,,millions,USD,51290,10896,11990,7918,409,11254,191548
FY2024,350018,,203712,58.2,112390,32.1,,100118,28.6,8.04,,,72481,315237,,,13220,123921,12453,,,millions,USD,199340,37571,43376,30320,1657,42721,191548
Q1 2025,90234,,53873,59.7,30606,33.9,,34540,38.3,2.81,,,18953,345267,,,13220,107000,12292,,,millions,USD,50702,8927,12260,7256,450,11349,191548
Q2 2025,96428,,57389,59.5,31271,32.4,,28297,29.4,2.31,,,17730,365000,,,13205,118000,12250,,,millions,USD,57571,9500,14705,7100,450,11000,191000
Q3 2025,102346,,60977,59.6,31228,30.5,,34979,34.2,2.87,,,14000,385000,,,13200,122000,12188,,,millions,USD,56567,10500,16768,6880,400,10800,190900
Q4 2025,113828,,68062,59.8,35934,31.6,,34354,30.2,2.84,,,11725,415265,,,46547,126843,12100,,,millions,USD,59692,11440,18802,6572,311,10080,190820
FY2025,402836,,240301,59.7,129039,32.0,,132170,32.8,10.81,,,62408,415265,,,46547,126843,12235,,,millions,USD,224532,40367,62535,27808,1611,43229,190820
Q1 2026,109896,,68625,62.4,39696,36.1,,62578,57.0,5.11,,,10116,478746,,,77501,126840,12246,,,millions,USD,60399,9883,20028,6971,411,12000,194668
