Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,LeasePrincipalPaid,SameStoreSalesGrowth,StoreCount
H1-2018,342.214,,,,,,,8.697,2.5413922282548342,,,,,,,,,,,,0.025,,,,,millions,AUD,,,
FY2018,575.549,208.657,366.893,63.7466141023614,50.147,8.712898467376366,68.841,4.61,0.8009743740324456,0.0119,54.893,24.555,30.338,189.221,375.348,186.127,35.213,7.22,387.938513,0.484,0.05,,,,,millions,AUD,,0.4,312.0
H1-2019,315.445,,202.486,64.19058789963384,28.542,9.048170045491291,38.192,19.531,6.191570638304618,0.0503,24.757,7.983,16.774,200.886,409.898,209.012,28.435,7.69,388.290258,,0.025,,,,,millions,AUD,,1.1,311.0
FY2019,569.5,,353.032,61.989815627743624,21.115,3.7076382791922735,40.481,16.498,2.89692712906058,0.0425,38.969,16.134,22.835,176.752,379.193,202.441,32.704,7.923,388.338356,0.106,0.04,,,,,millions,AUD,,-3.3,306.0
H1-2020,329.482,,203.435,61.743888892261175,35.272,10.705288908043533,62.489,21.404,6.4962577621842765,0.055,67.01,11.207,55.803,179.873,583.727,403.854,32.8,33.179,389.163636,,0.015,,,,,millions,AUD,24.854,6.3,304.0
FY2020,492.06,,298.204,60.603178474169816,14.079,2.8612364345811487,69.69,3.059,0.6216721538023818,0.0079,83.699,17.353,66.346,153.806,501.618,347.812,10.681,11.204,388.340494,-0.025,0.015,,,,,millions,AUD,35.52,2.7,290.0
H1-2021,319.884,,200.485,62.674281927198614,58.88,18.4066724187518,84.536,38.983,12.18660514436483,0.1003,121.689,5.809,115.88,190.752,542.374,351.622,0.0,90.315,388.664008,,0.015,,,,,millions,AUD,26.033,6.3,289.0
FY2021,556.486,,348.916,62.699870257293085,72.398,13.009851101375416,123.691,45.328,8.14539808728342,0.1163,143.452,19.027,124.425,193.401,508.111,314.71,0.0,72.361,389.695426,0.226,0.045,,,,,millions,AUD,40.997,8.6,285.0
H1-2022,327.11,114.188,212.922,65.09186512182445,55.814,17.062761762098376,81.772,37.136,11.352755953654734,0.0944,71.052,11.753,59.29900000000001,198.237,538.704,340.467,0.0,99.138,393.389831,,0.035,,,,,millions,AUD,21.114,11.4,285.0
FY2022,595.21,,384.826,64.65381966028797,73.236,12.304228759597454,125.18,46.712,7.847986424959258,0.1186,111.574,22.471,89.103,195.095,511.179,316.084,0.0,95.844,393.937042,0.286,0.075,,,,,millions,AUD,40.464,8.0,280.0
H1-2023,363.385,126.484,236.901,65.19283955033917,58.78,16.17568143979526,87.342,37.584,10.342749425540406,0.096,47.59,16.899,30.691000000000003,199.657,550.813,351.156,0.0,78.742,391.5,,0.04,,,,,millions,AUD,21.762,,282.0
FY2023,629.562,,404.44,64.24148852694412,58.883,9.353010505716673,116.607,35.182,5.588329664115687,0.09,80.072,34.271,45.801,188.615,546.488,357.873,12.5,20.867,390.698146,1.818,0.075,,,,,millions,AUD,45.098,,304.0
H1-2024,362.688,139.646,223.042,61.49693400388213,28.8,7.940709370037056,60.838,15.394,4.2444194459149465,0.0395,22.042,17.41,4.6320000000000014,189.672,576.837,387.165,34.4,22.78,389.721519,,0.0175,,,,,millions,AUD,23.711,,302.0
FY2024,644.929,254.011,390.918,60.61411411178595,14.228,2.206134318661434,82.241,-0.479,-0.07427174154054167,-0.0012,37.773,27.609,10.164000000000001,166.881,545.244,378.363,58.9,20.174,383.793875,0.168,0.0175,,,,,millions,AUD,49.24,,300.0
H1-2025,360.169,139.282,220.887,61.32870957800366,32.364,8.985781674713815,64.084,16.862,4.681691095013729,0.0431,57.694,6.164,51.53,184.741,557.637,372.896,37.4,27.571,391.229698,,0.0,,,,,millions,AUD,22.851,,294.0
FY2025,643.655,254.217,389.438,60.5041520690432,18.857,2.9296750588436353,84.393,2.099,0.32610637686338184,0.0053,55.071,10.13,44.940999999999995,170.619,518.395,347.776,52.1,10.248,393.216831,0.338,0.0,,,,,millions,AUD,48.067,,287.0
H1-2026,370.954,143.784,227.17,61.23939895512651,38.863,10.476501129520102,69.386,22.257,5.999935301951186,0.0565,94.792,9.077,85.715,189.747,563.992,374.245,31.0,51.656,393.929204,,0.0,,,,,millions,AUD,24.097,3.8,
FY2026,655.679,259.338,396.341,60.447414054743255,31.101,4.743327146362778,94.107,9.995,1.5243739695796266,0.0252,99.125,14.181,84.944,173.116,485.231,312.115,20.0,14.461,396.024908,-0.145,0.02,,,,,millions,AUD,47.965,5.2,281.0
