Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AUM,NTAPerShare,NormalisedNPAT,NormalisedEBIT,NormalisedROE,StatutoryROE,TotalLifeBook
H1 FY2016,950.0,,,,,,,230.6,24.3,0.419,467.6,,,2696.2,,,,1003.0,,11.7,16.0,,,,,millions,AUD,,,,,,,
FY2016,1813.3,,,,471.5,26.0,,329.9,18.2,0.585,1282.4,,,2684.0,20978.3,18294.3,5777.2,526.9,605.8,26.3,32.5,,,,,millions,AUD,,,361.7,471.5,,,
H1 FY2017,940.7,,,,,,,201.6,21.4,0.358,939.9,,,,,,,701.8,,11.4,17.0,,,,,millions,AUD,,,,,,,
FY2017,1972.3,,,,510.3,25.9,,398.2,20.2,0.707,1597.2,,,2901.3,23011.0,20109.7,6421.6,514.7,608.3,,34.5,,,,,millions,AUD,,,384.9,510.3,,,
H1 FY2018,1128.1,,,,,,,196.1,17.4,0.331,966.7,,,3483.6,24036.5,20552.9,6349.4,993.8,,11.4,17.5,,,,,millions,AUD,,,,,,,
FY2018,2190.5,,,,553.4,25.3,,323.8,14.8,0.54,1977.4,,,3485.8,25300.5,21814.7,6732.9,741.7,596.7,23.7,35.5,,,,,millions,AUD,,,406.1,553.4,,,
H1 FY2019,893.5,,,,,,,6.2,0.7,0.01,654.5,,,3403.1,26459.9,23056.8,7122.8,475.6,,,17.5,,,,,millions,AUD,,,,,,,
FY2019,2372.6,,,,553.6,23.3,,310.7,13.1,0.509,652.3,,,3622.8,27457.5,23834.7,7076.5,725.4,605.8,21.4,35.5,,,,,millions,AUD,81770.0,,396.1,553.6,,,14836.4
H1 FY2020,1222.2,,,,,,,222.2,18.2,0.363,941.0,,,3743.8,28061.5,24317.7,6978.6,760.2,,,17.5,,,,,millions,AUD,,,,,,,
FY2020,1132.8,,,,513.0,45.3,,-421.1,-37.2,-0.684,484.9,,,3249.6,28461.6,25212.0,7738.9,603.9,608.3,14.2,17.5,,,,,millions,AUD,85237.0,,343.7,513.0,,,14997.0
H1 FY2021,1289.5,,,,,,,222.8,17.3,0.332,850.5,,,3512.8,28444.3,24931.5,7314.7,717.8,,,9.5,,,,,millions,AUD,,,,,,,
FY2021,2785.7,,,,400.8,14.4,,592.3,21.3,0.882,2576.6,,,3825.8,29917.9,26092.1,6323.5,928.6,671.6,11.5,20.0,,,,,millions,AUD,109960.0,,278.5,400.8,,,17302.1
H1 FY2022,1481.4,,,,,,,282.0,19.0,,,,,4059.3,,,,,676.0,,11.5,,,,,millions,AUD,,5.06,165.6,,,,
FY2022,1860.7,,,,476.4,25.6,,253.7,13.6,0.375,2486.8,,,3988.3,29725.2,25736.9,5783.0,733.1,675.7,11.5,23.0,,,,,millions,AUD,98569.9,,321.5,476.4,,,17981.8
H1 FY2023,1505.4,,,,,,,122.7,8.2,,,,,4047.5,,,,,682.0,,12.0,,,,,millions,AUD,,5.03,167.2,,,,
FY2023,2459.3,,,,524.7,21.3,,287.5,11.7,0.421,1273.6,,,4164.4,30938.0,26773.6,5836.6,593.4,682.1,16.8,24.0,,,,,millions,AUD,104966.0,,364.0,524.7,,,19199.0
H1 FY2024,974.1,,,,,,,56.3,5.8,,,,,3903.9,,,,,684.8,,13.0,,,,,millions,AUD,,4.81,200.7,,,,
FY2024,2967.0,,,,613.1,20.7,,129.9,4.4,0.19,843.7,,,3885.2,33406.9,29521.7,7078.8,573.2,684.6,19.6,26.5,,,,,millions,AUD,,,416.6,613.1,,,
H1 FY2025,1569.3,,,,,,,72.2,4.6,,,,,,,,,,,,14.5,,,,,millions,AUD,,4.72,225.2,,,,
FY2025,3103.3,,,,661.5,21.3,,192.3,6.2,0.28,399.6,,,3864.5,34954.1,31089.6,8227.3,650.2,686.8,28.0,29.5,,,,,millions,AUD,123900.0,,455.5,661.5,11.8,5.0,
H1 FY2026,1583.3,,,,,,,338.7,21.4,,,,,,,,,,,,15.5,,,,,millions,AUD,,5.09,228.9,,,,
FY2026,2936.1,,,,,,,505.6,17.2,0.736,1904.2,,,4064.5,36797.7,32733.2,8431.1,711.0,687.0,24.3,33.0,,,,,millions,AUD,120000.0,,467.6,,11.6,12.5,
