Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,EPS_ADS_Diluted_USD,AdjustedEBITA_RMB_Mn,TaobaoTmall_Revenue_RMB_Mn,Cloud_Revenue_RMB_Mn,International_Revenue_RMB_Mn,Logistics_Revenue_RMB_Mn,ShortTermInvestments_RMB_Mn,OtherTreasuryInvestments_RMB_Mn
FY2017,158273,,98790,62.4,48055,,74456,43675,,2.12,82854,,71318,278799,506812,182691,91732,143281,20579,,,,,2.46,69172,127871,6663,14591,0,,
FY2018,250266,,143222,57.2,69314,,105792,63985,,3.06,125805,,99996,365822,717124,277685,125553,199307,20881,,,,,3.90,97003,214020,13390,,,,
FY2019,376844,,169915,45.1,57084,,121943,87600,,4.17,150975,,104478,492257,965076,349674,134300,189976,20988,,,,,4.97,106981,323400,24702,,,3262,0
FY2020,509711,,227344,44.6,91430,,157659,149263,,6.99,180607,,130914,755401,1312985,433334,125430,330503,21346,,,,,7.90,137136,379172,40016,51902,47286,28478,0
FY2021,717289,,296084,41.3,89678,,196842,150308,,6.84,231786,,172662,937470,1690218,606584,149153,321262,21982,,,,,8.35,170453,501379,60558,48851,37258,152376,0
FY2022,853062,,313612,36.8,69638,,158205,61959,,2.84,142759,,98874,948479,1695553,613360,141344,189898,21787,,,,,3.58,130397,429930,102016,62185,66808,256514,0
FY2023,868687,,318992,36.7,100351,,175710,72509,,3.43,199752,,171663,989657,1753044,630123,161354,193086,21114,,,,,4.00,147911,413206,103497,70506,77512,326492,40736
FY2024,941168,,354845,37.7,113350,,191668,79741,,3.91,182593,,156210,986544,1764829,652230,170776,248125,20359,,,,,4.33,165028,490101,106374,102598,99020,262955,106150
FY2025,996347,,398062,39.9,140905,,202325,129470,,6.70,163509,,73870,1009858,1804227,714121,230703,145487,19318,,,,,7.39,173065,508380,118028,132300,101272,228826,228016
FY2026,1023670,,407534,39.8,50150,,113483,105904,,5.50,76213,,-46609,1060886,1909570,783300,259996,131530,19235,,,,,6.38,76416,554217,158132,144170,0,155310,238075
Q1 FY2024,234156,,91809,39.2,42490,,52052,34332,,1.66,45306,,39089,1013504,1776804,629763,,226405,20608,,,,,1.83,45371,114953,25123,22123,23164,,
Q2 FY2024,224790,,78684,35.0,33584,,49237,27706,,1.35,49231,,45220,1035082,1811590,641544,,243716,20526,,,,,1.48,42845,97654,27648,24511,22823,,
Q3 FY2024,260348,,104134,40.0,22511,,59572,14433,,0.71,64716,,56540,1010590,1820966,678536,,254804,20485,,,,,0.80,52843,129070,28066,28516,28476,,
Q4 FY2024,221874,,73776,33.3,14765,,30807,3270,,0.16,23340,,15361,986544,1764829,652230,170776,248125,19980,,,,,0.18,23969,93216,25595,27448,24557,,
Q1 FY2025,243236,,97130,39.9,35989,,51161,24269,,1.24,33636,,17372,938025,1785054,731694,,219167,19595,,,,,1.36,45035,113373,26549,29293,26811,,
Q2 FY2025,236503,,93121,39.4,35018,,49667,43874,,2.40,42789,,32413,,,,,,,,,,,2.70,41973,108190,27611,31672,25750,,
Q3 FY2025,280154,,114378,40.8,40801,,56508,48945,,2.73,46561,,25587,,,,,,,,,,,3.08,48217,114660,30654,33614,25802,,
Q4 FY2025,236454,,95082,40.2,30101,,41783,11973,,0.50,27520,,3743,1009858,1804227,714121,230703,145487,,,,,,0.55,32616,101369,30127,33579,21573,,
Q1 FY2026,247652,,,,34988,,,43116,,2.25,20672,,-18815,,,,,,140072,,,,,2.54,38844,33398,34741,,,,
Q2 FY2026,247795,,,,5365,,,20990,,1.09,10099,,-21840,,,,,,132578,,,,,1.23,9073,39824,34799,,,,
Q3 FY2026,284843,,115309,40.5,10645,,34057,16322,,0.74,36032,,11346,1039655,1878299,772371,262740,128174,19310,,,,,0.85,23397,159347,43284,39201,0,,
Q4 FY2026,243380,,83988,34.5,-848,,16435,25476,,1.30,9410,,-17300,1060886,1909570,783300,259996,131530,19319,,,,,1.51,5102,122220,41626,35429,0,,
