Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AFFOPerShare,NTAPerShare
FY2015,2114.0,,,,,,,903.0,42.7,0.385,401.0,600.0,-199.0,8787.0,15729.0,6942.0,3283.0,170.0,2345.5,5.6,,,,,,millions,AUD,,3.68
H1 FY2016,1065.0,,,,,,,696.0,65.4,0.294,302.0,281.0,21.0,9287.0,16581.0,7294.0,3677.0,279.0,2367.3,,,,,,,millions,AUD,,
FY2016,2328.0,,,,,,,889.0,38.2,0.373,787.0,633.0,154.0,9254.0,16942.0,7688.0,3800.0,208.0,2383.4,7.2,0.245,,,,,millions,AUD,,3.82
H1 FY2017,1169.0,,,,,,,702.0,60.1,0.292,315.0,265.0,50.0,9762.0,17432.0,7670.0,3916.0,282.0,2404.1,,,,,,,millions,AUD,,4.0
FY2017,2744.0,,,,,,,1195.0,43.5,0.496,921.0,545.0,376.0,9927.0,17495.0,7568.0,3529.0,238.0,2409.3,8.2,0.255,,,,,millions,AUD,,4.04
H1 FY2018,1337.0,,,,,,,684.0,51.2,0.282,178.0,390.0,-212.0,10340.0,18867.0,8527.0,3794.0,174.0,2425.5,,,,,,,millions,AUD,,4.18
FY2018,2775.0,,,,,,,1025.0,36.9,0.42200000000000004,728.0,734.0,-6.0,10376.0,19291.0,8915.0,3938.0,333.0,2428.9,7.6,0.265,,,,,millions,AUD,,4.18
H1 FY2019,1127.0,,,,,,,300.0,26.6,0.124,-136.0,281.0,-417.0,10263.0,19534.0,9271.0,4692.0,178.0,2419.4,,,,,,,millions,AUD,0.146,4.19
FY2019,2768.0,,,,,,,311.0,11.2,0.13,394.0,490.0,-96.0,9828.0,18999.0,9171.0,4704.0,140.0,2392.3,,0.276,,,,,millions,AUD,,4.04
H1 FY2020,1239.0,,,,,,,504.0,40.7,0.212,446.0,698.0,-252.0,9993.0,19261.0,9268.0,4745.0,245.0,2377.4,,,,,,,millions,AUD,,4.12
FY2020,2812.0,,,,,,,-21.0,-0.7,-0.009000000000000001,1112.0,830.0,282.0,9081.0,19155.0,10074.0,5022.0,443.0,,,0.241,,,,,millions,AUD,,3.77
H1 FY2021,1254.0,,,,,,,350.0,27.9,0.147,493.0,243.0,250.0,9201.0,18412.0,9211.0,4410.0,434.0,2381.0,,,,,,,millions,AUD,,3.78
FY2021,2756.0,,,,,,,1105.0,40.1,0.462,1047.0,406.0,641.0,9584.0,19305.0,9721.0,4754.0,1162.0,2391.8,,0.246,,,,,millions,AUD,,3.98
H1 FY2022,1188.0,,,,,,,850.0,71.5,0.355,172.0,325.0,-153.0,10160.0,20016.0,9856.0,4439.0,259.0,2394.4,,,,,,,millions,AUD,,4.23
FY2022,2847.0,,,,,,,1381.0,48.5,0.5770000000000001,918.0,627.0,291.0,10361.0,20414.0,10053.0,4472.0,378.0,2393.4,,0.266,,,,,millions,AUD,,4.31
H1 FY2023,1151.0,,,,,,,301.0,26.2,0.126,-174.0,161.0,-335.0,10368.0,16958.0,6590.0,3899.0,208.0,2388.9,,,,,,,millions,AUD,,4.31
FY2023,2808.0,,,,,,,440.0,15.7,0.183,332.0,386.0,-54.0,10176.0,16640.0,6464.0,3907.0,271.0,2404.4,,0.262,,,,,millions,AUD,,4.24
H1 FY2024,934.0,,,,,,,102.0,10.9,0.042,-362.0,300.0,-662.0,10073.0,17543.0,7470.0,5277.0,693.0,2428.6,,,,,,,millions,AUD,,4.2
FY2024,2989.0,,,,,,,305.0,10.2,0.127,114.0,538.0,-424.0,9893.0,17060.0,7167.0,4730.0,719.0,2401.6,,0.246,,,,,millions,AUD,,4.12
H1 FY2025,1013.0,,,,,,,245.0,24.2,0.102,-187.0,160.0,-347.0,9942.0,17639.0,7697.0,5509.0,506.0,2402.0,,,,,,,millions,AUD,,4.14
FY2025,3131.0,,,,,,,826.0,26.4,0.34299999999999997,328.0,310.0,18.0,10185.0,17743.0,7558.0,5179.0,647.0,2408.2,,0.252,,,,,millions,AUD,,4.22
H1 FY2026,1248.0,,,,,,,292.0,23.4,0.12,-315.0,114.0,-429.0,10345.0,18785.0,8440.0,5670.0,376.0,2433.3,,,,,,,millions,AUD,,4.25
FY2026,3589.0,,,,,,,994.0,27.7,0.41,876.0,222.0,654.0,10710.0,18816.0,8106.0,4895.0,796.0,2424.4,,0.252,,,,,millions,AUD,,
