Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AISC,EPSDiluted,GoldPriceAchieved,GoldProduction,ImpairmentExpense
H1 FY2016,248.592,181.479,67.113,27.0,66.48,26.7,87.484,95.45,38.4,0.1488,70.487,22.152,48.335,293.53,450.05,222.022,97.187,33.289,641.5,,,,,,,millions,AUD,,,,,
FY2016,554.624,399.913,154.711,27.9,165.044,29.8,204.259,171.957,31.0,0.2679,192.797,44.717,148.08,386.789,492.341,153.927,26.678,79.873,641.788,1.585,,,,,,millions,AUD,,,,,
FY2017,541.177,364.272,176.905,32.7,169.424,31.3,189.234,136.371,25.2,0.1905,186.384,119.737,66.647,666.728,837.753,188.555,34.558,282.06,715.9,1.184,,,,,,millions,AUD,,,,,
FY2018-6mo-Dec,222.774,198.325,24.449,11.0,-1.895,-0.9,8.262,-3.302,-1.5,-0.0044,33.849,181.875,-148.026,710.381,1121.485,420.786,207.224,38.717,750.5,1.346,,,,,,millions,AUD,1449.0,,,129199.0,
FY2018,445.555,376.231,69.324,15.6,82.135,18.4,96.682,65.57,14.7,0.0885,28.359,238.733,-210.374,716.056,935.27,226.628,47.282,42.445,740.9,1.782,,,,,,millions,AUD,1052.0,,,284000.0,
FY2019,456.4,414.192,42.208,9.2,-27.047,-5.9,49.269,-67.775,-14.8,-0.083,83.387,143.059,-59.672,625.531,1385.328,761.233,426.014,87.305,816.6,1.706,,,,,,millions,USD,,,,384731.0,
FY2020,602.985,545.58,57.405,9.5,18.241,3.0,193.572,15.941,2.6,0.0162,49.952,90.978,-41.026,842.717,1424.958,609.851,336.171,88.591,981.553,1.178,,247.255,,,,millions,USD,1074.0,,,395136.0,
FY2021,549.242,502.671,46.571,8.5,-310.907,-56.6,-189.914,-319.203,-58.1,-0.2892,50.558,56.221,-5.663,490.057,977.231,558.641,316.705,67.607,1103.897,1.122,,129.899,,,,millions,USD,,,,319300.0,227.464
FY2022,651.129,559.392,91.737,14.1,6.681,1.0,92.575,-34.083,-5.2,-0.0285,90.905,67.785,23.12,543.434,868.793,397.299,125.116,80.873,1196.857,0.457,,148.166,,,,millions,USD,,,,353069.0,
H1 FY2023,329.499,,,,,,,,,,,,,,,,,,,,,101.721,,,,millions,USD,1469.0,,1906.0,176631.0,
FY2023,631.073,517.735,113.338,18.0,109.907,17.4,190.951,65.577,10.4,0.0308,106.567,71.797,34.77,590.146,853.078,310.905,74.066,59.769,2129.007,0.605,,161.211,,,,millions,USD,,,,,
H1 FY2024,341.503,,,,,,,,,,,,,,,,47.5,,,,,116.388,,,,millions,USD,1442.0,,2170.0,167140.0,
FY2024,800.973,581.346,219.627,27.4,28.009,3.5,157.18,-28.298,-3.5,-0.0133,115.006,104.818,10.188,537.766,819.556,336.342,34.415,69.269,2129.05,1.104,,319.491,,,,millions,USD,,,2383.0,339869.0,
H1 FY2025,447.514,,,,,,,,,,,,,,,,47.8,,,,,211.055,,,,millions,USD,1688.0,,3076.0,151460.0,
FY2025,865.6,555.9,309.7,35.8,247.2,28.6,367.9,128.8,14.9,0.0605,226.4,130.0,96.4,728.8,1178.7,495.1,194.6,130.7,2150.3,1.6,,,,,,millions,USD,,0.0599,,277236.0,
