Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,UnderlyingNPAT,EBITDAX
FY2015,2478.0,1883.0,559.0,22.6,-2381.0,-96.1,1266.0,-1953.0,-78.8,-1.695,811.0,1421.0,-610.0,7421.0,15949.0,8528.0,5398.0,839.0,1152.0,17.0,0.15,,,,,millions,USD,,
H1 FY2016,1205.0,1081.0,110.0,9.1,-1471.0,-122.1,444.0,-1104.0,-91.6,-0.6235,291.0,379.0,-88.0,6369.0,15023.0,8654.0,5387.0,1034.0,1771.0,4.0,,,,,,millions,USD,,
FY2016,2627.0,2153.0,441.0,16.8,-1204.0,-45.8,1098.0,-1047.0,-39.9,-0.582,857.0,649.0,208.0,7080.0,15262.0,8182.0,5239.0,2026.0,1799.0,10.0,0.0,,,,,millions,USD,,
H1 FY2017,1496.0,1088.0,365.0,24.4,-603.0,-40.3,665.0,-506.0,-33.8,-0.244,662.0,358.0,304.0,6917.0,14672.0,7755.0,4980.0,2226.0,2074.0,6.0,,,,,,millions,USD,,
FY2017,3172.0,2272.0,835.0,26.3,-315.0,-9.9,1365.0,-360.0,-11.3,-0.173,1248.0,634.0,614.0,7151.0,13706.0,6555.0,3943.0,1231.0,2081.0,14.0,0.0,,,,,millions,USD,,
H1 FY2018,1727.0,1162.0,518.0,30.0,443.0,25.7,847.0,104.0,6.0,0.05,644.0,271.0,373.0,6998.0,13411.0,6413.0,3829.0,1492.0,,5.0,,,,,,millions,USD,,
FY2018,3773.0,2329.0,1331.0,35.3,1334.0,35.4,2101.0,630.0,16.7,0.302,1578.0,566.0,1012.0,7279.0,17134.0,9855.0,4919.0,1316.0,2100.0,13.0,0.097,,,,,millions,USD,,
H1 FY2019,2043.0,1228.0,746.0,36.5,736.0,36.0,1234.0,388.0,19.0,0.187,1051.0,379.0,672.0,7532.0,17227.0,9695.0,4610.0,1215.0,2097.0,9.0,,,,,,millions,USD,,
FY2019,4186.0,2714.0,1319.0,31.5,1295.0,30.9,2356.0,674.0,16.1,0.324,2046.0,859.0,1187.0,7676.0,16509.0,8833.0,4421.0,1067.0,2100.0,21.0,0.11,,,,,millions,USD,,
H1 FY2020,1728.0,1244.0,424.0,24.5,-267.0,-15.5,975.0,-289.0,-16.7,-0.139,838.0,405.0,433.0,7298.0,17455.0,10157.0,5058.0,1262.0,2079.0,7.0,,,,,,millions,USD,,
FY2020,3512.0,2642.0,745.0,21.2,-72.0,-2.1,1838.0,-357.0,-10.2,-0.171,1476.0,761.0,715.0,7227.0,17656.0,10429.0,4999.0,1319.0,2088.0,21.0,0.071,,,,,millions,USD,,
H1 FY2021,2112.0,1483.0,557.0,26.4,588.0,27.8,1210.0,354.0,16.8,0.17,942.0,482.0,460.0,7303.0,18505.0,11202.0,5637.0,2417.0,2095.0,11.0,,,,,,millions,USD,,
FY2021,4837.0,2982.0,1731.0,35.8,1422.0,29.4,2673.0,658.0,13.6,0.308,2272.0,1087.0,1185.0,13610.0,30009.0,16399.0,8049.0,2976.0,2150.0,31.0,0.14,,,,,millions,USD,,
H1 FY2022,3843.0,1911.0,1855.0,48.3,1750.0,45.5,2605.0,1167.0,30.4,0.346,2137.0,778.0,1359.0,14315.0,29558.0,15243.0,7079.0,3279.0,3392.0,22.0,,,,,,millions,USD,,
FY2022,7987.0,3900.0,3890.0,48.7,3202.0,40.1,5277.0,2112.0,26.4,0.63,4558.0,1707.0,2851.0,14843.0,28856.0,14013.0,5519.0,2352.0,3363.0,38.0,0.227,,,,,millions,USD,,
H1 FY2023,3057.0,1837.0,1130.0,37.0,1106.0,36.2,2112.0,790.0,25.8,0.241,1628.0,1073.0,555.0,14805.0,28479.0,13674.0,5733.0,1840.0,3292.0,8.0,0.087,,,,,millions,USD,801.0,2112.0
FY2023,6034.0,3667.0,2222.0,36.8,2046.0,33.9,3979.0,1416.0,23.5,0.434,3258.0,2369.0,889.0,15275.0,29756.0,14481.0,6159.0,1875.0,3278.0,25.0,0.262,,,,,millions,USD,,
H1 FY2024,2780.0,1699.0,1012.0,36.4,949.0,34.1,1846.0,636.0,22.9,0.196,1440.0,1173.0,267.0,15444.0,29550.0,13907.0,6475.0,1659.0,3262.0,18.0,0.13,,,,,millions,USD,654.0,1846.0
FY2024,5518.0,3395.0,1986.0,36.0,1918.0,34.8,3706.0,1224.0,22.2,0.378,2850.0,2401.0,449.0,15537.0,29633.0,14096.0,6688.0,1833.0,3255.0,36.0,0.233,,,,,millions,USD,,3706.0
H1 FY2025,2659.0,1699.0,880.0,33.1,680.0,25.6,1758.0,439.0,16.5,0.135,1552.0,1040.0,512.0,15712.0,29878.0,14166.0,6789.0,1830.0,3252.0,12.0,0.134,,,,,millions,USD,508.0,1758.0
FY2025,5082.0,3275.0,1664.0,32.7,1448.0,28.5,3391.0,818.0,16.1,0.252,2813.0,2056.0,757.0,15665.0,30530.0,14865.0,7540.0,1722.0,3259.0,26.0,0.237,,,,,millions,USD,,3391.0
H1 FY2026,2698.0,2027.0,593.0,22.0,581.0,21.5,1555.0,355.0,13.2,0.11,827.0,755.0,72.0,15704.0,30535.0,14831.0,7352.0,1129.0,3257.0,18.0,0.116,,,,,millions,USD,397.0,1555.0
