Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,MAU,PremiumSubscribers,ARPU
FY2016,2952,,401,13.6,-349,-11.8,,-539,-18.3,-3.63,,,73,,,,1106,755,148.4,,,millions,EUR,124,48,6.20
FY2017,4090,,849,20.8,-378,-9.2,,-1235,-30.2,-8.14,,,109,238,,,944,477,151.7,,,millions,EUR,160,71,5.32
FY2018,5259,,1353,25.7,-43,-0.8,,-78,-1.5,-0.51,,,209,2094,,,,891,177.2,,,millions,EUR,207,96,4.81
FY2019,6764,,1722,25.5,-73,-1.1,,-186,-2.7,-1.03,,,440,2037,,,,1065,181.0,,,millions,EUR,271,124,4.72
Q3 2020,1975,,489,24.8,-40,-2.0,,-101,-5.1,-0.58,,,,,,,,1182,188.8,,,millions,EUR,320,144,4.19
Q4 2020,2168,,575,26.5,-69,-3.2,,-125,-5.8,-0.66,,,74,2805,,,,1151,189.9,,,millions,EUR,345,155,4.26
FY2020,7880,,2015,25.6,-293,-3.7,,-581,-7.4,-3.10,,,183,2805,,,,1151,187.6,,,millions,EUR,345,155,4.31
Q1 2021,2147,,548,25.5,14,0.7,,23,1.1,0.12,,,41,,,,,2442,190.6,,,millions,EUR,356,158,4.12
Q2 2021,2331,,663,28.4,12,0.5,,-20,-0.9,-0.19,,,34,,,,,2440,191.2,,,millions,EUR,365,165,4.29
Q3 2021,2501,,668,26.7,75,3.0,,2,0.1,0.01,,,99,,,,,2512,194.6,,,millions,EUR,381,172,4.37
Q4 2021,2689,,712,26.5,-7,-0.3,,-39,-1.5,-0.21,,,103,2119,,,1202,2744,192.1,,,millions,EUR,406,180,4.40
FY2021,9668,,2591,26.8,94,1.0,,-34,-0.4,-1.03,,,277,2119,,,1202,2744,193.9,,,millions,EUR,406,180,4.29
Q1 2022,2661,,671,25.2,-6,-0.2,,131,4.9,0.68,,,37,,,,,2721,192.5,,,millions,EUR,422,188,4.38
Q2 2022,2864,,704,24.6,-194,-6.8,,-125,-4.4,-0.64,,,37,,,,,2786,192.9,,,millions,EUR,433,188,4.54
Q3 2022,3036,,750,24.7,-228,-7.5,,-166,-5.5,-0.86,,,35,,,,,2851,193.1,,,millions,EUR,456,195,4.63
Q4 2022,3166,,801,25.3,-231,-7.3,,-270,-8.5,-1.40,,,-73,2401,,,1128,2483,193.2,,,millions,EUR,489,205,4.55
FY2022,11727,,2926,24.9,-659,-5.6,,-430,-3.7,-2.93,,,21,2401,,,1128,2483,195.8,,,millions,EUR,489,205,4.52
Q1 2023,3042,,766,25.2,-156,-5.1,,-225,-7.4,-1.16,,,57,,,,,2443,193.6,,,millions,EUR,515,210,4.32
Q2 2023,3177,,766,24.1,-247,-7.8,,-302,-9.5,-1.55,,,9,,,,,2618,194.4,,,millions,EUR,551,220,4.27
Q3 2023,3357,,885,26.4,32,1.0,,65,1.9,0.33,,,216,,,,,2618,194.9,,,millions,EUR,574,226,4.34
Q4 2023,3671,,980,26.7,-75,-2.0,,-70,-1.9,-0.36,,,396,2523,,,1203,3114,196.0,,,millions,EUR,602,236,4.60
FY2023,13247,,3397,25.7,-446,-3.4,,-532,-4.0,-2.73,,,678,2523,,,1203,3114,194.7,,,millions,EUR,602,236,4.39
Q1 2024,3636,,1004,27.6,168,4.6,,197,5.4,0.97,,,207,,,,,3451,203.8,,,millions,EUR,615,239,4.55
Q2 2024,3807,,1112,29.2,266,7.0,,274,7.2,1.33,,,490,,,,,4054,206.1,,,millions,EUR,626,246,4.62
Q3 2024,3988,,1240,31.1,454,11.4,,300,7.5,1.45,,,711,,,,,4688,207.4,,,millions,EUR,640,252,4.71
Q4 2024,4242,,1368,32.2,477,11.2,,367,8.6,1.76,,,877,5525,,,1539,4781,209.0,,,millions,EUR,675,263,4.85
FY2024,15673,,4724,30.1,1365,8.7,,1138,7.3,5.50,,,2285,5525,,,1539,4781,207.0,,,millions,EUR,675,263,4.69
Q1 2025,4190,,1326,31.6,509,12.1,,225,5.4,1.07,,,534,6247,,,,5019,210.2,,,millions,EUR,678,268,4.73
Q2 2025,4193,,1320,31.5,406,9.7,,-86,-2.1,-0.42,,,700,6627,,,,5161,205.4,,,millions,EUR,696,276,4.57
Q3 2025,4272,,1351,31.6,582,13.6,,899,21.0,3.28,,,806,,,,,5456,213.8,,,millions,EUR,713,281,4.53
Q4 2025,4531,,1499,33.1,701,15.5,,1174,25.9,4.43,,,834,8329,,,1458,5258,212.5,,,millions,EUR,751,290,4.70
FY2025,17186,,5496,32.0,2198,12.8,,2212,12.9,10.51,,,2874,8329,,,1458,5258,210.5,,,millions,EUR,751,290,
Q1 2026,4533,,1495,33.0,715,15.8,,721,15.9,3.45,,,824,8010,,,476,5255,205.6,,,millions,EUR,761,293,4.76
