Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CostToIncomeRatio,CreditImpairmentCharge,Deposits,NetInterestIncome,NetLoansAndAdvances,NonInterestIncome,OperatingExpenses,EPSDiluted
H1 FY2016,8336.0,,,,,,,-1742.0,-20.8973,-0.701,13631.0,,,50057.0,868730.0,818648.0,131342.0,26652.0,2575.5,,,,,,,millions,AUD,47.56,,448659.0,6597.0,490756.0,1739.0,3965.0,-0.62
FY2016,16648.0,,,,,,,352.0,2.1144,0.088,16195.0,,,51292.0,777622.0,726307.0,134190.0,27960.0,2596.957,,,,,,,millions,AUD,50.04,,459714.0,12930.0,510045.0,3718.0,8331.0,0.155
H1 FY2017,8576.0,,,,,,,2545.0,29.6758,0.939,19685.0,,,50845.0,790227.0,739371.0,130232.0,43917.0,2658.228,,,,,,,millions,AUD,49.63,,487252.0,6397.0,520954.0,2179.0,4256.0,0.917
FY2017,18024.0,,,,,,,5285.0,29.322,1.947,13217.0,,,51306.0,788325.0,737008.0,131058.0,39800.0,2664.511,,,,,,,millions,AUD,47.38,,500604.0,13182.0,540125.0,4842.0,8539.0,1.891
H1 FY2018,9624.0,,,,,,,2583.0,26.8392,0.939,-1099.0,443.0,,52390.0,796068.0,743667.0,138500.0,43062.0,2699.116,,,,,,,millions,AUD,53.87,382.0,502690.0,6766.0,550262.0,2858.0,5184.0,0.911
FY2018,19101.0,,,,,,,5554.0,29.077,2.013,-9196.0,1051.0,,52701.0,806510.0,753798.0,146380.0,37946.0,2709.46,,,,,,,millions,AUD,51.88,791.0,503145.0,13505.0,567981.0,5596.0,9910.0,1.94
H1 FY2019,9169.0,,,,,,,2694.0,29.3816,0.959,6001.0,455.0,,54084.0,826943.0,772852.0,147208.0,41354.0,2756.0,,,,,,,millions,AUD,50.07,454.0,518692.0,6741.0,585730.0,2428.0,4591.0,0.921
FY2019,17931.0,,,,,,,4798.0,26.7581,1.686,10410.0,1135.0,,55596.0,847124.0,791520.0,149740.0,47026.0,2797.0,,,,,,,millions,AUD,54.8,927.0,522085.0,13558.0,587749.0,4373.0,9827.0,1.644
H1 FY2020,8920.0,,,,,,,1313.0,14.7197,0.442,9150.0,478.0,,58377.0,927628.0,869250.0,154509.0,52498.0,2919.0,,,,,,,millions,AUD,66.86,1167.0,544498.0,6889.0,601798.0,2031.0,5964.0,0.426
FY2020,17261.0,,,,,,,2559.0,14.8253,0.821,33892.0,972.0,,61292.0,866565.0,805272.0,132575.0,62041.0,3068.0,,,,,,,millions,AUD,54.15,2752.0,546176.0,13877.0,582485.0,3384.0,9346.0,0.805
