Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,SegmentRevenueCommodities,SegmentRevenueLifeSciences,UnderlyingEBIT,UnderlyingEBITDA,UnderlyingEPS,UnderlyingNPAT
FY2015,1422.2,,,,-87.1,-6.1,8.4,-172.7,-12.1,-41.13,215.2,76.5,138.7,1228.4,2406.9,1178.5,939.4,163.1,424.3,0.6,,,,,,millions,AUD,,,,,,
FY2016,1364.9,,,,-169.1,-12.4,-67.5,-239.7,-17.6,-52.51,169.6,73.7,95.9,1185.6,2144.9,959.3,749.5,297.9,458.4,1.4,,,,,,millions,AUD,,,,,,
H1 FY2017,672.0,,,,84.1,12.5,,49.0,7.3,9.7,78.7,28.3,50.4,1188.8,2138.6,949.8,745.1,298.9,,,,,,,,millions,AUD,,,,,,
FY2017,1261.5,,,,173.4,13.7,240.1,82.8,6.6,16.18,175.3,58.7,116.6,1185.2,2149.6,964.4,741.1,249.3,513.3,2.0,,,,,,millions,AUD,,,,,,
H1 FY2018,761.4,,,,39.3,5.2,,-8.0,-1.1,-1.77,57.6,39.2,18.4,1176.6,2134.7,958.1,726.9,293.3,,,,,,,,millions,AUD,,,,,,
FY2018,1446.9,,,,141.1,9.8,211.7,53.4,3.7,10.34,185.8,73.4,112.4,1122.0,2058.3,936.3,695.6,187.6,518.4,,,,,,,millions,AUD,,,,,,
H1 FY2019,830.1,,,,136.1,16.4,,85.2,10.3,17.52,87.6,45.8,41.8,1099.4,2139.0,1039.6,739.8,152.9,,,,,,,,millions,AUD,,,,,,
FY2019,1664.8,,,,262.3,15.8,337.1,154.8,9.3,31.57,218.8,108.9,109.9,1103.2,2178.7,1075.5,780.1,148.3,489.9,3.6,,,,,,millions,AUD,,,,,,
H1 FY2020,921.0,,,,146.2,15.9,,136.4,14.8,28.05,90.4,51.7,38.7,1149.9,2571.6,1421.7,1066.6,138.6,,,,,,,,millions,AUD,,,,,,
FY2020,1831.9,,,,192.8,10.5,326.1,129.5,7.1,26.46,259.0,121.1,137.9,1110.6,2930.8,1820.2,1446.9,424.4,489.2,5.7,,,,,,millions,AUD,,,,,,
H1 FY2021,838.8,,,,123.3,14.7,,71.2,8.5,14.57,88.3,36.1,52.2,1052.8,2433.4,1380.6,1021.2,146.6,,,,,,,,millions,AUD,,,,,,
FY2021,1761.4,,,,288.5,16.4,421.1,174.1,9.9,35.78,265.8,76.9,188.9,1079.8,2476.9,1397.1,967.7,168.6,486.5,4.6,,,,,,millions,AUD,,,,,,
H1 FY2022,1031.1,,,,132.3,12.8,,75.0,7.3,15.36,126.3,56.5,69.8,1125.7,2613.5,1487.8,1017.4,154.3,,,,,,,,millions,AUD,,,,,,
FY2022,1951.8,,,,318.5,16.3,449.8,192.2,9.8,39.45,286.8,118.9,167.9,1130.7,2844.2,1713.5,1237.6,122.8,489.6,5.3,,,,,,millions,AUD,,,,,,
H1 FY2023,1194.2,,,,233.6,19.6,,148.1,12.4,30.5,181.5,57.7,123.8,1286.2,3220.3,1934.1,1437.1,165.2,,,,,,,,millions,AUD,,,,,,
FY2023,2279.2,,,,436.0,19.1,588.4,292.5,12.8,60.23,439.9,146.1,293.8,1378.2,3330.1,1951.9,1448.2,179.6,486.1,7.9,,,,,,millions,AUD,,,,,,
H1 FY2024,1222.5,,,,215.7,17.6,302.4,133.9,11.0,27.57,156.1,84.8,71.3,1431.4,3529.4,2098.0,1589.5,192.0,,,,,,,,millions,AUD,,,,,,
FY2024,2461.6,,,,178.4,7.2,352.3,15.0,0.6,2.66,350.1,151.7,198.4,1196.9,3696.2,2499.2,1871.8,299.9,486.8,7.0,,,,,,millions,AUD,,,,,,
H1 FY2025,1464.2,,,,220.2,15.0,333.2,127.7,8.7,26.2,180.8,74.0,106.8,1147.7,3803.7,2656.0,2014.3,254.6,,,,,,,,millions,AUD,535.7,928.5,,,,
FY2025,2999.4,,,,445.4,14.8,678.9,258.9,8.6,52.8,409.6,165.0,244.6,1294.1,4071.1,2777.0,2093.1,268.0,487.8,10.4,,,,,,millions,AUD,1089.0,1910.4,502.3,715.0,62.5,303.0
H1 FY2026,1659.6,,,,244.0,14.7,369.4,142.9,8.6,28.4,210.4,156.8,53.6,1683.6,4108.8,2425.2,1757.0,211.2,,,,,,,,millions,AUD,612.3,1047.3,,,,
FY2026,3320.1,,,,524.9,15.8,778.3,321.6,9.7,63.3,485.7,263.0,222.7,1705.0,3902.5,2197.5,1571.9,149.7,506.3,9.6,,,,,,millions,AUD,1294.2,2025.9,599.0,833.0,75.7,381.2
