Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,Deposits,NetInterestIncome,NetLoans,BasicEPS,TreasurySharesPurchased
FY2015,9262.0,,,,2522.0,27.2,,1604.0,17.3,4.842,-2413.0,258.0,,13909.0,187976.0,173580.0,67473.0,10681.0,319.3,319.0,,,,,,millions,AUD,47386.0,2092.0,72762.0,5.023,266.0
H1 FY2016,5318.0,,,,1619.0,30.4,,1070.0,20.1,3.1,2984.0,149.0,,14631.0,209090.0,193873.0,73557.0,9897.0,329.7,157.0,,,,,,millions,AUD,51915.0,1165.0,76690.0,3.245,383.0
FY2016,10158.0,,,,3015.0,29.7,,2063.0,20.3,6.001,12823.0,149.0,,15116.0,196755.0,181091.0,71566.0,9110.0,333.2,298.0,,,,,,millions,AUD,52245.0,2279.0,80366.0,6.192,383.0
H1 FY2017,5218.0,,,,1485.0,28.5,,1050.0,20.1,3.048,-3632.0,147.0,,14921.0,193093.0,177630.0,65577.0,8923.0,336.8,214.0,,,,,,millions,AUD,55438.0,1096.0,77976.0,3.118,433.0
FY2017,10364.0,,,,3104.0,29.9,,2217.0,21.4,6.445,-5708.0,329.0,,15563.0,182877.0,165607.0,58980.0,9135.0,337.1,382.0,,,,,,millions,AUD,57708.0,2185.0,76663.0,6.576,433.0
H1 FY2018,5397.0,,,,1704.0,31.6,,1248.0,23.1,3.602,709.0,75.0,,15357.0,189760.0,172661.0,59931.0,8083.0,336.9,200.0,,,,,,millions,AUD,59006.0,1011.0,76889.0,3.704,373.0
FY2018,10920.0,,,,3464.0,31.7,,2557.0,23.4,7.435,4450.0,197.0,,16357.0,191325.0,173145.0,70326.0,9722.0,337.2,383.0,,,,,,millions,AUD,48395.0,1986.0,73509.0,7.582,373.0
H1 FY2019,5830.0,,,,1705.0,29.2,,1310.0,22.5,3.831,2524.0,568.0,,16560.0,205598.0,188439.0,70884.0,9625.0,337.4,227.0,,,,,,millions,AUD,52620.0,998.0,76953.0,3.883,454.0
FY2019,12754.0,,,,3867.0,30.3,,2982.0,23.4,8.681,36.0,633.0,,17761.0,197757.0,179393.0,67670.0,8643.0,337.6,491.0,,,,,,millions,AUD,56191.0,1760.0,77811.0,8.833,454.0
H1 FY2020,6320.0,,,,1840.0,29.1,,1457.0,23.1,4.195,2262.0,572.0,,19617.0,219495.0,199183.0,77942.0,9579.0,338.8,336.0,,,,,,millions,AUD,59042.0,790.0,85066.0,4.301,
FY2020,12325.0,,,,3454.0,28.0,,2731.0,22.2,7.645,12119.0,1084.0,,21063.0,255802.0,234018.0,89063.0,9717.0,345.3,586.0,,,,,,millions,AUD,67342.0,1859.0,94117.0,7.91,607.0
