Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,Amortisation,AvgRevenuePerUnit,CapexIntangibles,CapexPPE,UnitCaseVolume
H1 2016,3545.0,2229.0,1316.0,37.1,314.0,8.9,447.0,210.0,5.9,0.74,338.0,174.0,164.0,6296.0,18735.0,12439.0,6874.0,482.0,283.0,27.0,,,,,,millions,EUR,15.0,,,,
FY2016,9133.0,5584.0,3549.0,38.9,851.0,9.3,1223.0,549.0,6.0,1.42,1244.0,497.0,747.0,6461.0,18568.0,12107.0,6437.0,386.0,385.0,42.0,,,,,,millions,EUR,39.0,,38.0,459.0,
H1 2017,5436.0,3321.0,2115.0,38.9,635.0,11.7,884.0,445.0,8.2,0.91,470.0,205.0,265.0,6580.0,18838.0,12258.0,6349.0,306.0,489.0,7.0,,,,,,millions,EUR,29.0,,,,
FY2017,11062.0,6772.0,4290.0,38.8,1260.0,11.4,1750.0,688.0,6.2,1.41,1623.0,520.0,1103.0,6685.0,18194.0,11509.0,5748.0,360.0,489.0,14.0,,,,,,millions,EUR,47.0,,36.0,484.0,
H1 2018,5435.0,3341.0,2094.0,38.5,605.0,11.1,858.0,417.0,7.7,0.85,621.0,220.0,401.0,6830.0,18619.0,11789.0,5684.0,368.0,489.0,7.0,,,,,,millions,EUR,24.0,,,,
FY2018,11518.0,7060.0,4458.0,38.7,1300.0,11.3,1812.0,909.0,7.9,1.86,1806.0,600.0,1206.0,6564.0,18216.0,11652.0,5618.0,309.0,488.0,17.0,,,,,,millions,EUR,51.0,,75.0,525.0,
Q1 2019,2584.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,4.71,,,549.0
H1 2019,5802.0,3594.0,2208.0,38.1,726.0,12.5,1040.0,508.0,8.8,1.07,844.0,304.0,540.0,6335.0,19090.0,12755.0,6296.0,382.0,475.0,8.0,,,,,,millions,EUR,25.0,,,,
Q3 2019,3282.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,4.75,,,691.0
FY2019,12017.0,7424.0,4593.0,38.2,1548.0,12.9,2187.0,1090.0,9.1,2.32,1904.0,602.0,1302.0,6156.0,18685.0,12529.0,6421.0,316.0,469.0,15.0,,,,,,millions,EUR,52.0,,96.0,506.0,
FY2020,10606.0,6871.0,3735.0,35.2,813.0,7.7,1540.0,498.0,4.7,1.09,1490.0,408.0,1082.0,6025.0,19237.0,13212.0,7187.0,1523.0,456.0,14.0,,,,,,millions,EUR,62.0,,60.0,348.0,
Q1 2021,2293.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,4.69,,,489.0
Q3 2021,3949.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,4.96,,,796.0
FY2021,13763.0,8677.0,5086.0,37.0,1516.0,11.0,2298.0,982.0,7.1,2.15,2117.0,446.0,1671.0,7033.0,29090.0,21880.0,13140.0,1407.0,457.0,16.0,,,,,,millions,EUR,89.0,,97.0,349.0,
Q1 2022,3709.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.01,,,740.0
Q3 2022,4745.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.34,,,888.0
FY2022,17320.0,11096.0,6224.0,35.9,2086.0,12.0,2902.0,1508.0,8.7,3.29,2932.0,603.0,2329.0,7447.0,29313.0,21866.0,11907.0,1387.0,458.0,33.0,,,,,,millions,EUR,101.0,,103.0,500.0,
Q1 2023,4154.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.41,,,768.0
Q3 2023,4807.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.68,,,846.0
FY2023,18302.0,11582.0,6720.0,36.7,2339.0,12.8,3131.0,1669.0,9.1,3.63,2806.0,812.0,1994.0,7976.0,29254.0,21278.0,11396.0,1419.0,459.0,57.0,,,,,,millions,EUR,139.0,,140.0,672.0,
Q1 2024,4465.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.39,,,829.0
H1 2024,9828.0,6332.0,3496.0,35.6,1142.0,11.6,1590.0,797.0,8.1,1.73,1122.0,432.0,690.0,,,,,,,20.0,,,,,,millions,EUR,88.0,,,,
Q3 2024,5358.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.32,,,1008.0
FY2024,20438.0,13227.0,7211.0,35.3,2132.0,10.4,3065.0,1418.0,6.9,3.08,3061.0,939.0,2122.0,8489.0,31100.0,22115.0,11331.0,1563.0,461.0,45.0,,,,,,millions,EUR,182.0,,148.0,791.0,
Q1 2025,4689.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.24,,,894.0
H1 2025,10274.0,6637.0,3637.0,35.4,1364.0,13.3,1833.0,913.0,8.9,1.99,986.0,430.0,556.0,8028.0,31786.0,23281.0,12012.0,1659.0,459.0,21.0,,,,,,millions,EUR,89.0,,,,
Q3 2025,5410.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.35,,,1012.0
FY2025,20901.0,13461.0,7440.0,35.6,2793.0,13.4,3716.0,1942.0,9.3,4.26,2953.0,950.0,2003.0,7835.0,29872.0,21569.0,10694.0,918.0,456.0,47.0,,,,,,millions,EUR,152.0,,200.0,750.0,
Q1 2026,5001.0,,,,,,,,,,,,,,,,,,,,,,,,,millions,EUR,,5.16,,,970.0
H1 2026,10724.0,6936.0,3788.0,35.3,1458.0,13.6,1897.0,967.0,9.0,2.17,1035.0,431.0,604.0,8278.0,32481.0,23716.0,12189.0,1753.0,446.0,18.0,,,,,,millions,EUR,65.0,,,,
