Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,GameRevenue,YoudaoRevenue,CloudMusicRevenue,InnovativeRevenue
Q4 2014,3463.0,,2485.4,71.8,,,,1271.3,36.7,,,,,,,,,,,,,,,,,millions,RMB,,,393.2,
FY2014,11716.7,,8466.9,72.3,,,,4527.6,38.6,,,,,,,,,,,,,,,,,millions,RMB,,,1116.7,
Q1 2015,3660.2,,2489.1,68.0,,,,1264.4,34.5,,,,1925.1,24607.0,,,1228.3,3740.0,,,,,,,,millions,RMB,2941.2,,,421.2
Q2 2015,4567.9,,2845.6,62.3,,,,1428.6,31.3,,,,,,,,,,,,,,,,,millions,RMB,,,483.0,
Q3 2015,6671.8,,3849.3,57.7,,,,1932.9,29.0,,,,,,,,,,,,,,,,,millions,RMB,,,1004.0,
Q4 2015,7903.0,,4219.7,53.4,,,,2163.4,27.4,,,,,,,,,,,,,,,,,millions,RMB,,,1791.1,
FY2015,22802.9,,13403.7,58.8,,,,6789.3,29.8,,,,,,,,,,,,,,,,,millions,RMB,,,3699.8,
Q1 2016,9264.3,,5192.9,56.1,,,,3244.3,35.0,,,,,,,,,,,,,,,,,millions,RMB,,,1606.8,
Q2 2016,10256.4,,5668.3,55.3,,,,3594.9,35.1,,,,,,,,,,,,,,,,,millions,RMB,,,1643.3,
Q3 2016,10876.6,,5988.7,55.1,,,,3848.5,35.4,,,,,,,,,,,,,,,,,millions,RMB,,,1601.8,
Q4 2016,11456.7,,6192.6,54.0,,,,4087.3,35.7,,,,,,,,,,,,,,,,,millions,RMB,,,1766.7,
FY2016,41853.0,,22842.5,54.6,,,,14775.0,35.3,,,,,,,,,,,,,,,,,millions,RMB,,,6618.6,
Q1 2017,11582.9,,6322.4,54.6,,,,4270.1,36.9,,,,,,,,,,,,,,,,,millions,RMB,,,1535.8,
Q2 2017,13364.0,,7209.2,53.9,,,,4950.1,37.0,,,,,,,,,,,,,,,,,millions,RMB,,,1695.7,
Q3 2017,12532.7,,6832.0,54.5,,,,4423.1,35.3,,,,,,,,,,,,,,,,,millions,RMB,,,1456.7,
Q4 2017,14623.9,,7733.3,52.9,,,,5372.1,36.7,,,,,,,,,,,,,,,,,millions,RMB,,,1909.5,
FY2017,52103.5,,28096.9,53.9,,,,19015.4,36.5,,,,,,,,,,,,,,,,,millions,RMB,,,6536.7,
Q1 2018,14226.2,,7650.1,53.8,,,,4991.6,35.1,,,,,,,,,,,,,,,,,millions,RMB,,,1631.2,
Q2 2018,16339.0,,8755.3,53.6,,,,5806.2,35.5,,,,,,,,,,,,,,,,,millions,RMB,,,1896.9,
Q3 2018,16860.0,,9099.4,54.0,,,,6184.5,36.7,,,,,,,,,,,,,,,,,millions,RMB,,,1781.8,
Q4 2018,18428.8,,9796.9,53.2,,,,6542.0,35.5,,,,,,,,,,,,,,,,,millions,RMB,,,1892.1,
FY2018,65854.0,,35301.7,53.6,,,,23524.3,35.7,,,,,,,,,,,,,,,,,millions,RMB,,,7190.0,
Q1 2019,14422.2,,7737.7,53.6,3755.1,26.0,,2732.9,18.9,,,,2625.9,,,,,,,,,,,,,millions,RMB,225.7,,2346.3,
Q2 2019,15087.1,,8024.7,53.2,3993.8,26.5,,2993.9,19.8,,,,3688.5,,,,,,,,,,,,,millions,RMB,305.2,,2828.1,
Q3 2019,15681.0,,8003.3,51.0,2767.2,17.6,,2209.4,14.1,,,,4016.5,,,,,,,,,,,,,millions,RMB,327.6,,3132.4,
Q4 2019,15734.8,,8210.4,52.2,2976.4,18.9,,3053.7,19.4,,,,5510.7,102388.2,,,19668.2,21428.9,,,,,,,,millions,RMB,11604.3,410.4,,3720.0
FY2019,60925.1,,31976.1,52.5,13492.5,22.1,,10989.9,18.0,,,,15841.6,102388.2,,,19668.2,21428.9,,,,,,,,millions,RMB,47629.3,1268.9,,12027.0
Q1 2020,17062.4,,9377.6,55.0,4486.4,26.3,,3551.0,20.8,,,,6500.6,,,,,,,,,,,,,millions,RMB,541.4,,3002.7,
