Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,StoreCount,ComparableSales,InventoryTurnover
FY2016,2344.4,,1199.6,51.2,421.2,18.0,,303.4,,2.21,,149.5,235.6,1360.0,,,0.0,734.8,137.3,,,,,406,6.0,3.9
FY2017,2649.2,,1398.8,52.8,456.0,17.2,,258.7,,1.90,,157.9,331.5,1597.0,,,0.0,990.5,136.2,,,,,404,7.0,4.0
FY2018,3288.3,,1816.3,55.2,705.8,21.5,,483.8,,3.61,,225.8,517.0,1446.0,,,0.0,881.3,134.0,,,,,440,18.0,4.0
FY2019,3979.3,,2223.4,55.9,889.1,22.3,,645.6,,4.93,,283.0,386.3,1952.2,,,0.0,1093.5,131.0,,,,,491,17.0,3.8
FY2020,4401.9,,2464.0,56.0,820.0,18.6,,588.9,,4.50,,229.2,574.1,2558.6,,,0.0,1150.5,130.9,,,,,521,,3.3
FY2021,6256.6,,3608.6,57.7,1333.4,21.3,,975.3,,7.49,,394.5,994.6,2740.0,,,0.0,1259.9,130.3,,,,,574,,3.3
Q1 FY2022,1613.5,,870.4,53.9,260.3,16.1,,190.0,,1.48,,111.4,-354.7,2668.1,,,0.0,649.0,128.5,,,,,579,,
Q2 FY2022,1868.3,,1055.5,56.5,401.2,21.5,,289.5,,2.26,,144.7,-46.8,2857.8,,,0.0,498.8,127.9,,,,,600,,
Q3 FY2022,1856.9,,1038.9,55.9,352.4,19.0,,255.5,,2.00,,175.6,-109.8,3039.2,,,0.0,352.6,127.8,,,,,623,,
FY2022,8110.5,,4492.3,55.4,1328.4,16.4,,854.8,,6.68,,638.7,327.8,3148.8,,,0.0,1154.9,128.0,,,,,655,25.0,3.0
Q1 FY2023,2000.8,,1150.8,57.5,401.4,20.1,,290.4,,2.28,,136.9,-91.4,3320.1,,,0.0,950.6,127.6,,,,,662,,
Q2 FY2023,2209.2,,1298.5,58.8,479.3,21.7,,341.6,,2.68,,145.6,331.1,3533.5,,,0.0,1107.5,127.3,,,,,672,,
Q3 FY2023,2204.2,,1256.7,57.0,338.1,15.3,,248.7,,1.96,,162.9,227.0,3525.8,,,0.0,1091.1,126.8,,,,,686,,
FY2023,9619.3,,5609.4,58.3,2132.7,22.2,,1550.2,,12.20,,651.9,1644.3,4232.1,,,0.0,2244.0,127.1,,,,,711,13.0,2.9
Q1 FY2024,2208.9,,1275.1,57.7,432.6,19.6,,321.4,,2.54,,130.7,-3.2,4219.8,,,0.0,1900.7,126.3,,,,,711,,
Q2 FY2024,2371.1,,1412.2,59.6,540.2,22.8,,392.9,,3.15,,145.1,298.1,4031.6,,,0.0,1610.1,124.9,,,,,721,,
Q3 FY2024,2396.7,,1401.6,58.5,490.7,20.5,,351.9,,2.87,,178.5,122.1,3985.7,,,0.0,1188.4,122.8,,,,,749,,
FY2024,10588.1,,6270.8,59.2,2505.7,23.7,,1814.6,,14.64,,689.2,1583.5,4324.0,,,0.0,1984.3,123.9,,,,,767,4.0,3.1
Q1 FY2025,2370.7,,1383.1,58.3,438.6,18.5,,314.6,,2.60,,152.3,-271.3,4289.6,,,0.0,1325.3,120.8,,,,,770,,
Q2 FY2025,2525.2,,1477.2,58.5,523.8,20.7,,370.9,,3.10,,177.9,150.8,4387.3,,,0.0,1155.8,119.7,,,,,784,,
Q3 FY2025,2565.9,,1425.9,55.6,435.9,17.0,,306.8,,2.59,,167.4,82.5,4502.0,,,0.0,1035.9,118.6,,,,,796,,
FY2025,11102.6,,6284.1,56.6,2210.6,19.9,,1579.2,,13.26,,680.8,921.7,4961.8,,,0.0,1807.2,119.1,,,,,811,2.0,3.1
Q1 FY2026,2471.6,,1338.8,54.2,276.9,11.2,,195.0,,1.69,,127.4,87.1,4825.6,,,0.0,1514.7,115.4,,,,,816,,
