Period,Revenue,GrossProfit,GrossMargin,EBITDA,DepreciationAmortisation,OperatingProfit,NetFinanceCosts,NPAT,EPS_cents,OperatingCashFlow,Capex,FreeCashFlow,DividendsPaid,DPS_cents,StockBasedComp,ShareholdersEquity,TotalDebt,CashAndEquivalents,NetDebt,SharesOutstanding_m,Goodwill,ImpairmentCharges,LeasePrincipalPaid,LeaseLiabilities,PostBalanceDateNotes
H1 2018,143.1,,,7.1,1.9,5.2,0.7,3.4,10.5,11.9,0.3,11.6,2.7,8.00,-0.02,37.9,33.5,10.3,23.2,32.6,38.6,0.0,,,
FY2018,279.3,,,11.8,3.3,8.4,1.3,5.0,15.5,11.5,0.6,10.9,5.4,16.20,0.0,36.9,36.0,6.3,29.7,32.6,38.6,0.0,,,
H1 2019,141.6,,,5.2,1.6,3.5,0.6,2.1,6.3,6.1,1.2,4.9,2.7,8.00,0.08,37.1,33.0,5.7,27.3,32.6,39.4,0.0,,,
FY2019,267.8,,,7.7,3.4,4.2,1.4,2.0,6.1,9.5,2.6,6.8,5.4,16.20,0.16,34.8,33.0,6.4,26.6,33.4,39.3,0.0,,,
H1 2020,139.2,,,6.2,3.3,2.9,1.0,1.3,4.0,6.9,0.3,6.5,2.8,8.00,0.07,34.2,36.0,7.6,28.4,33.0,45.5,0.0,1.2,14.8,
FY2020,263.5,,,12.2,6.2,6.0,2.1,2.7,7.9,9.9,1.0,8.9,5.6,8.00,0.12,33.7,36.0,6.2,29.8,34.3,45.1,0.0,2.4,11.6,
H1 2021,105.9,,,11.2,2.6,8.6,0.8,3.7,10.9,22.0,0.0,21.9,0.0,0.00,-0.12,37.3,15.0,5.9,9.2,34.3,38.1,7.0,1.3,9.6,
FY2021,205.5,,,17.4,5.3,12.2,1.2,6.2,18.1,21.9,1.4,20.5,0.0,8.20,0.08,40.0,15.0,1.8,13.2,34.3,38.1,7.0,2.5,9.3,
H1 2022,110.4,,,5.7,2.6,3.2,0.5,1.7,4.9,5.7,0.6,5.0,2.9,6.50,0.02,38.0,18.0,5.0,13.0,34.3,38.1,0.0,1.2,8.9,
FY2022,221.5,,,10.7,4.9,5.8,1.1,3.0,8.9,10.5,0.6,9.9,5.2,12.10,0.13,36.7,18.0,5.0,13.0,34.3,38.1,0.0,2.4,7.8,
H1 2023,123.0,,,5.9,2.3,3.6,0.7,2.1,6.2,3.9,0.2,3.7,2.0,6.50,0.10,36.9,15.0,2.5,12.5,34.3,42.6,0.0,1.1,,
FY2023,227.4,,,9.4,4.6,4.8,1.7,2.0,5.8,4.7,0.7,4.0,4.3,9.50,0.22,34.6,23.5,2.0,21.5,34.3,42.6,0.1,2.5,7.8,
H1 2024,112.1,,,5.4,2.4,3.0,1.4,1.2,3.4,2.9,0.1,2.9,2.0,3.00,0.13,34.8,24.5,3.4,21.1,34.3,42.6,,1.1,6.4,
FY2024,212.4,,,-2.4,4.9,-7.4,2.8,-10.0,-29.6,2.3,0.2,2.1,2.2,3.00,0.21,22.6,26.5,2.1,24.4,34.3,31.6,11.0,2.8,7.0,
H1 2025,88.9,,,1.8,2.3,-0.5,1.5,-1.4,-4.2,1.3,0.1,1.2,0.0,0.00,0.13,21.3,26.5,1.9,24.6,34.3,31.6,0.0,1.4,7.4,
FY2025,165.2,,,3.4,4.6,-1.3,3.0,-2.9,-8.5,-0.6,0.2,-0.8,0.0,0.00,0.19,19.9,31.0,3.0,28.0,34.3,31.6,0.0,2.9,6.2,
H1 2026,82.0,,,2.0,2.0,-0.1,1.5,-1.1,-3.3,2.5,0.1,2.5,0.0,0.00,0.05,18.9,28.0,1.1,26.9,34.3,31.6,0.0,1.4,10.4,
FY2026,165.1,,,4.1,3.8,0.3,3.0,-2.1,-6.2,1.6,0.2,1.4,0.0,0.00,0.08,17.9,28.7,0.2,28.5,34.3,31.6,0.0,2.1,12.7,"Rights Offer completed 13-May-2026: 33,333,334 new shares issued at $0.15/share, raising $5.0m gross (proceeds applied to debt repayment). Post-raise shares on issue: 67,658,876 (vs 34,325,542 at 31-Mar-2026 balance date). Hull Family Trust stake increased from 53.01% to 65.28%. ASB banking facilities extended to 30-Apr-2028."
