Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NetIncomeContinuing,CapitalReturn
H1 FY2016,33462.0,,,,2110.0,6.3,2749.0,1393.0,4.2,1.239,2404.0,1059.0,1345.0,24962.0,41790.0,16828.0,6282.0,694.0,1124.3,67.0,,,,,,millions,AUD,,0.0
FY2016,65981.0,,,,1346.0,2.0,2642.0,407.0,0.6,0.362,3365.0,1899.0,1466.0,22949.0,40783.0,17834.0,7303.0,611.0,1124.3,103.0,,,,,,millions,AUD,,0.0
H1 FY2017,34917.0,,,,2429.0,7.0,3064.0,1577.0,4.5,1.399,2648.0,924.0,1724.0,23767.0,41399.0,17632.0,6074.0,738.0,1127.2,68.0,,,,,,millions,AUD,,0.0
FY2017,68444.0,,,,4402.0,6.4,5668.0,2873.0,4.2,2.542,4226.0,1681.0,2545.0,23941.0,40115.0,16174.0,5413.0,1013.0,1130.2,105.0,,,,,,millions,AUD,,0.0
H1 FY2018,35903.0,,,,1113.0,3.1,1763.0,212.0,0.6,0.187,2897.0,1004.0,1893.0,22829.0,40467.0,17638.0,5437.0,1842.0,1133.7,71.0,,,13814.0,,,millions,AUD,678.0,0.0
FY2018,66883.0,,,,4061.0,6.1,5259.0,1197.0,1.8,1.056,4080.0,1815.0,2265.0,22754.0,36933.0,14179.0,4124.0,683.0,1133.5,105.0,,,26763.0,,,millions,AUD,1409.0,0.0
H1 FY2019,14388.0,,,,1645.0,11.4,1911.0,4538.0,31.5,4.005,1987.0,955.0,1032.0,11292.0,20585.0,9293.0,3478.0,2942.0,1133.1,51.0,,,14388.0,,,millions,AUD,1080.0,0.0
FY2019,27920.0,,,,2974.0,10.7,3511.0,5510.0,19.7,4.867,2718.0,1356.0,1362.0,9971.0,18333.0,8362.0,3029.0,795.0,1132.1,82.0,,,27920.0,,,millions,AUD,1940.0,0.0
H1 FY2020,15249.0,,,,1734.0,11.4,2475.0,1210.0,7.9,1.069,2131.0,455.0,1676.0,9724.0,26079.0,16355.0,2952.0,436.0,1131.9,52.0,,,15249.0,,,millions,AUD,1127.0,0.0
FY2020,30846.0,,,,2744.0,8.9,4272.0,1697.0,5.5,1.499,4546.0,844.0,3702.0,9344.0,25425.0,16081.0,2656.0,2913.0,1132.1,92.0,,,30846.0,,,millions,AUD,1622.0,0.0
H1 FY2021,17774.0,,,,2137.0,12.0,2892.0,1390.0,7.8,1.228,2216.0,395.0,1821.0,9611.0,25518.0,15907.0,1991.0,2680.0,1131.9,59.0,,,17774.0,,,millions,AUD,1390.0,0.0
FY2021,33941.0,,,,3717.0,11.0,5226.0,2380.0,7.0,2.102,3383.0,843.0,2540.0,9715.0,26214.0,16499.0,3022.0,3023.0,1132.3,61.0,,,33941.0,,,millions,AUD,2380.0,0.0
H1 FY2022,17758.0,,,,1905.0,10.7,2666.0,1213.0,6.8,1.072,1556.0,425.0,1131.0,7743.0,25231.0,17488.0,3353.0,623.0,1131.5,61.0,,,17758.0,,,millions,AUD,1213.0,2267.0
FY2022,36838.0,,,,3633.0,9.9,5208.0,2352.0,6.4,2.076,2301.0,1140.0,1161.0,7981.0,27271.0,19290.0,4958.0,705.0,1132.9,86.0,,,36838.0,,,millions,AUD,2352.0,2267.0
H1 FY2023,22558.0,,,,2160.0,9.6,3004.0,1384.0,6.1,1.222,1971.0,675.0,1296.0,8094.0,27599.0,19505.0,5043.0,632.0,1132.6,71.0,,,22558.0,,,millions,AUD,1384.0,0.0
FY2023,43550.0,,,,3863.0,8.9,5564.0,2465.0,5.7,2.176,4179.0,1286.0,2893.0,8281.0,26546.0,18265.0,4430.0,673.0,1132.8,91.0,,,43550.0,,,millions,AUD,2465.0,0.0
H1 FY2024,22673.0,,,,2195.0,9.7,3075.0,1425.0,6.3,1.258,2898.0,565.0,2333.0,8419.0,27291.0,18872.0,4323.0,804.0,1132.8,68.0,,,22673.0,,,millions,AUD,1425.0,0.0
FY2024,44189.0,,,,3989.0,9.0,5789.0,2557.0,5.8,2.257,4594.0,1076.0,3518.0,8585.0,27309.0,18724.0,4756.0,835.0,1132.9,96.0,,,44189.0,,,millions,AUD,2557.0,0.0
H1 FY2025,23490.0,,,,2299.0,9.8,3215.0,1467.0,6.2,1.294,2575.0,594.0,1981.0,8973.0,27710.0,18737.0,4233.0,487.0,1133.7,73.0,,,23490.0,,,millions,AUD,1467.0,0.0
FY2025,45700.0,,,,4465.0,9.8,6298.0,2926.0,6.4,2.58,4568.0,1147.0,3421.0,9189.0,27981.0,18792.0,4719.0,638.0,1134.1,106.0,,,45700.0,,,millions,AUD,2926.0,0.0
H1 FY2026,24212.0,,,,2493.0,10.3,3396.0,1603.0,6.6,1.414,2491.0,619.0,1872.0,7856.0,28846.0,20990.0,5528.0,729.0,1133.7,74.0,,,24212.0,,,millions,AUD,1603.0,1249.0
FY2026,47274.0,,,,4493.0,9.5,6337.0,2874.0,6.1,2.534,4272.0,1194.0,3078.0,7977.0,28884.0,20907.0,5646.0,530.0,1134.2,104.0,,,47274.0,,,millions,AUD,2874.0,1249.0
