Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,NetIncome,NetMargin,EPSBasic,EPSDiluted,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,SystemsSold,NetBookings,InstalledBaseSales,EUVSales,DUVSales
Q1 2021,4364.0,2352.0,53.9,1561.0,35.8,1331.0,30.5,3.21,3.20,-1139.0,13629.0,,4656.0,414.6,76,4740,1235.0,,,
Q2 2021,4020.0,2045.0,50.9,1239.0,30.8,1038.0,25.8,2.52,2.52,3322.0,12093.0,,5374.0,411.8,72,8271,,,
Q3 2021,5241.0,2711.0,51.7,1919.0,36.6,1740.0,33.2,4.27,4.26,1597.0,11502.0,,4456.0,408.0,79,6179,,,
Q4 2021,4986.0,2701.0,54.2,2031.0,40.7,1774.0,35.6,4.39,4.38,6126.0,10141.0,,7590.0,404.1,82,7050,,,
Q1 2022,3534.0,1731.0,49.0,784.0,22.2,695.0,19.7,1.73,1.73,-838.0,8810.0,,4723.0,401.7,62,6977,1247.0,,,
Q2 2022,5431.0,2665.0,49.1,1653.0,30.4,1411.0,26.0,3.54,3.54,2315.0,7649.0,,4402.0,398.6,91,8461,1290.0,,,
Q3 2022,5778.0,2994.0,51.8,1939.0,33.5,1701.0,29.4,4.29,4.29,805.0,7955.0,,3363.0,396.5,86,8920,1523.0,,,
Q4 2022,6430.0,3311.0,51.5,2125.0,33.0,1817.0,28.2,4.60,4.60,4885.0,8811.0,,7376.0,395.2,106,6316,1682.0,,,
Q1 2023,6746.0,3413.0,50.6,2205.0,32.7,1956.0,29.0,4.96,4.95,194.0,9787.0,,6653.0,393.8,100,3752,1404.0,,,
Q2 2023,6902.0,3544.0,51.3,2263.0,32.8,1942.0,28.1,4.93,4.93,-161.0,10605.0,,6346.0,393.9,113,4500,1358.0,,,
Q3 2023,6673.0,3462.0,51.9,2182.0,32.7,1893.0,28.4,4.81,4.81,618.0,11995.0,,4981.0,393.3,112,2602,1365.0,,,
Q4 2023,7237.0,3717.0,51.4,2392.0,33.1,2048.0,28.3,5.21,5.20,2595.0,13452.0,4631.5,7010.0,393.1,124,9186,1554.0,,,
Q1 2024,5290.0,2697.0,51.0,1392.0,26.3,1224.0,23.1,3.11,3.11,-676.0,13794.0,,5406.0,393.5,70,3611,1324.0,,,
Q2 2024,6243.0,3212.0,51.5,1834.0,29.4,1578.0,25.3,4.01,4.01,386.0,14711.0,,5019.0,393.5,100,5567,1482.0,,,
Q3 2024,7467.0,3793.0,50.8,2441.0,32.7,2077.0,27.8,5.28,5.28,534.0,16151.0,,4985.0,393.4,116,2633,1541.0,,,
Q4 2024,9263.0,4790.0,51.7,3356.0,36.2,2693.0,29.1,6.85,6.84,8839.0,18477.0,3677.3,12741.0,393.0,132,7088,2116.0,,,
Q1 2025,7742.0,4180.0,54.0,2738.0,35.4,2355.0,30.4,6.00,6.00,-475.0,17501.0,,9104.0,392.5,77,3936,2002.0,,,
FY2015,6287.0,2896.0,46.1,,,1387.0,22.1,3.22,3.21,,,,,430.0,,,,
FY2016,6795.0,3044.0,44.8,,,1472.0,21.7,3.46,3.45,,,,,425.0,,,,
FY2017,9053.0,4077.0,45.0,,,2119.0,23.4,4.93,4.92,,,,3288.0,430.0,,,,
FY2018,10944.0,5029.0,46.0,2965.0,27.1,2592.0,23.7,6.10,6.08,2463.0,11641.0,,4034.0,424.9,224,8181,2685.0,,,
FY2019,11820.0,5280.0,44.7,2791.0,23.6,2592.0,21.9,6.16,6.15,2391.0,12592.0,,4718.0,420.8,229,11740,2824.0,,,
FY2020,13979.0,6798.0,48.6,4051.0,29.0,3554.0,25.4,8.49,8.48,3627.0,13865.0,,7352.0,418.9,258,11292,3662.0,,,
FY2021,18611.0,9809.0,52.7,6750.0,36.3,5883.0,31.6,14.36,14.34,9906.0,10141.0,,7590.0,410.1,309,26240,4958.0,6252.0,7401.0
FY2022,21173.0,10700.0,50.5,6501.0,30.7,5624.0,26.6,14.14,14.13,7168.0,8811.0,,7376.0,397.8,345,30674,5743.0,7017.0,7753.0
FY2023,27559.0,14136.0,51.3,9042.0,32.8,7839.0,28.4,19.91,19.89,3247.0,13452.0,4631.5,7010.0,393.8,449,20040,5620.0,9125.0,12278.0
FY2024,28263.0,14492.0,51.3,9022.0,31.9,7572.0,26.8,19.25,19.24,9083.0,18477.0,3677.3,12741.0,393.4,418,18899,6494.0,8322.0,12801.0
