Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,LeasePrincipalPaid,ShareIssuanceProceeds,SignificantItems,TreasurySharesPurchased
FY2015,13369.8,12211.5,1158.3,8.7,-333.0,-2.5,,-384.2,-2.9,-0.424,231.7,85.9,145.8,1156.6,3766.9,2610.3,858.0,83.3,907.0,5.0,,,,,,millions,AUD,4.5,,-638.8,
H1 FY2016,6606.0,6056.3,549.7,8.3,145.5,2.2,,122.0,1.8,0.131,3.1,26.1,-23.0,,,,,,931.3,-3.8,,,,,,millions,AUD,,,,
FY2016,13541.3,12412.3,1129.0,8.3,289.5,2.1,,216.5,1.6,0.233,165.8,64.9,100.9,1369.1,3348.1,1979.0,315.1,26.4,928.4,-4.3,,,,,,millions,AUD,4.2,,0.0,
H1 FY2017,6629.0,6104.2,524.8,7.9,118.9,1.8,,74.9,1.1,0.079,130.6,19.0,111.6,1538.4,3792.6,2254.2,257.5,46.2,948.1,1.0,,,,,,millions,AUD,,,-11.2,
FY2017,14121.9,12885.6,1236.3,8.8,275.9,2.0,,171.9,1.2,0.179,304.6,44.4,260.2,1637.4,3931.8,2294.4,190.1,96.5,958.8,1.4,,,,,,millions,AUD,,,-32.7,
H1 FY2018,7058.4,6429.9,628.5,8.9,145.5,2.1,,92.9,1.3,0.095,161.4,18.9,142.5,1688.0,3954.7,2266.7,130.2,132.6,977.9,1.9,,,,,,millions,AUD,,,-8.8,
FY2018,14463.7,13175.6,1288.1,8.9,-42.8,-0.3,,-149.5,-1.0,-0.153,288.6,47.0,241.6,1388.6,3719.0,2330.4,129.0,161.2,975.6,2.3,,,,,,millions,AUD,,,-380.1,
H1 FY2019,6189.2,5566.2,623.0,10.1,153.3,2.5,,95.8,1.5,0.101,120.3,24.7,95.6,1212.8,3786.6,2573.8,197.6,112.4,948.5,1.3,,,,,,millions,AUD,,,-6.5,
FY2019,12660.3,11382.6,1277.7,10.1,308.6,2.4,,192.8,1.5,0.207,244.9,54.2,190.7,1250.1,3666.6,2416.5,185.5,142.6,928.6,1.2,,,,,,millions,AUD,,,-25.0,
H1 FY2020,6289.8,5659.6,630.2,10.0,-93.6,-1.5,-14.6,-151.6,-2.4,-0.167,88.8,30.5,58.3,1028.8,4568.1,3539.3,218.5,123.2,907.8,1.7,,,,,,millions,AUD,,,,3.1
FY2020,13025.4,11712.7,1312.7,10.1,66.4,0.5,223.6,-56.8,-0.4,-0.062,117.5,61.5,56.0,1371.6,4695.6,3324.0,188.4,275.1,910.1,3.0,,,,,,millions,AUD,129.7,,-268.5,3.3
FY2021,14315.3,12834.0,1481.3,10.3,384.4,2.7,548.1,239.0,1.7,0.233,475.5,85.6,389.9,1291.1,4853.1,3562.0,0.0,124.6,1021.9,8.7,,,,,,millions,AUD,122.0,,-17.0,5.2
H1 FY2022,7150.6,6349.1,801.5,11.2,208.7,2.9,293.7,128.8,1.8,0.128,212.1,60.7,151.4,,,,,,1006.3,2.5,,,,,,millions,AUD,,,-22.5,5.7
FY2022,15164.8,13482.3,1682.5,11.1,406.7,2.7,582.6,245.4,1.6,0.249,432.3,121.7,310.6,1090.4,5200.9,4110.5,293.7,104.7,982.8,7.7,,,,,,millions,AUD,149.4,,-65.6,
H1 FY2023,7737.8,6833.2,904.6,11.7,215.6,2.8,301.5,125.7,1.6,0.13,89.6,81.1,8.5,1089.4,5455.0,4365.6,420.7,56.3,966.9,4.1,,,,,,millions,AUD,,,-39.5,7.5
FY2023,15803.4,13961.1,1842.3,11.7,441.2,2.8,616.2,259.0,1.6,0.267,372.7,152.1,220.6,1085.1,5379.1,4294.0,439.1,89.5,965.5,7.0,,,,,,millions,AUD,119.8,,-59.6,16.2
H1 FY2024,7837.7,6880.6,957.1,12.2,242.7,3.1,337.0,141.0,1.8,0.145,217.7,57.2,160.5,1145.9,5813.5,4667.6,426.3,96.9,970.2,3.8,,,,,,millions,AUD,,,-3.8,0.0
FY2024,15912.4,13970.7,1941.7,12.2,464.4,2.9,656.4,257.2,1.6,0.257,482.6,135.9,346.7,1528.4,5796.4,4268.0,349.2,97.3,1000.8,5.9,,,,,,millions,AUD,152.3,351.9,-31.9,0.0
H1 FY2025,8470.9,7375.6,1095.3,12.9,246.6,2.9,360.5,141.8,1.7,0.129,164.0,71.0,93.0,1588.2,6995.4,5407.2,820.1,95.1,1093.6,2.3,,,,,,millions,AUD,,,0.5,7.2
FY2025,17323.0,15080.3,2242.7,12.9,508.2,2.9,748.2,283.3,1.6,0.258,539.0,148.5,390.5,1636.6,6892.1,5255.5,662.2,84.8,1095.9,3.1,,,,,,millions,AUD,166.0,,0.4,9.7
H1 FY2026,8477.5,7321.6,1155.9,13.6,253.4,3.0,380.4,142.2,1.7,0.129,262.3,83.3,179.0,1674.9,7183.7,5508.8,689.6,91.0,1098.7,1.8,,,,,,millions,AUD,,,13.2,0.2
FY2026,17354.0,15005.0,2349.0,13.5,508.7,2.9,766.7,279.1,1.6,0.253,558.0,175.2,382.8,1722.6,6996.5,5273.9,683.8,67.2,1099.0,3.0,,,,,,millions,AUD,184.2,,5.0,0.2
