Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,DistributionPerSecurity,TotalIncome,FUM,OperatingEPS,OperatingEarnings,PropertyFUM
FY2016,145.055,,,,,,,215.2,148.4,0.525,130.326,,130.326,1326.0,1324.748,95.101,,145.358,409.98,,,,,,,millions,AUD,26.9,,,30.4,124.7,
H1 FY2017,110.9,,,,,,,173.3,156.3,,63.502,,63.502,1722.271,1873.037,150.766,0.0,174.418,,,,,,,,millions,AUD,,,,,80.8,
FY2017,213.393,,,,,,,257.6,120.7,0.612,156.314,,156.314,1722.271,1873.037,150.766,0.0,174.418,420.838,,,,,,,millions,AUD,30.0,423.8,,35.9,151.2,
H1 FY2018,130.5,,,,,,,120.6,92.4,,54.677,,54.677,1782.263,1919.202,136.939,4.671,87.336,,,,,,,,millions,AUD,,,,,95.1,
FY2018,246.2,,,,,,,250.2,101.6,0.537,169.1,,169.1,1858.2,2013.6,155.4,3.6,94.9,465.777,,,,,,,millions,AUD,31.8,416.7,23.2,37.7,175.8,23.2
H1 FY2019,156.0,,,,,,,133.6,85.6,,71.1,,71.1,1923.5,2370.1,446.6,287.2,115.0,,,,,,,,millions,AUD,,,,,,
FY2019,378.5,-51.3,,,,,,235.3,62.2,0.505,193.9,,193.9,1959.9,2453.6,493.7,305.0,113.9,465.777,,,,,,,millions,AUD,33.7,527.4,30.4,47.4,220.7,30.4
H1 FY2020,356.9,-32.1,,,,,,313.2,87.8,,71.1,,71.1,2190.1,2828.8,638.7,398.9,57.3,,,,,,,,millions,AUD,,,,,,
FY2020,553.8,-66.1,,,,,,345.9,62.5,0.743,402.6,,402.6,2145.7,2759.7,614.0,380.1,238.9,465.777,,,,,,,millions,AUD,35.7,731.6,40.5,69.3,322.8,40.5
H1 FY2021,248.3,-57.8,,,,,,173.2,69.8,,98.0,,98.0,2234.6,2752.1,517.5,322.4,267.0,,,,,,,,millions,AUD,,,,,129.3,
FY2021,668.0,,,,,,,476.8,71.4,1.024,225.6,,225.6,2508.8,3284.7,455.1,549.2,351.9,465.777,,,,,,,millions,AUD,37.9,1011.4,52.3,61.0,284.3,52.3
H1 FY2022,566.1,,,,,,,517.8,91.5,,219.9,,219.9,3289.7,4192.6,902.9,453.9,594.7,,,,,,,,millions,AUD,,,,,263.9,
FY2022,1098.3,,,,,,,911.1,83.0,1.941,603.8,,603.8,3289.7,4192.6,902.9,453.9,594.7,469.397,,,,,,,millions,AUD,40.1,1666.7,79.9,115.6,542.8,65.6
H1 FY2023,473.1,,,,,,,226.5,47.9,,103.5,,103.5,3378.4,4208.8,830.4,442.6,367.3,,,,,,,,millions,AUD,,539.3,,,239.9,
FY2023,869.7,,,,,,,196.1,22.5,0.415,337.3,,337.3,3255.2,4072.6,817.4,450.7,401.4,472.997,,,,,,,millions,AUD,42.5,,87.4,93.3,441.2,71.9
H1 FY2024,311.4,,,,,,,-190.0,-61.0,,,,,,,,,,,,,,,,,millions,AUD,,,,,195.1,
FY2024,597.8,,,,-30.9,-5.2,,-222.1,-37.2,-0.459,428.0,,428.0,2820.6,3643.7,823.1,455.5,382.7,472.997,,,,,,,millions,AUD,45.1,597.8,80.9,75.8,358.7,65.5
H1 FY2025,283.6,,,,160.5,56.6,,61.1,21.5,,211.1,,211.1,2710.6,3544.2,833.6,482.5,286.7,,,,,,,,millions,AUD,,,,,196.4,
FY2025,544.9,,,,443.2,81.3,,327.7,60.1,0.693,450.8,1.2,449.6,2710.6,3544.2,833.6,482.5,286.7,472.997,,,,,,,millions,AUD,47.8,687.8,84.3,81.4,385.0,66.8
H1 FY2026,272.2,,,,311.0,114.3,,272.8,100.2,,237.5,,237.5,2855.5,3554.5,699.0,474.0,224.6,,,,,,,,millions,AUD,,444.4,,,,
FY2026,556.7,,,,529.7,95.1,,427.9,76.9,0.905,88.8,2.7,86.1,2897.0,3905.5,1008.5,712.2,206.3,472.997,,,,,,,millions,AUD,50.7,811.3,94.3,103.2,488.1,76.0
