Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,iPhoneRevenue,ServicesRevenue,MacRevenue,iPadRevenue,WearablesRevenue,EPSBasic,SharesDilutedM,MarketableSecurities,Dividends,Buybacks
Q1 2020,91819,,38659,42.1,25569,27.8,,22236,24.2,1.25,30516,2107,28409,89531,,,108047,39771,17618.765,,,millions,USD,55957,12715,7160,5977,10010,1.26,17819,67869,3539,20706
Q2 2020,58313,,22370,38.4,12183,20.9,,11249,19.3,0.64,13311,1853,11458,83145,,,109550,40174,17419.154,,,millions,USD,28962,13348,5351,4368,6284,0.65,17529,69568,3375,18550
Q3 2020,59685,,23715,39.7,13091,21.9,,11253,18.9,0.65,16271,1565,14706,72282,,,113540,33383,,,,millions,USD,26418,13156,7079,6582,6450,0.66,17250,68423,3700,15998
Q4 2020,64698,,26276,40.6,14775,22.8,,12673,19.6,0.73,20576,1784,18792,65339,,,112436,38016,17113.688,,,millions,USD,26444,14549,9032,6797,7876,0.74,17402,52927,3618,17601
FY2020,274515,,104956,38.2,66288,24.1,,57411,20.9,3.28,80674,7309,73365,65339,,,112436,38016,17528.214,,,millions,USD,137781,53768,28622,23724,30620,3.31,17528,52927,14081,72358
Q1 2021,111439,,46324,41.6,33534,30.1,,28755,25.8,1.68,38763,3500,35263,66224,,,109088,36010,16929.157,,,millions,USD,65597,15761,8675,8435,12971,1.70,17107,42061,3613,24775
Q2 2021,89584,,38079,42.5,27503,30.7,,23630,26.4,1.40,24029,2293,21736,69178,,,121691,38466,16781.735,,,millions,USD,47938,16901,9102,7807,7836,1.41,16876,42375,3424,23984
Q3 2021,81434,,34607,42.5,24126,29.6,,21744,26.7,1.30,21068,2125,18943,67399,,,124599,34050,,,,millions,USD,39570,17486,8235,7368,8775,1.31,16662,43398,3525,17648
Q4 2021,83360,,35543,42.6,23786,28.5,,20551,24.7,1.24,20238,1819,18419,63090,,,124719,34940,16519.291,,,millions,USD,38868,18277,9178,8252,8785,1.25,16635,42531,3732,20399
FY2021,365817,,152836,41.8,108949,29.8,,94680,25.9,5.61,104038,11085,92953,63090,,,124719,34940,16864.919,,,millions,USD,191973,68425,35190,31862,38367,5.67,16864,42531,14467,85971
Q1 2022,123945,,54243,43.8,41488,33.5,,34630,27.9,2.10,46966,2803,44163,71932,,,121582,37119,16403.316,,,millions,USD,71628,19516,10852,7248,14701,2.11,16519,38311,3732,20406
Q2 2022,97278,,42559,43.7,29979,30.8,,25010,25.7,1.52,28167,2873,25294,67399,,,120069,28098,16262.203,,,millions,USD,50570,19821,10435,7646,8806,1.53,16403,40925,3621,22912
Q3 2022,82959,,35257,42.5,23076,27.8,,19442,23.4,1.20,22892,1730,21162,58107,,,119691,27502,,,,millions,USD,40665,19604,7382,7224,8084,1.20,16201,40398,3760,21747
Q4 2022,90146,,38095,42.3,24894,27.6,,20721,23.0,1.29,24127,3289,20838,50672,,,120069,23646,15955.718,,,millions,USD,42626,19188,11508,7174,9650,1.29,16118,40177,3796,25224
FY2022,394328,,170782,43.3,119437,30.3,,99803,25.3,6.11,122151,10708,111443,50672,,,120069,23646,16325.819,,,millions,USD,205489,78129,40177,29292,41241,6.15,16326,24658,14841,89402
Q1 2023,117154,,50332,43.0,36016,30.7,,29998,25.6,1.88,34005,3787,30218,64280,,,118625,20535,,,,millions,USD,65775,20766,7735,9396,13482,1.89,15955,30820,3768,19475
Q2 2023,94836,,41976,44.3,28318,29.9,,24160,25.5,1.52,28560,2915,25645,62158,,,117235,24687,15847.05,,,millions,USD,51334,20907,7168,6670,8757,1.53,15847,30401,3733,19094
Q3 2023,81797,,36413,44.5,22998,28.1,,19881,24.3,1.26,26380,2093,24287,60274,,,109280,28408,15775.021,,,millions,USD,39669,21213,6840,5791,8284,1.27,15775,32569,3776,18149
Q4 2023,89498,,40441,45.2,26969,30.1,,22956,25.7,1.46,21598,2164,19434,62146,,,111088,29965,15576.641,,,millions,USD,43805,22314,7614,6443,9322,1.47,15672,31590,3823,15199
FY2023,383285,,169148,44.1,114301,29.8,,96995,25.3,6.13,110543,10959,99584,62146,,,111088,29965,15812.547,,,millions,USD,200583,85200,29357,28300,39845,6.16,15812,31590,15100,77917
Q1 2024,119575,,54855,45.9,40373,33.8,,33916,28.4,2.18,39895,2392,37503,74100,,,108095,32695,15464.709,,,millions,USD,69702,23117,7780,7023,11953,2.19,15576,32587,3825,20139
Q2 2024,90753,,42271,46.6,27900,30.7,,23636,26.0,1.53,22685,2153,20532,74100,,,104590,32695,15348.175,,,millions,USD,45963,23867,7451,5559,7913,1.54,15464,34025,3724,23545
Q3 2024,85777,,39678,46.3,25352,29.6,,21448,25.0,1.40,28858,2152,26706,66708,,,101304,25565,,,,millions,USD,39296,24213,7009,7162,8097,1.41,15368,38449,3851,26152
Q4 2024,94930,,43879,46.2,29591,31.2,,14736,15.5,0.97,26811,2750,24061,56950,,,106629,29943,15150.865,,,millions,USD,46222,24972,7744,6950,9042,0.97,15344,35228,3849,25141
FY2024,391035,,180683,46.2,123216,31.5,,93736,24.0,6.08,118254,9447,108807,56950,,,106629,29943,15408.095,,,millions,USD,201183,96169,29984,26694,37005,6.11,15408,35228,15234,94949
Q1 2025,124300,,58275,46.9,42832,34.5,,36330,29.2,2.40,39895,2940,36955,66758,,,99320,30299,15056.133,,,millions,USD,69138,26340,8988,8088,11747,2.41,15117,33952,3877,23578
Q2 2025,95359,,44867,47.0,29589,31.0,,24780,26.0,1.65,23994,2825,21169,66758,,,98182,33775,14948.179,,,millions,USD,46841,26645,7949,6402,7521,1.65,14994,35028,3870,23867
Q3 2025,94036,,44017,46.8,28202,30.0,,23434,24.9,1.57,28004,3469,24535,71438,,,97825,33784,,,,millions,USD,44582,27424,8046,6577,7401,1.58,14858,28833,3895,24096
Q4 2025,102466,,48042,46.9,32427,31.6,,27466,26.8,1.84,19589,3481,16108,73733,,,98657,35934,14810.356,,,millions,USD,49081,28749,8763,6968,8954,1.85,14787,18763,3771,17712
FY2025,416161,,195201,46.9,133050,32.0,,112010,26.9,7.46,111482,12715,98767,73733,,,98657,35934,15004.697,,,millions,USD,209642,109158,33746,28035,35664,7.49,15004,18763,15413,90052
Q1 2026,143756,,69231,48.2,50852,35.4,,42097,29.3,2.84,49100,2500,46600,77410,,,103300,30852,14725.873,,,millions,USD,85269,30013,8386,8595,11493,2.85,14810,18510,3850,18000
Q2 2026,111184,,54781,49.3,35885,32.3,,29578,26.6,2.01,42210,2810,39400,79300,,,98182,33775,14714.676,,,millions,USD,56994,30976,8399,6914,7901,2.02,14726,18763,3870,18000
