Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,EquityAwardTaxes,InterestIncome,DandA,DeferredRevenue,CashTaxesPaid,ShareRepurchases,ActiveCustomers_k,CrossBorderVolume_bn,CustomerHoldings_bn,TakeRate_pct,DividendPerShare,Units,Currency
FY2022,757.7,-255.7,502.0,66.3,66.2,8.7,97.3,44.7,5.9,4.32,4267.7,-16.2,154.1,556.5,10287.6,9731.1,130.2,486.6,1034.0,57.4,0.0,5.3,31.1,7.6,8.8,0.0,4588.0,,,,,millions,USD
Q3 FY2022,202.7,,,,,,,,,,,,,,,,,,,,,,,,,,4348.0,20.6,,0.62,,millions,USD
Q4 FY2022,208.1,,,,,,,,,,,,,,,,,,,,,,,,,,4588.0,21.4,,0.61,,millions,USD
FY2023,1147.4,-387.9,759.5,66.2,187.1,16.3,214.7,135.7,11.8,13.02,4664.7,-10.5,253.8,686.5,14166.0,13479.5,314.6,798.6,1042.4,69.3,0.0,166.8,27.6,9.5,22.3,12.0,6125.0,,,,,millions,USD
Q1 FY2023,222.6,,,,,,,,,,,,,,,,,,,,,,,,,,4997.0,24.4,,0.61,,millions,USD
Q2 FY2023,272.5,,,,,,,,,,,,,,,,,,,,,,,,,,5484.0,27.0,,0.63,,millions,USD
Q3 FY2023,319.8,,,,,,,,,,,,,,,,,,,,,,,,,,5793.0,26.4,,0.69,,millions,USD
Q4 FY2023,332.6,,,,,,,,,,,,,,,,,,,,,,,,,,6125.0,26.7,,0.67,,millions,USD
FY2024,1776.1,-402.3,1373.8,77.3,650.1,36.6,664.4,501.5,28.2,47.81,4075.1,-16.4,611.9,1465.2,19036.7,17804.4,282.0,1334.4,1048.9,91.1,0.0,610.0,14.3,16.2,93.1,86.2,7911.0,,,,,millions,USD
Q1 FY2024,391.0,,,,,,,,,,,,,,,,,,,,,,,,,,6670.0,28.2,,0.67,,millions,USD
Q2 FY2024,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,7232.0,29.2,,0.67,,millions,USD
Q3 FY2024,471.7,,,,,,,,,,,,,,,,,,,,,,,,,,7512.0,30.6,,0.67,,millions,USD
Q4 FY2024,479.4,,,,,,,,,,,,,,,,,,,,,,,,,,7911.0,30.6,,0.67,,millions,USD
FY2025,2098.9,-430.2,1668.7,79.5,728.2,34.7,737.9,550.3,26.2,52.63,5719.5,-45.3,785.2,1737.4,24781.1,23043.7,128.4,1824.8,1045.7,74.6,0.0,758.3,9.7,16.3,184.4,92.5,9290.0,185.2,27.8,,,millions,USD
Q1 FY2025,502.7,,,,,,,,,,,,,,,,,,,,,,,,,,8374.0,41.9,22.1,0.64,,millions,USD
Q2 FY2025,532.6,,,,,,,,,,,,,,,,,,,,,,,,,,8892.0,45.7,24.7,0.59,,millions,USD
Q3 FY2025,539.6,,,,,,,,,,,,,,,,,,,,,,,,,,9047.0,48.4,25.7,0.56,,millions,USD
Q4 FY2025,524.0,,,,,,,,,,,,,,,,,,,,,,,,,,9290.0,49.2,27.8,0.53,,millions,USD
FY2026,2502.8,-527.5,1975.3,78.9,590.7,23.6,605.1,498.7,19.9,48.43,7553.9,-21.4,637.5,1925.2,33259.8,31334.6,328.7,1873.7,1029.7,95.5,0.0,806.1,14.4,44.4,162.5,473.4,11290.0,243.6,39.0,,,millions,USD
Q1 FY2026,573.3,,,,,,,,,,,,,,,,,,,,,,,,,,9797.0,55.0,31.5,0.52,,millions,USD
Q2 FY2026,610.5,,,,,,,,,,,,,,,,,,,,,,,,,,10440.0,59.0,33.9,0.52,,millions,USD
Q3 FY2026,651.2,,,,,,,,,,,,,,,,,,,,,,,,,,10896.0,63.1,37.0,0.52,,millions,USD
Q4 FY2026,667.8,,,,,,,,,,,,,,,,,,,,,,,,,,11290.0,66.5,39.0,0.51,,millions,USD
Q1 FY2027,714.0,,,,,,,,,,,,,,,,,,,,,,,,,,11863.0,69.3,41.2,0.50,,millions,USD
