Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AISC,GoldProducedOz,GoldSoldOz,RealisedGoldPrice
H1 FY2016,0.12539,,,,,,,-2.74719,-2190.9,-0.0166,-0.459159,,,6.40373,7.26548,0.861751,,0.650552,,,,,,,,millions,AUD,,,,
FY2016,0.248099,,,,,,,-3.70087,-1491.7,-0.013600000000000001,-1.52085,,,23.2105,25.4804,2.26983,,11.7559,271.652,,,,,,,millions,AUD,,,,
H1 FY2017,0.128254,,,,,,,-1.00002,-779.7,-0.0021,-0.94143,,,22.6631,23.5238,0.860678,,1.7329,,,,,,,,millions,AUD,,,,
FY2017,0.189214,,,,,,,-3.29324,-1740.5,-0.006500000000000001,-1.7639,,,30.1075,31.9238,1.81622,,5.54166,508.216,0.545221,,,,,,millions,AUD,,,,
H1 FY2018,0.108729,,,,,,,-1.36443,-1254.9,-0.0023,-1.25847,,,37.6989,38.9932,1.29426,,10.3486,,,,,,,,millions,AUD,,,,
FY2018,0.186222,,,,,,,-3.118429,-1674.6,-0.004699999999999999,-2.67065,,,35.9838,37.3884,1.40461,,5.58644,669.248,,,,,,,millions,AUD,,,,
H1 FY2019,0.074252,,,,,,,-1.83132,-2466.4,-0.0024,-1.63509,,,34.2068,34.9218,0.714986,,1.209,,,,,,,,millions,AUD,,,,
FY2019,0.159794,,,,,,,-23.817278,-14905.0,-0.0304,-3.47157,,,23.8173,26.284,2.46662,,9.03977,783.866,0.081177,,,,,,millions,AUD,,,,
H1 FY2020,0.070387,,,,,,,-8.873625,-12606.9,-0.0075,-2.07587,,,102.976,105.157,2.18024,,77.3777,,,,,,,,millions,AUD,,,,
FY2020,0.122,,,,,,,-17.947,-14710.7,-0.059500000000000004,-4.28194,,,101.476,118.734,17.2579,,45.6948,301.853,8.23732,,,,,,millions,AUD,,,,
H1 FY2021,0.04834,,,,,,,-3.965438,-8203.2,-0.0116,-3.08633,,,130.135,158.61,28.4745,32,18.8989,,1.63804,,,,,,millions,AUD,,,,
FY2021,0.11,0,0.11,100.0,,,,-4.765,-4331.8,-0.0139,-18.897,117.507,-136.404,130.46,299.595,169.135,121.055,10.312,343.354,3.277,,,,,,millions,AUD,,,,
H1 FY2022,125.744,64.62,61.124,48.6,,,72.316,51.803,41.2,0.1414,64.06,24.406,39.654,205.04,387.443,182.403,122.791,27.426,,1.696,,,,,,millions,AUD,,54645.0,52756.0,2383.0
FY2022,287.043,149.48,137.563,47.9,,,153.934,89.483,31.2,0.2427,134.657,32.325,102.332,247.535,448.512,200.977,110.821,61.502,368.757,4.893,,,,,,millions,AUD,1112.0,118432.0,116122.0,2471.0
H1 FY2023,145.467,77.082,68.385,47.0,,,74.841,40.158,27.6,0.1076,65.264,7.937,57.327,290.268,491.03,200.762,96.143,77.803,,2.663,,,,,,millions,AUD,1105.0,60315.0,56218.0,2587.0
FY2023,320.84,171.57,149.27,46.5,,,161.925,4.399,1.4,0.0118,152.56,47.103,105.457,256.537,536.485,279.948,91.81,106.471,373.757,4.712,,,,,,millions,AUD,1208.0,120014.0,119000.0,2665.0
H1 FY2024,181.62,89.831,91.789,50.5,,,96.81,54.359,29.9,0.1445,80.307,25.068,55.239,307.563,618.728,311.165,87.808,157,,2.676,,,,,,millions,AUD,1324.0,60099.0,60341.0,3010.0
FY2024,359.834,202.82,157.014,43.6,,,168.33,87.138,24.2,0.23129999999999998,158.184,65.64,92.544,309.265,623.559,314.294,84.11,119.917,376.765,4.966,,,,,,millions,AUD,1421.0,113007.0,112853.0,3185.0
H1 FY2025,201.365,113.095,88.27,43.8,,,95.064,43.106,21.4,0.11130000000000001,84.755,28.108,56.647,534.76,903.257,368.497,80.065,355.473,,3.612,,,,,,millions,AUD,1564.0,54261.0,54062.0,3943.0
FY2025,505.892,234.237,271.655,53.7,,,273.374,150.277,29.7,0.37079999999999996,259.314,97.449,161.865,781.209,1039.687,258.478,31.803,355.748,405.236,6.646,,,,,,millions,AUD,1468.0,117076.0,118223.0,4463.0
FY2026,711.361,288.6,422.761,59.4,,,425.658,282.194,39.7,0.6327,470.171,300.668,169.503,1432.119,1843.926,411.807,20.295,504.811,445.986,8.069,,,,,,millions,AUD,1629.0,123589.0,123096.0,6241.0
