Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2018,4.575,2.849,1.726,37.7,0.607,13.3,0.621,0.334,7.3,,0.407,0.004,0.403,-1.242,0.662,1.904,0.047,0.027,,0.044,,millions,NZD
FY2019,5.672,3.121,2.551,45.0,1.342,23.7,1.408,1.016,17.9,,1.054,0.007,1.047,-0.03,2.175,2.205,0.779,0.408,,0.185,0.03,millions,NZD
FY2020,5.26,2.336,2.925,55.6,1.517,28.8,1.574,1.323,25.2,,1.341,0.005,1.336,0.861,2.411,1.55,0.673,0.886,,0.0,0.0666,millions,NZD
FY2021,5.49,2.169,3.321,60.5,1.596,29.1,1.71,1.041,19.0,0.11,1.55,0.0,1.55,1.976,3.57,1.594,0.233,1.829,9.427,0.0,0.1828,millions,NZD
FY2022,5.9,2.205,3.695,62.6,1.584,26.8,1.726,1.173,19.9,0.118,1.04,0.003,1.037,2.696,4.86,2.164,1.088,1.124,9.906,0.013,0.0857,millions,NZD
FY2023,11.217,5.174,6.043,53.9,1.014,9.0,1.558,0.412,3.7,0.0439,0.788,0.054,0.734,2.544,10.044,7.5,5.379,1.355,9.993,0.008,0.0503,millions,NZD
FY2024,15.151,7.535,7.616,50.3,2.281,15.1,2.996,1.383,9.1,0.1399,2.677,0.149,2.528,2.913,9.718,6.805,4.047,1.695,10.004,0.012,0.1007,millions,NZD
FY2025,19.081,9.181,9.9,51.9,3.837,20.1,4.678,2.478,13.0,0.2274,3.701,0.152,3.549,3.967,10.96,6.993,3.574,2.594,10.285,0.013,0.1471,millions,NZD
H1 2026,10.653,5.258,5.395,50.6,2.283,21.4,2.759,1.52,14.3,0.1422,1.521,0.141,1.38,4.815,12.649,7.834,3.58,1.579,9.955,-0.031,,millions,NZD
FY2026,22.488,11.4,11.088,49.3,4.68,20.8,5.747,3.091,13.7,0.2838,4.026,0.196,3.83,5.507,13.211,7.704,3.347,2.901,9.954,-0.037,0.16,millions,NZD
