Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CapexInvestmentProperty,CapexPPE,CashTaxRate,FranchiseRevenue,LeasePrincipalPaid,OtherIncomeItems,SalesRevenue
H1 FY2015,1340.266,593.194,246.133,29.3,218.207,16.3,256.2,141.984,10.6,0.1317,136.214,41.426,94.788,2541.822,4360.966,1819.144,616.958,48.403,1078.0,2.232,,,,,,millions,AUD,8.666,32.76,26.3,500.939,,64.223,839.327
FY2015,2580.961,1126.894,490.257,30.3,410.972,15.9,488.418,268.095,10.4,0.2448,340.448,70.84,269.608,2556.86,4326.661,1769.801,698.438,185.84,1095.1,4.246,0.34,,,,,millions,AUD,15.828,55.012,23.6,963.81,,153.019,1617.151
H1 FY2016,1451.147,629.569,282.415,31.0,276.651,19.1,315.884,185.507,12.8,0.1667,141.771,70.707,71.064,2646.973,4581.458,1934.485,630.656,35.815,1112.5,1.721,,,,,,millions,AUD,31.877,38.83,25.8,539.163,,87.264,911.984
FY2016,2825.978,1231.933,563.826,31.4,522.469,18.5,601.016,348.605,12.3,0.3133,437.691,132.493,305.198,2688.674,4431.8,1743.126,654.077,139.874,1112.7,3.628,0.3,,,,,millions,AUD,64.338,68.155,23.4,1030.219,,200.265,1795.759
H1 FY2017,1526.243,664.232,312.044,32.0,375.835,24.6,414.433,257.292,16.9,0.231,279.504,123.1,156.404,2767.135,4806.499,2039.364,609.718,54.513,1114.0,2.017,,,,,,millions,AUD,80.739,42.361,24.8,549.967,,149.743,976.276
FY2017,2876.199,1235.602,597.521,32.6,659.878,22.9,737.747,448.976,15.6,0.403,425.14,204.118,221.022,2812.907,4189.744,1376.837,720.509,80.224,1114.0,4.992,0.26,,,,,millions,AUD,114.752,89.366,23.8,1043.076,,262.268,1833.123
H1 FY2018,1546.97,697.28,324.959,31.8,306.15,19.8,347.92,207.693,13.4,0.1863,262.607,158.455,104.152,2883.092,4509.565,1626.473,852.397,150.619,1114.6,2.112,,,,,,millions,AUD,107.493,50.962,31.4,524.731,,93.969,1022.239
FY2018,2959.232,1326.339,667.421,33.5,556.516,18.8,641.307,375.378,12.7,0.3367,454.17,219.556,234.614,2937.932,4577.642,1639.71,925.394,170.544,1114.7,4.173,0.3,,,,,millions,AUD,125.661,93.895,31.3,965.472,,200.253,1993.76
H1 FY2019,1695.012,799.161,376.088,32.0,330.612,19.5,375.017,222.773,13.1,0.1953,145.36,61.717,83.643,3151.459,4834.433,1682.974,832.616,123.298,1140.8,1.304,,,,,,millions,AUD,13.175,48.542,21.0,519.763,,113.999,1175.249
FY2019,3177.766,1510.733,723.385,32.4,603.341,19.0,688.6,402.317,12.7,0.3391,372.845,122.1,250.745,3197.793,4798.744,1600.951,841.521,215.048,1160.6,3.175,0.33,,,,,millions,AUD,27.878,94.222,23.5,943.648,,242.419,2234.118
