Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CET1Ratio,NIM,NetInterestIncome,NonInterestIncome,ROE,CashProfit,CreditImpairmentCharge,CustomerDeposits,NetLoansAndAdvances,OperatingExpenses
H1 FY2016,10265.0,,,,3882.0,37.8,,2738.0,26.7,0.948,11435.0,,,56500.0,895300.0,838800.0,,68711.0,2917.6,,0.8,,,,,millions,AUD,,,7568.0,1539.0,,,,,,5479.0
FY2016,20529.0,,,,8178.0,39.8,,5709.0,27.8,1.974,10841.0,,,57927.0,914869.0,856942.0,91080.0,66220.0,2891.7,,1.6,,,,,millions,AUD,,2.07,15095.0,,,5889.0,1929.0,588195.0,575852.0,10422.0
H1 FY2017,9996.0,,,,4546.0,45.5,,2911.0,29.1,1.002,15160.0,,,57908.0,896511.0,838603.0,109075.0,75185.0,2906.6,,0.8,,,,,millions,AUD,,,7416.0,1711.0,,,,,,4731.0
FY2017,20273.0,,,,9627.0,47.5,,6406.0,31.6,2.201,23972.0,,,59075.0,897326.0,838251.0,107973.0,68048.0,2910.0,,1.6,,,,,millions,AUD,,1.99,14872.0,3601.0,,,1198.0,595611.0,574331.0,9448.0
H1 FY2018,10175.0,,,,5356.0,52.6,,3323.0,32.7,1.1420000000000001,8151.0,,,59500.0,935116.0,875616.0,114836.0,82071.0,2909.8,,0.8,,,,,millions,AUD,,,,2430.0,,,,,,4411.0
FY2018,19831.0,,,,9895.0,49.9,,6400.0,32.3,2.2159999999999997,2989.0,,,59383.0,942624.0,883241.0,121179.0,84636.0,2888.3,,1.6,,,,,millions,AUD,11.4,1.87,14514.0,4558.0,,,688.0,618150.0,603938.0,9248.0
H1 FY2019,9293.0,,,,4536.0,48.8,,3173.0,34.1,1.117,7583.0,,,59971.0,980244.0,920273.0,129692.0,93996.0,2840.6,,0.8,,,,,millions,AUD,,,7299.0,1786.0,,,,,,4365.0
FY2019,18785.0,,,,8920.0,47.5,,5953.0,31.7,2.1,-4550.0,,,60794.0,981137.0,920343.0,129691.0,81621.0,2834.9,,1.6,,,,,millions,AUD,11.4,1.76,14339.0,4058.0,,,794.0,637677.0,615258.0,9071.0
H1 FY2020,8893.0,,,,2614.0,29.4,,1545.0,17.4,0.546,54647.0,,,61375.0,1149955.0,1088580.0,140248.0,143093.0,2829.7,,0.0,,,,,millions,AUD,,,7222.0,1489.0,,,,,,4605.0
FY2020,17637.0,,,,5516.0,31.3,,3577.0,20.3,1.264,52284.0,,,61297.0,1042286.0,980989.0,119668.0,107923.0,2831.0,,0.6,,,,,millions,AUD,11.3,1.63,14049.0,3355.0,,,2738.0,682333.0,617093.0,9383.0
H1 FY2021,8367.0,,,,4376.0,52.3,,2943.0,35.2,1.037,29821.0,,,62576.0,1018339.0,955763.0,107623.0,124460.0,2838.0,,0.7,,,,,millions,AUD,,,6986.0,1571.0,,,,,,4482.0
FY2021,17420.0,,,,8936.0,51.3,,6162.0,35.4,2.171,43822.0,,,63676.0,978857.0,915181.0,101054.0,151260.0,2838.6,,1.42,,,,,millions,AUD,12.3,1.64,14161.0,3325.0,,6198.0,-567.0,743056.0,629719.0,9051.0
H1 FY2022,9542.0,,,,5035.0,52.8,,3530.0,37.0,1.2570000000000001,32641.0,,,61756.0,1017361.0,955605.0,87226.0,168054.0,2862.5,,0.72,,,,,millions,AUD,,,7100.0,2313.0,,,,,,4791.0
FY2022,19426.0,,,,10079.0,51.9,,7119.0,36.6,2.5,20176.0,,,66401.0,1085729.0,1019328.0,93734.0,168132.0,2847.5,,1.46,,,,,millions,AUD,12.3,1.63,14874.0,4235.0,,6515.0,-232.0,797281.0,672407.0,9579.0
H1 FY2023,10139.0,,,,5009.0,49.4,,3547.0,35.0,1.185,39457.0,,,69609.0,1111200.0,1041591.0,106157.0,208800.0,2994.1,,0.81,,,,,millions,AUD,,,8503.0,1495.0,,,,,,4997.0
FY2023,20459.0,,,,10075.0,49.2,,7098.0,34.7,2.3680000000000003,6488.0,,,70046.0,1105620.0,1035574.0,116014.0,168154.0,2997.2,,1.75,,,,,millions,AUD,13.3,1.7,16581.0,3568.0,11.2,7480.0,245.0,814711.0,707044.0,10139.0
H1 FY2024,10145.0,,,,4860.0,47.9,,3407.0,33.6,1.135,-15597.0,,,71074.0,1089699.0,1018625.0,127109.0,137699.0,3001.8,,0.83,,,,,millions,AUD,,,7899.0,2114.0,,,,,,5215.0
FY2024,20521.0,,,,9446.0,46.0,,6595.0,32.1,2.1790000000000003,11046.0,,,68760.0,1229585.0,1160825.0,156388.0,150965.0,2998.4,,1.66,,,,,millions,AUD,12.2,1.57,16037.0,4228.0,9.9,6785.0,406.0,905166.0,804032.0,10669.0
H1 FY2025,11179.0,,,,5210.0,46.6,,3642.0,32.6,1.225,47692.0,,,72331.0,1302609.0,1230278.0,169555.0,195791.0,2971.9,,0.83,,,,,millions,AUD,,,8869.0,2310.0,,,,,,5824.0
FY2025,22186.0,,,,8722.0,39.3,,5891.0,26.6,1.982,26110.0,,,71867.0,1297108.0,1225241.0,169274.0,155211.0,2972.6,,1.66,,,,,millions,AUD,12.0,1.55,17961.0,4225.0,8.8,5787.0,441.0,955064.0,829456.0,13023.0
H1 FY2026,11079.0,,,,5210.0,47.0,,3650.0,32.9,1.218,24484.0,,,71756.0,1313805.0,1242049.0,160480.0,165539.0,2997.7,,,,,,,millions,AUD,,,8888.0,2191.0,,,,,,5595.0
