Period,Revenue,SubscriptionRevenue,MaintenanceRevenue,OtherRevenue,CloudRevenue,DataCenterRevenue,ServerRevenue,MarketplaceAndServices,CostOfRevenue,GrossProfit,GrossMargin,RnDExpense,SalesAndMarketing,GnAExpense,OperatingIncome,OperatingMargin,NetIncome,EPSDiluted,OperatingCashFlow,CapEx,FreeCashFlow,CashAndInvestments,TotalDebt,ShareholdersEquity,SharesOutstanding,Notes
Q1 FY2022,614.0,435.3,130.6,48.1,317.9,111.2,139.5,45.4,96.3,517.8,84.3,272.1,99.3,89.8,56.5,9.2,-411.2,-1.63,,,,,,,,255.2,US GAAP restated; from Q1 FY23 PR comparison. Net loss large due to derivative/note settlement. Balance sheet and cash flows not captured for this quarter.
Q2 FY2022,688.5,509.0,127.1,52.5,,,,,,,,,,,,,,,,,,,,,,255.9,US GAAP; from Q2 FY23 PR comparison. Income statement detail and deployment breakdown not captured.
Q3 FY2022,740.5,,,,,,,,,,,,,,,,,,,,,,,,234.6,Revenue from Q4 FY23 shareholder letter. Most data not captured. Customer count 234575.
Q4 FY2022,759.8,597.3,117.1,45.4,,,,,130.4,629.4,82.9,367.0,173.1,131.7,-42.3,-5.6,-90.6,-0.36,,,,1458.6,999.4,327.4,253.3,US GAAP from Q4 FY23 PR comparison. Balance sheet at Jun 30 2022. Customer count 242623.
Q1 FY2023,807.4,651.0,113.6,42.8,475.0,171.2,113.8,47.3,139.4,668.0,82.7,399.0,160.1,142.9,-34.0,-4.2,-13.7,-0.05,92.4,16.5,75.9,1523.1,999.5,480.6,255.2,Customer count 249173.
Q2 FY2023,872.7,711.2,106.0,55.5,512.3,194.3,106.2,60.0,155.9,716.8,82.1,473.7,186.2,156.1,-99.2,-11.4,-205.0,-0.80,150.5,4.0,146.5,1672.7,999.5,577.5,255.9,Customer count 253177.
Q3 FY2023,915.5,760.7,94.2,60.5,534.9,221.6,94.4,64.6,168.7,746.8,81.6,522.3,220.9,165.1,-161.6,-17.6,-209.0,-0.81,352.4,2.7,349.7,1982.2,999.6,582.3,256.8,Op loss includes $97.8M restructuring charges. Cash $1972.2M + Investments $10M. Customer count 259775.
Q4 FY2023,939.1,799.7,85.9,53.5,563.2,232.2,86.1,57.5,169.8,769.3,81.9,474.9,202.6,142.2,-50.4,-5.4,-59.0,-0.23,272.8,2.4,270.4,2112.6,999.6,654.7,257.4,Customer count 262337.
Q1 FY2024,977.8,852.0,78.6,47.2,604.6,242.9,78.8,51.4,178.0,799.7,81.8,481.7,193.6,143.3,-18.9,-1.9,-31.9,-0.12,167.0,3.7,163.3,2237.8,999.6,774.6,257.9,Cash $2143.5M + Investments $94.3M.
Q2 FY2024,1060.1,932.2,69.1,58.8,653.2,274.8,69.2,63.0,194.5,865.6,81.7,536.8,220.5,157.3,-49.1,-4.6,-84.5,-0.33,289.6,5.3,284.3,1611.3,987.2,904.9,258.6,Cash $1460.5M + Investments $150.8M. Debt: $50M current + $937.2M LT.
