Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,UnderlyingNPAT,TotalAUM
FY2019,23720.0,,,,,,,-2467.0,-10.4,-0.795,-9109.0,55.0,-9164.0,4978.0,147684.0,142706.0,22852.0,4539.0,3105.0,15.0,,,,,,millions,AUD,,
FY2020,3427.0,,1730.0,50.5,371.0,10.8,,177.0,5.2,0.052,-5410.0,,,4282.0,32164.0,27882.0,24916.0,2428.0,3428.0,24.0,,,,,,millions,AUD,295.0,
FY2021,3297.0,,1734.0,52.6,444.0,13.5,,-252.0,-7.6,-0.076,1689.0,,,3983.0,32339.0,28356.0,26117.0,2916.0,3335.0,27.0,,,,,,millions,AUD,356.0,
FY2022,2369.0,,1019.0,43.0,228.0,9.6,,387.0,16.3,0.12,2566.0,,,4171.0,34938.0,30767.0,28962.0,1816.0,3213.0,32.0,,,,,,millions,AUD,184.0,
FY2023,2976.0,,988.0,33.2,244.0,8.2,,265.0,8.9,0.093,-105.0,32.0,-137.0,3874.0,33876.0,30002.0,28382.0,1440.0,2860.0,9.0,,,,,,millions,AUD,210.0,
H1 FY2024,1426.0,,,,,,,103.0,7.2,0.039,867.0,13.0,854.0,3652.0,33161.0,29509.0,28216.0,1310.0,,4.0,,,,,,millions,AUD,116.0,
FY2024,2869.0,,958.0,33.4,310.0,10.8,,150.0,5.2,0.057,216.0,47.0,169.0,3652.0,33161.0,29509.0,28216.0,1379.0,2625.0,5.0,,,,,,millions,AUD,236.0,148.4
H1 FY2025,1376.0,,481.0,35.0,178.0,12.9,,98.0,7.1,0.039,-192.0,45.0,-237.0,3735.0,33347.0,29612.0,28353.0,1196.0,,10.0,,,,,,millions,AUD,131.0,153.9
FY2025,2811.0,,980.0,34.9,377.0,13.4,,133.0,4.7,0.053,-1375.0,74.0,-1449.0,3744.0,34212.0,30468.0,29183.0,1247.0,2530.0,11.0,,,,,,millions,AUD,285.0,161.7
H1 FY2026,1425.0,,499.0,35.0,199.0,14.0,,154.0,10.8,0.061,-1181.0,11.0,-1192.0,3696.0,33698.0,30002.0,28755.0,1754.0,,21.0,,,,,,millions,AUD,174.0,167.6
