Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,PaymentNetworkRevenue,ValueAddedServicesRevenue,OperatingExpenses,ShareBuybacks,Dividends
FY2014,9188,,,,5418,59.0,,3617,,3.35,5713,280,5433,5237,20119,,13553,,1080,,,,,,,3770,500,363
FY2015,9667,,,,5633,58.3,,3808,,3.69,6117,312,5805,5657,21625,,14531,,1032,,,,,,,4034,1211,454
FY2016,10776,,,,5761,53.5,,4059,,4.02,6421,315,6106,5927,23836,,14788,,1009,,,,,,,5015,2194,531
FY2017,12497,,,,6648,53.2,,4527,,4.87,7145,282,6863,5426,26805,,17574,,929,,,,,,,5849,2652,644
Q1 2018,3580,,,,1825,51.0,,1492,,1.42,,,,,,,,,1050,,,,,,,1755,,
Q2 2018,3768,,,,1861,49.4,,1571,,1.49,,,,,,,,,1055,,,,,,,1907,,
Q3 2018,3819,,,,1789,46.8,,1513,,1.44,,,,,,,,,1050,,,,,,,2030,,
FY2018,14950,,,,7282,48.7,,5859,,5.60,6223,504,5719,5418,28917,,991,8337,1047,,,,,,,7668,4991,1120
Q1 2019,3889,,,,2213,56.9,,1816,,1.78,,,,,,,,,1022,,,,,,,1676,,
Q2 2019,4135,,,,2338,56.5,,1852,,1.81,,,,,,,,,1023,,,,,,,1797,,
Q3 2019,4467,,,,2655,59.4,,2109,,2.06,,,,,,,,,1022,,,,,,,1812,,
FY2019,16883,,,,9664,57.2,,8118,,7.94,8183,728,7455,5893,29236,,8527,6988,1022,,,,,,,7219,6497,1408
Q1 2020,4009,,,,2211,55.2,,1708,,1.68,,,,,,,,,1015,,,,,,,1798,,
Q2 2020,3335,,,,1707,51.2,,1296,,1.28,,,,,,,,,1014,,,,,,,1628,,
Q3 2020,3837,,,,2105,54.9,,1614,,1.60,,,,,,,,,1008,,,,,,,1732,,
FY2020,15301,,,,8081,52.8,,6411,,6.37,7224,708,6516,6391,33584,,12672,10113,1006,,,,,,,7220,4473,1605
Q1 2021,4155,,,,2057,49.5,,1556,,1.58,,,,,,,,,987,,,,,,,2098,,
Q2 2021,4528,,,,2341,51.7,,1819,,1.84,,,,,,,,,989,,,,,,,2187,,
Q3 2021,4985,,,,2717,54.5,,2172,,2.19,,,,,,,,,991,,,,,,,2268,,
FY2021,18884,,,,10082,53.4,,8687,,8.76,9463,814,8649,7312,37669,,13901,7421,992,,,,,,,8802,5934,1781
Q1 2022,5168,,,,2870,55.5,,2211,,2.27,,,,,,,,,973,,,,,,,2298,,
Q2 2022,5497,,,,3118,56.7,,2373,,2.44,,,,,,,,,972,,,,,,,2379,,
Q3 2022,5756,,,,3293,57.2,,2548,,2.62,,,,,,,,,971,,,,,,,2463,,
FY2022,22237,,,,12264,55.2,,9930,,10.22,11195,1097,10098,6298,38724,,14023,7008,971,,,,,14358,7879,9973,8773,1968
Q1 2023,5748,,,,3136,54.6,,2281,,2.41,,,,,,,,,949,,,,,,,2612,,
Q2 2023,6269,,,,3656,58.3,,2927,,3.10,,,,,,,,,945,,,,,,,2613,,
Q3 2023,6533,,,,3844,58.8,,3198,,3.39,,,,,,,,,943,,,,,,,2689,,
FY2023,25098,,,,14008,55.8,,11195,,11.83,11980,1088,10892,6929,42448,,15681,8588,946,,,,,15824,9274,11090,9032,2158
Q1 2024,6348,,,,3604,56.8,,3002,,3.23,,,,,,,,,930,,,,,,,2744,,
Q2 2024,6961,,,,4036,58.0,,3267,,3.52,,,,,,,,,929,,,,,,,2925,,
Q3 2024,7369,,,,4004,54.3,,3263,,3.53,,,,7440,47237,,18358,11063,925,,,,,,,3365,,
FY2024,28167,,,,15582,55.3,,12874,,13.89,14780,1194,13586,6485,48081,,18226,8442,927,,,,,17335,10832,12585,11035,2448
Q1 2025,7250,,,,4149,57.2,,3335,,3.58,,,,,,,,,931,,,,,,,3101,,
Q2 2025,8133,,,,4777,58.7,,3922,,4.22,,,,,,,,,929,,,,,,,3356,,
Q3 2025,8602,,,,5061,58.8,,4093,,4.41,,,,,,,,,928,,,,,,,3541,,
FY2025,32791,,,,18897,57.6,,14968,,16.52,17648,1215,16433,7737,54157,,19000,10566,906,,,,,19476,13315,13894,11727,2756
Q1 2026,8398,,,,4907,58.4,,3882,,4.35,2999,335,2664,6719,52449,,18960,7906,893,,,,,,,3491,4035,777
