Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CapitalisedDevelopmentCosts,EBITDAFI,ExpensePlatformRevenue,NetTangibleAssetsPerShare,OtherRevenue,ServicesRevenue,ShortTermDeposits,SupplierCommissionsRevenue,TotalCashAndDeposits,TotalIncome,TravelPlatformBookingRevenue
FY2017,14.277,,,,-3.394,-23.8,-3.394,-3.45,-24.2,-0.05,-1.595,-1.038,-2.633,6.276,10.219,3.943,0.653,4.451,74.894,0.133,,,,,,millions,NZD,0.791,,,,,,,,4.451,15.369,
FY2018,18.279,,,,1.589,8.7,1.589,1.832,10.0,0.03,1.416,-0.519,0.897,8.344,11.973,3.629,0.555,5.232,74.894,0.288,,,,,,millions,NZD,0.327,,1.539,,0.334,1.835,,1.288,5.232,19.273,13.283
FY2019,23.361,,,,1.256,5.4,1.256,1.633,7.0,0.02,3.647,-7.279,-3.632,26.235,33.412,7.177,0.203,15.732,80.923,0.576,,,,,,millions,NZD,6.813,,2.71,,0.467,2.698,,1.538,15.732,24.576,15.948
FY2020,25.869,,,,-10.301,-39.8,-7.145,-9.364,-36.2,-0.1,-3.789,-11.812000000000001,-15.601,63.784,73.352,9.568,0.15,42.391,92.739,0.959,,,,,,millions,NZD,11.018,,5.831,,0.485,1.819,,1.427,42.391,26.791,16.307
FY2021,12.42,,,,-27.958,-225.1,-22.325,-29.389,-236.6,-0.3,-18.042,-7.79,-25.832,102.528,111.309,8.781,0.09,34.919,107.822,3.184,,,,,,millions,NZD,7.231,,3.997,,0.386,1.145,45.0,0.538,79.919,16.896,6.354
FY2022,17.855,,,,-36.183,-202.6,-28.145,-35.959,-201.4,-0.33,-18.456,-16.094,-34.55,150.881,167.191,16.31,0.028,34.513,119.921,4.095,,,,,,millions,NZD,15.32,,4.039,,0.32,1.007,90.0,3.447,124.513,18.874,9.042
FY2023,46.492,,,,-34.794,-74.8,-21.753999999999998,-30.54,-65.7,-0.26,-22.326,-14.014,-36.34,125.93,140.916,14.986,0.0,15.244,120.443,6.008,,,,,,millions,NZD,13.551,,4.96,76.26,0.331,1.555,72.5,23.363,87.744,48.025,16.283
FY2024,68.761,,,,-18.55,-27.0,-1.5770000000000017,-15.879,-23.1,-0.13,5.895,-11.424999999999999,-5.53,115.726,130.14,14.414,0.0,14.139,121.846,5.048,,,,,,millions,NZD,11.193,,5.291,68.75,0.325,1.0,66.5,42.93,80.639,71.185,19.215
H1 FY2025,41.46,,,,-7.659,-18.5,1.2350000000000003,-5.111,-12.3,-0.04,4.685,-2.774,1.911,112.524,126.672,14.148,0.0,21.955,121.846,2.635,,,,,,millions,NZD,,1.2,,,,,60.0,,81.955,42.723,
FY2025,88.482,,,,-17.157,-19.4,2.75,-21.962,-24.8,-0.18,4.822,-6.218,-1.396,99.938,126.34,26.402,0.0,16.404,123.126,5.429,,,,,,millions,NZD,4.982,,5.336,57.03,0.329,1.204,45.0,54.333,61.404,90.461,27.28
H1 FY2026,61.112,,,,-3.322,-5.4,6.095999999999999,-9.516,-15.6,-0.08,8.554,-4.341,4.213,92.235,123.436,31.201,0.0,20.023,124.882,3.696,,,,,,millions,NZD,,6.1,,,,,45.0,,65.023,61.766,
FY2026,119.391,,,,-11.482,-9.6,6.531000000000002,-17.737,-14.9,-0.14,7.03,-9.92,-2.89,88.663,115.979,27.316,0.0,14.146,124.882,7.246,,,,,,millions,NZD,8.596,,4.237,53.92,0.339,2.375,40.0,73.387,54.146,120.879,39.053
