Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,DiscontinuedOpsProfit,NetIncomeContinuing
H1 FY2016,1135.6,,,,159.0,14.0,248.5,81.9,7.2,0.098,226.8,73.2,153.6,,,,,,,,,,,,,millions,AUD,,
FY2016,2188.7,,,,301.0,13.8,479.6,169.7,7.8,0.203,401.1,183.1,218.0,1688.1,3302.8,1614.7,1080.4,126.0,831.1,4.7,,,,,,millions,AUD,,
H1 FY2017,1160.8,,,,134.9,11.6,223.1,58.9,5.1,0.07,142.9,78.3,64.6,1663.3,3746.5,2083.2,1538.4,109.0,,,,,,,,millions,AUD,,
FY2017,2234.1,,,,101.6,4.5,312.4,-20.8,-0.9,-0.025,222.5,197.4,25.1,1483.4,3740.9,2257.5,1658.3,114.3,834.7,4.4,,,,,,millions,AUD,,
H1 FY2018,1376.2,,,,134.1,9.7,233.9,24.6,1.8,0.026,238.7,105.9,132.8,7475.3,13355.5,5880.2,3929.8,484.8,,,,,,,,millions,AUD,,
FY2018,3828.7,,,,241.4,6.3,529.4,28.7,0.7,0.019,447.5,291.7,155.8,7238.6,12940.8,5702.2,3504.7,368.2,1480.0,3.9,,,,,,millions,AUD,,
H1 FY2019,2787.4,,,,378.4,13.6,528.0,182.5,6.5,0.09,237.0,110.8,126.2,7254.0,13170.8,5916.8,3752.6,413.9,,,,,,,,millions,AUD,,
FY2019,5482.2,,,,724.3,13.2,1028.4,362.5,6.6,0.179,714.8,278.4,436.4,7206.5,13299.1,6092.6,3718.9,463.0,2016.2,4.0,,,,,,millions,AUD,,
H1 FY2020,2913.9,,,,376.6,12.9,563.2,198.8,6.8,0.098,236.6,177.8,58.8,7197.3,13512.3,6315.0,3778.6,341.8,,,,,,,,millions,AUD,,
FY2020,5224.0,,,,-574.0,-11.0,937.0,-870.0,-16.7,-0.429,671.0,290.0,381.0,6030.0,12416.0,6386.0,3720.0,349.0,2026.0,7.0,,,,,,millions,AUD,,
H1 FY2021,2870.0,,,,410.0,14.3,598.0,185.0,6.4,0.086,582.0,101.0,481.0,6728.0,12095.0,5367.0,2430.0,445.0,,,,,,,,millions,AUD,,
FY2021,5686.0,,,,651.0,11.4,1163.0,269.0,4.7,0.123,720.0,183.0,537.0,6696.0,11869.0,5173.0,2476.0,424.0,2183.0,5.0,,,2479.9,,,millions,AUD,430.3,-160.9
H1 FY2022,2934.0,,,,316.0,10.8,512.0,175.0,6.0,0.078,435.0,86.0,349.0,6767.0,12088.0,5321.0,2522.0,560.0,,,,,1150.3,,,millions,AUD,,-24.2
FY2022,2373.3,,,,-75.1,-3.2,216.3,6775.9,285.5,3.046,737.0,202.5,534.5,2711.1,4048.7,1337.6,135.3,199.4,2224.9,24.5,,,2373.3,,,millions,AUD,6894.3,-118.4
H1 FY2023,1274.5,,,,78.2,6.1,201.6,51.7,4.1,0.023,-125.0,117.0,-242.0,2669.5,4202.1,1532.6,550.8,256.4,,,,,1274.5,,,millions,AUD,,
FY2023,2434.4,,,,117.9,4.8,407.4,66.5,2.7,0.029,119.3,196.9,-77.6,2659.1,4052.4,1393.3,431.9,290.7,2267.7,3.8,,,2434.4,,,millions,AUD,,
H1 FY2024,1209.6,,,,-840.1,-69.5,131.7,-636.8,-52.6,-0.282,121.3,73.9,47.4,1995.4,3207.5,1212.1,418.7,313.4,,,,,1209.6,,,millions,AUD,,
FY2024,2338.9,,,,-1582.1,-67.6,169.8,-1359.7,-58.1,-0.596,245.2,160.4,84.8,1246.9,3385.3,2138.4,1032.6,313.7,2282.6,1.6,,,2338.9,,,millions,AUD,,
H1 FY2025,1331.3,,,,85.4,6.4,182.9,25.3,1.9,0.011,172.0,66.3,105.7,1270.0,3307.0,2037.0,931.4,260.3,,,,,1331.3,,,millions,AUD,,
FY2025,2614.6,,,,158.9,6.1,361.7,36.6,1.4,0.016,406.5,117.8,288.7,1254.0,3140.2,1886.2,738.1,236.5,2285.0,6.8,,,2614.6,,,millions,AUD,,
H1 FY2026,1344.9,,,,92.7,6.9,199.9,21.7,1.6,0.009,95.3,71.0,24.3,1267.3,3138.4,1871.1,727.3,218.3,,,,,1344.9,,,millions,AUD,,
FY2026,2636.3,,,,188.0,7.1,401.0,46.3,1.8,0.02,309.3,150.7,158.6,1261.2,3197.7,1936.5,716.3,305.8,2289.5,6.8,,,2636.3,,,millions,AUD,,
