Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,ProductRevenue,ServiceRevenue,AdminExpenses,RDExpenses,DepreciationAmortization,AdjustedEBITDAMargin,TotalCurrentAssets,TotalCurrentLiabilities,WorkingCapital,Employees,Extra1,Extra2
FY2020,12275,6452,5823,47.4,-4451,,-2694,-5212,,,,,,18809,-0.03,14696,,16011,,653,,,,,,7963,1203,1104,,34820,25115,12925,10419,132,
Q1 2021,3601,2171,1430,39.7,-,,,,,,,,,16445,-0.00,12199,,15592,,118,,,,,,2395,,319,,32037,22273,,,,
Q2 2021,1950,1221,729,37.4,-,,,,,,,,,19848,-0.01,15410,,14791,,113,,,,,,1378,,283,,34639,20233,,,,
Q3 2021,5061,2934,2127,42.0,-2573,,,-2573,,,,,,19163,,27460,,35064,,189,,,,,,4211,,398,,-0.01,61797,26733,,,
Q4 2021,15018,8555,6463,43.0,1532,,2996,548,,0.00,,,,27602,65465,37863,,6754,,13,,,,12682,2336,2923,881,1114,20.0,31724,25360,6364,225,,
FY2021,25629,14310,11319,44.2,-2015,,2148,-3537,,-0.02,,,,27602,65465,37863,,6754,,433,,,,22151,3478,8271,2310,2914,8.4,31724,25360,6364,225,,
Q1 2022,5512,2897,2615,47.4,-2559,,,-2559,,,,,,27072,,30313,,38855,,41,,,,,,3529,,455,,-0.01,63915,25060,,,
Q2 2022,14292,8114,6178,43.2,514,,,514,,,,,,25596,,31796,,37383,,441,,,,,,4561,,556,,0.00,63444,26061,,,
Q3 2022,12291,8440,3851,31.3,-928,,,-928,,,,,,32654,,34510,,40552,,137,,,,,,4272,,422,,-0.01,65492,24940,,,
Q4 2022,8813,4420,4393,49.8,-1196,,931,-1270,,-0.01,,,,23655,71365,47710,,8265,,178,,,,5080,3733,3887,176,1348,10.6,37827,39862,-2035,211,,
FY2022,40908,23871,17037,41.6,-1533,,5292,-4243,,-0.02,,,,23655,71365,47710,,8265,,797,,,,24900,16008,12364,1262,4781,12.9,37827,39862,-2035,211,,
Q1 2023,7578,4280,3298,43.5,-1336,,,-1336,,,,,,36634,,31315,,40477,,161,,,,,,4898,,503,,-0.01,65237,24760,,,
Q2 2023,13655,7263,6392,46.8,1997,,,1997,,,,,,40226,,39091,,43660,,98,,,,,,6151,,517,,0.01,70487,26827,,,
Q3 2023,20342,10790,9552,47.0,2301,,,2301,,,,,,37574,,40408,,41124,,61,,,,,,7663,,517,,0.01,70511,29387,,,
Q4 2023,28006,16292,11714,41.8,4434,,5728,2584,,0.01,,,,32059,76419,44360,,5173,,58,,,,19646,8360,4714,1348,1236,20.4,44075,40461,3614,244,,
FY2023,69581,35625,33956,48.8,4887,,14094,5546,,0.03,,,,32059,76419,44360,,5173,,378,,,,52618,16963,17528,4487,4940,20.3,44075,40461,3614,244,,
Q1 2024,20875,10668,10207,48.9,2175,,,2175,,,,,,35183,,41735,,38676,,57,,,,,,6739,,1377,,0.01,73467,34791,,,
Q2 2024,22758,11618,11140,49.0,2609,,,2609,,,,,,23894,,64873,,42099,,30,,,,,,7536,,1375,,0.01,98466,56367,,,
Q3 2024,19550,9293,10257,52.5,2304,,4148,1631,,0.01,,,,58913,101174,42261,,14936,,414,,,,12492,7058,4464,1794,1430,21.2,67647,24377,43270,272,,
Q4 2024,28109,14627,13482,47.9,4920,,7020,13674,,0.05,,,,121735,162613,40878,,58518,,447,,,,18558,9551,6432,1805,1498,25.0,117772,23356,94416,283,,
FY2024,91292,46600,44692,48.9,13815,,20711,20089,,0.09,,,,121735,162613,40878,,58518,,948,,,,66313,24979,20037,6233,5726,22.7,117772,23356,94416,283,,
Q1 2025,16128,6632,9496,58.9,215,,3116,215,,0.00,,,,121918,179021,57103,,,,404,,,,10960,5168,9238,,1601,19.3,123202,28634,,,,
Q2 2025,26390,11006,15384,58.3,-699,,4352,-699,,-0.00,,,,119011,184267,65256,,,,672,,,,14748,11642,13339,,2317,16.5,101986,30173,,,,
Q3 2025,31298,12719,18579,59.4,4290,,7979,3290,,0.01,,,,235851,301543,65692,,126626,,646,,,,18258,13040,9142,2367,2404,25.5,213041,29164,183877,421,,
Q4 2025,28394,8408,19986,70.4,3038,,9516,54,,0.00,,,,239335,313679,74344,,120507,,620,,,,17767,10627,12124,2190,2756,33.5,209477,37913,171564,433,,
FY2025,102210,38765,63445,62.1,8555,,24963,2860,,0.01,,,,239335,313679,74344,,120507,,2342,,,,61733,40477,37161,7861,9078,24.4,209477,37913,171564,433,,
Q1 2026,21705,9469,12236,56.4,-3585,,3004,-3326,,-0.01,,,,236483,715947,479464,,108682,,909,,,,13774,7931,11363,1067,2882,13.8,605541,443164,162377,456,,
