Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AssetsUnderManagement,OperatingProfit,WeightedAvgSecurities
H1 FY2016,882.7,,,,1057.3,119.8,,929.3,105.3,0.502,444.8,3.6,441.2,7890.9,12262.2,4045.5,2848.8,844.7,1770.1,33.3,,,,,,millions,AUD,,356.6,1764.6
FY2016,1714.3,,,,1383.3,80.7,,1294.7,75.5,0.698,830.1,8.4,821.7,8393.3,12387.1,3993.8,2865.2,1337.0,1778.3,66.9,,,,,,millions,AUD,,715.0,1770.3
H1 FY2017,760.9,,,,671.2,88.2,,566.3,74.4,0.302,406.5,2.5,404.0,8680.9,12816.8,4135.9,2902.9,1709.5,1789.1,45.8,,,,,,millions,AUD,,388.2,1785.5
FY2017,1650.5,,,,1130.6,68.5,,796.8,48.3,0.426,586.4,5.2,581.2,8622.2,12711.2,4089.0,2878.3,2095.1,1789.1,85.4,,,,,,millions,AUD,,776.0,1787.3
H1 FY2018,766.2,,,,755.7,98.6,,547.3,71.4,0.294,644.6,3.8,640.8,8672.3,12872.3,4200.0,3130.6,2343.8,1800.8,60.4,,,,,,millions,AUD,,421.3,1796.9
FY2018,1582.7,,,,1452.5,91.8,,1102.8,69.7,0.594,1161.2,5.4,1155.8,9173.7,13459.4,4285.7,3081.5,2406.8,1800.8,125.6,,,,,,millions,AUD,,845.9,1798.8
H1 FY2019,1003.2,,,,1047.9,104.5,,929.2,92.6,0.501,398.9,0.9,398.0,10007.1,14235.0,4227.9,2958.5,2062.6,1813.9,77.1,,,,,,millions,AUD,,465.0,1809.5
FY2019,1718.6,,,,1794.0,104.4,,1627.9,94.7,0.873,827.5,1.7,825.8,10522.5,14912.8,4390.3,2975.0,1607.1,1813.9,196.6,,,,,,millions,AUD,,942.3,1811.7
H1 FY2020,858.0,,,,868.1,101.2,,810.6,94.5,0.432,495.4,0.7,494.7,11076.4,15375.8,4299.4,2839.2,1360.9,1828.4,87.7,,,,,,millions,AUD,,530.4,1823.7
FY2020,1510.9,,,,1697.3,112.3,,1504.1,99.5,0.8,1156.9,2.5,1154.4,11520.6,16138.2,4617.6,2938.5,1781.9,1828.4,164.0,,,,,,millions,AUD,,1060.2,1826.0
H1 FY2021,1311.5,,,,911.1,69.5,,1041.5,79.4,0.551,878.5,1.3,877.2,11968.3,15458.2,3489.9,2043.8,1275.2,1847.4,111.8,,,,,,millions,AUD,,614.9,1841.1
FY2021,1988.3,,,,2345.1,117.9,,2311.9,116.3,1.221,1114.7,7.0,1107.7,13161.5,16867.0,3705.5,2060.3,920.4,1847.4,268.8,,,,,,millions,AUD,,1219.4,1844.2
H1 FY2022,1034.0,,,,2301.6,222.6,,2002.8,193.7,1.052,279.1,4.9,274.2,15192.2,19154.5,3962.3,2087.7,719.6,1868.2,201.8,,,,,,millions,AUD,,786.2,
FY2022,2091.8,,,,3960.9,189.4,,3414.0,163.2,1.788,841.0,5.9,835.1,16424.8,21432.4,5007.6,2832.2,1056.0,1868.2,257.6,,,,,,millions,AUD,,1528.0,1863.7
H1 FY2023,1019.0,,,,1302.3,127.8,,1097.0,107.7,0.574,515.6,2.6,513.0,17501.4,23205.3,5703.9,3173.9,981.6,1880.5,122.9,,,,,,millions,AUD,79.5,876.5,1876.0
FY2023,1968.9,,,,1976.9,100.4,,1559.9,79.2,0.813,1284.2,13.0,1271.2,18024.8,24027.2,6002.4,3292.9,1360.1,1883.8,286.0,,,,,,millions,AUD,,1783.2,1878.6
H1 FY2024,1069.7,,,,-312.5,-29.2,,-220.1,-20.6,-0.116,337.7,7.0,330.7,,,,,,1894.2,181.1,,,,,,millions,AUD,79.0,1127.4,1894.2
FY2024,1983.4,,,,-34.5,-1.7,,-98.9,-5.0,-0.052,1188.6,10.5,1178.1,17537.9,23828.1,6290.2,3686.7,1785.3,1899.2,501.4,,,,,,millions,AUD,,2049.4,1896.7
H1 FY2025,1339.1,,,,1288.5,96.2,,799.8,59.7,0.409,340.2,4.1,336.1,18912.8,27391.7,8478.9,5862.8,1489.1,1911.6,178.8,,,,,,millions,AUD,,1222.4,1907.7
FY2025,2311.0,,,,2077.0,89.9,,1666.4,72.1,0.844,959.6,6.4,953.2,23310.1,31565.3,8255.2,5235.5,3957.1,2031.2,356.2,,,,,,millions,AUD,,2311.2,1950.9
H1 FY2026,1103.1,,,,868.4,78.7,,824.7,74.8,0.395,592.4,40.4,552.0,23750.9,30324.4,6573.5,4126.3,2963.4,2044.8,202.3,,,,,,millions,AUD,,1203.5,2040.4
FY2026,2562.7,,,,2493.1,97.3,,2778.7,108.4,1.329,1920.6,39.5,1881.1,24948.2,33432.5,8484.3,6030.8,4081.5,2044.8,465.8,,,,,,millions,AUD,75.4,2674.5,2042.6
