Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AISC,GoldPriceAchieved,GoldProduction,LeasePrincipalPaid
H1 FY2016,0.001316,,,,,,,-3.891964,,-0.014,-3.042564,0.00944,-3.052004,-4.9092,2.876119,7.785319,6.944444,2.652637,,0.03549,,,,,,millions,AUD,,,,
FY2016,0.034995,,,,,,,-7.805445,,-0.026,-6.273819,0.021409,-6.295228,3.189902,11.656632,8.46673,6.756756,11.376615,300.085223,0.081579,,,,,,millions,AUD,,,,
H1 FY2017,0.151086,,,,,,,-6.164996,,-0.013,-6.352991,0.034744,-6.387735,17.162165,18.845951,1.683786,0.0,18.475959,,0.067291,,,,,,millions,AUD,,,,
FY2017,0.256663,,,,,,,-14.323895,,-0.03,-14.209786,0.121411,-14.331197,9.081122,11.051621,1.970499,0.0,10.54995,473.135959,0.141531,,,,,,millions,AUD,,,,
FY2018-6moStub,0.405,,,,,,,-3.536,,-0.005,-4.23,11.872,-16.102,79.851,89.609,11.845,0.0,66.355,707.811612,0.172,,,,,,millions,AUD,,,,
H1 FY2018,0.20014,,,,,,,-13.370038,,-0.024,-11.234952,0.126529,-11.361481,17.795415,21.802788,4.007373,0.0,21.301881,,0.149654,,,,,,millions,AUD,,,,
FY2018,0.461,,,,,,,-25.3,,-0.043,-23.046,0.316,-23.362,39.292,43.689,4.397,0.0,42.565,583.840378,0.297,,,,,,millions,AUD,,,,
H1 FY2019,0.768,,,,,,,-3.159,,-0.004,-3.317,76.419,-79.736,79.729,196.123,118.81,101.889,79.305,872.947253,0.505,,,,,,millions,AUD,,,,0.386
FY2019,1.239,,,,,,,-4.275,,-0.005,-6.587,200.081,-206.668,76.352,335.959,261.728,235.085,83.584,876.071746,0.533,,,,,,millions,AUD,,,,1.13
H1 FY2020,58.847,31.78,27.067,46.0,,,,2.866,4.9,0.004,51.092,83.427,-32.335,80.174,469.268,390.413,287.259,83.166,878.053198,1.24,,,,,,millions,AUD,,,,1.193
FY2020,311.167,145.148,166.019,53.4,,,,89.362,28.7,0.113,147.921,109.456,38.465,165.229,530.713,358.448,226.333,95.027,880.451906,2.343,,,,,,millions,AUD,1478.0,,133534.0,2.949
H1 FY2021,266.77,125.952,140.818,52.8,,,,65.227,24.5,0.073,101.067,33.689,67.378,232.345,532.213,287.593,148.658,60.896,892.258581,1.248,,,,,,millions,AUD,1223.0,,119104.0,2.68
FY2021,712.14,306.805,405.335,56.9,,,,188.964,26.5,0.209,349.66,55.257,294.403,525.047,804.247,249.841,13.118,183.374,912.120649,2.492,,,,,,millions,AUD,1060.0,,287619.0,5.331
H1 FY2022,322.324,145.501,176.823,54.9,,,,94.765,29.4,0.093,99.32,45.917,53.403,616.184,859.359,210.31,14.048,221.747,1032.087079,1.266,,,,,,millions,AUD,1316.0,,128362.0,4.186
FY2022,608.228,324.677,283.551,46.6,,,,164.443,27.0,0.161,184.098,114.881,69.217,700.498,878.705,138.138,14.106,173.393,1021.110697,2.456,,,,,,millions,AUD,1561.0,,230424.0,7.544
H1 FY2023,309.675,181.787,127.888,41.3,,,,74.351,24.0,0.073,109.897,108.647,1.25,790.992,1001.893,171.476,14.536,166.972,1034.585286,0.594,,,,,,millions,AUD,1726.0,,112752.0,2.604
FY2023,661.225,390.874,270.351,40.9,,,,146.873,22.2,0.143,208.612,228.337,-19.725,861.204,1220.839,315.008,147.18,135.08,1024.736383,2.597,,,,,,millions,AUD,1708.0,2923.0,222778.0,5.328
H1 FY2024,344.411,186.49,157.921,45.9,,,,82.175,23.9,0.08,116.34,179.646,-63.306,939.868,1575.165,583.161,367.265,425.141,1034.463946,1.281,,,,,,millions,AUD,1857.0,,111730.0,4.977
FY2024,729.984,377.704,352.28,48.3,,,,223.844,30.7,0.207,251.64,487.347,-235.707,1246.984,1974.3,660.423,406.491,391.67,1086.151959,3.082,,,,,,millions,AUD,1879.0,3624.0,211120.0,8.155
H1 FY2025,477.316,215.212,262.104,54.9,,,,185.797,38.9,0.163,159.46,248.587,-89.127,1447.559,2266.452,806.24,412.063,279.235,1148.436359,2.438,,,,,,millions,AUD,2166.0,,95210.0,2.675
FY2025,1543.0,663.0,880.0,57.0,,,,473.9,30.7,0.416,789.7,431.3,358.4,1720.0,2715.6,957.4,438.2,584.1,1147.820978,6.1,,,,,,millions,AUD,2308.0,5466.0,294503.0,7.4
H1 FY2026,1462.7,585.6,877.1,60.0,,,,351.4,24.0,0.307,689.8,202.6,487.2,1958.5,3102.9,1108.3,388.1,876.3,1150.260885,2.5,,,,,,millions,AUD,2596.0,,230259.0,3.5
