Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,BasicEPS,LeasePrincipalPaid,OnMarketBuyback,TreasurySharesPurchased,SegmentEBIT_ES,SegmentEBIT_JBHiFiAustralia,SegmentEBIT_JBHiFiNZ,SegmentEBIT_TheGoodGuys,SegmentRevenue_ES,SegmentRevenue_JBHiFiAustralia,SegmentRevenue_JBHiFiNZ,SegmentRevenue_TheGoodGuys
H1 FY2016,2116.817,1657.245,459.572,21.7,138.394,6.5,157.935,95.192,4.5,0.9516,259.636,28.822,230.8,405.881,1170.169,764.288,0.0,101.416,100.03,2.636,,,,,,millions,AUD,0.9613,,13.181,,,,,,,2000.864,115.953,
FY2016,3954.467,3089.059,865.408,21.9,220.547,5.6,262.076,152.181,3.8,1.5213,185.14,52.343,132.8,404.702,992.381,587.679,109.736,51.884,100.03,4.307,,,,,,millions,AUD,1.5376,,13.181,,,,,,,3739.358,215.109,
H1 FY2017,2616.2,2045.1,571.1,21.8,166.8,6.4,188.5,110.4,4.2,1.014,276.1,20.1,256.0,872.8,2685.3,1812.5,423.4,124.5,108.88,3.0,,,,,,millions,AUD,1.024,,,,,,,,,2234.2,118.9,263.1
FY2017,5628.0,4397.5,1230.5,21.9,268.2,4.8,337.9,172.4,3.1,1.5294,190.6,49.1,141.5,853.5,2452.3,1598.8,558.8,72.8,112.72,5.3,,360.3,,,,millions,AUD,1.543,,,,,,,,,4148.6,221.0,1258.4
H1 FY2018,3689.8,2895.9,793.9,21.5,226.0,6.1,256.3,151.7,4.1,1.31,373.7,30.4,343.3,958.7,2809.1,1850.4,374.2,182.7,115.8,4.0,,,,,,millions,AUD,1.322,,,,,,,,,2476.0,114.0,1099.8
FY2018,6854.3,5384.1,1470.2,21.4,350.6,5.1,411.7,233.2,3.4,2.0111,292.1,54.4,237.7,947.6,2491.7,1544.1,469.4,72.0,115.96,7.8,,,,,,millions,AUD,2.0309,,,,,,,,,4539.7,213.3,2101.3
H1 FY2019,3843.7,3015.7,828.0,21.5,236.6,6.2,264.3,160.1,4.2,1.38,280.3,36.5,243.8,1055.2,2837.0,1781.8,330.8,117.1,116.01,5.4,,,,,,millions,AUD,1.394,,,8.9,,,,,,2591.3,121.7,1130.7
FY2019,7095.3,5568.2,1527.1,21.5,372.9,5.3,429.1,249.8,3.5,2.1527,301.6,59.3,242.3,1044.1,2548.8,1504.7,439.1,119.2,116.04,10.2,,,,,,millions,AUD,2.1744,,,8.8,,,,,,4726.0,221.4,2147.9
H1 FY2020,3995.2,3135.0,860.2,21.5,263.0,6.6,372.1,170.6,4.3,1.475,284.5,26.3,258.2,1097.3,3637.9,2540.6,292.3,76.8,115.66,5.3,,,,,,millions,AUD,1.485,80.1,,16.2,,,,,,2722.4,125.3,1147.5
FY2020,7918.9,6224.8,1694.1,21.4,483.3,6.1,718.0,302.3,3.8,2.6069,981.3,43.1,938.2,1105.7,3152.3,2046.6,0.0,251.5,115.96,12.1,,,,,,millions,AUD,2.6311,161.8,,32.9,,391.5,-21.1,112.9,,5318.9,211.2,2388.8
H1 FY2021,4941.2,3856.0,1085.2,22.0,462.8,9.4,571.9,317.7,6.4,2.747,446.7,28.0,418.7,1318.0,3824.3,2506.3,0.0,472.8,115.65,6.4,,,,,,millions,AUD,2.765,84.0,,10.1,,329.8,6.4,126.6,,3355.7,135.0,1450.5
FY2021,8916.1,6938.9,1977.2,22.2,743.1,8.3,961.6,506.1,5.7,4.3783,558.7,57.7,501.0,1308.4,3255.3,1946.9,0.0,263.2,115.59,13.5,,,,,,millions,AUD,4.4075,168.9,,10.2,,523.0,5.4,214.7,,5956.8,243.6,2715.7
H1 FY2022,4861.8,3797.4,1064.4,21.9,420.5,8.6,529.0,287.9,5.9,2.496,850.2,30.9,819.3,1454.3,3847.2,2392.9,0.0,844.5,115.34,6.9,,,,,,millions,AUD,2.506,87.0,,27.9,,292.4,7.0,121.1,,3290.5,131.9,1439.4
FY2022,9232.0,7151.6,2080.4,22.5,794.6,8.6,1013.9,544.9,5.9,4.7745,627.4,57.6,569.8,1280.3,3161.4,1881.1,59.4,125.6,114.13,12.8,,,,,,millions,AUD,4.7946,177.6,,28.2,,544.9,8.3,241.4,,6196.5,246.1,2789.4
H1 FY2023,5278.5,4076.7,1201.8,22.8,479.2,9.1,592.6,329.9,6.2,3.006,635.1,34.1,601.0,1433.5,3598.6,2165.1,0.0,391.2,109.75,7.0,,,,,,millions,AUD,3.018,91.1,,17.3,,341.3,4.9,133.0,,3588.8,145.7,1544.0
