Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AverageClientBalances,MarginIncome,ShareholderAccounts
H1 FY2016,933.447,,,,,,,86.268,9.241874471716123,0.1522,-25.561,9.767,-35.328,1111.197,3794.139,2682.942,,498.869,,,,,,,,millions,USD,,,
FY2016,1961.125,,,,299.489,15.271285614124544,446.505,161.798,8.250264516540252,0.2855,304.647,193.16500000000002,111.48199999999997,1108.733,3977.748,2869.015,,526.575,547.259,43.925,,,,,,millions,USD,,,
H1 FY2017,999.124,,,,,,,153.0,15.313414551146803,0.2748,184.98,13.466,171.51399999999998,1151.481,3969.614,2818.133,,579.43,546.336,,,,,,,millions,USD,,,
FY2017,2105.76,,,,295.009,14.009621229389863,414.10900000000004,271.701,12.902752450421701,0.5169,457.682,144.91500000000002,312.767,1237.028,3947.03,2710.002,172.103,489.917,546.331,44.244,,,,,,millions,USD,,,
H1 FY2018,1122.866,,,,,,,175.5,15.629647705068994,0.3143,205.415,17.01,188.405,1301.494,3961.533,2660.039,,519.243,544.779,,,,,,,millions,USD,,,
FY2018,2289.89,,,,452.01300000000003,19.739507137897455,572.4630000000001,308.329,13.464795252173687,0.5517,514.051,160.525,353.52600000000007,1333.397,3888.196,2554.799,474.141,500.888,543.875,42.221,,,,,,millions,USD,,,
H1 FY2019,1120.996,,,,,,,262.503,23.41694350381268,0.4777,68.881,33.565,35.316,1474.133,4518.931,3044.798,,509.981,542.956,,,,,,,millions,USD,,,
FY2019,2346.0,,,,595.0409999999999,25.36406649616368,735.6529999999999,418.955,17.85826939471441,0.7657,286.758,157.448,129.30999999999997,1574.071,4684.955,3110.884,2028.574,561.346,542.956,40.047,,,,,,millions,USD,,,
H1 FY2020,1121.25,,,,,,,124.731,11.124280936454849,0.23,230.082,14.042,216.04,1562.309,4917.092,3354.783,2097.6479999999997,548.499,541.956,,,,,,,millions,USD,,,
FY2020,2277.28,,,,390.688,17.155905290522025,596.856,232.731,10.219691913159558,0.4255,608.805,211.583,397.222,1590.319,4989.751,3399.432,2029.8200000000002,597.313,541.421,32.611,,,,,,millions,USD,,,
H1 FY2021,1092.353,,,,,,,72.49,6.636133191376779,0.1341,54.696,8.018,46.678,1627.677,5154.679,3527.002,2154.009,592.411,540.88,,,,,,,millions,USD,,,
FY2021,2283.16,,,,324.999,14.234613430508594,564.289,189.199,8.286716655862927,0.3377,306.636,141.281,165.35500000000002,2279.597,5251.885,2972.288,1709.9859999999999,816.81,559.519,37.105,,,,,,millions,USD,,,
H1 FY2022,1157.187,,,,,,,92.145,7.962844380381045,0.1525,219.255,12.281,206.974,2218.756,6096.231,3877.475,2511.608,969.435,546.234,,,,,,,millions,USD,,,
FY2022,2565.05,,,,347.87,13.561918870977173,621.89,227.78,8.880138788717568,0.3771,494.535,108.473,386.062,2194.465,6093.359,3898.894,2402.351,1000.82,603.729,39.523,,,,,,millions,USD,,,
H1 FY2023,1504.934,,,,,,,177.361,11.785300883626789,0.2933,173.49,17.163,156.327,2075.933,6212.36,4136.427,2463.62,998.046,603.729,,,,,,,millions,USD,,,
FY2023,3200.84,,,,712.396,22.2565326601767,992.4079999999999,444.718,13.893790380025242,0.7367,600.998,112.59899999999999,488.39900000000006,2140.982,6146.385,4005.403,2357.867,1141.695,603.729,34.9,,,,,,millions,USD,,,
H1 FY2024,1408.781,,,,320.25,22.732419020415524,,105.38,7.48022581224477,0.1747,322.151,17.165,304.986,2112.614,6181.511,4068.897,2346.235,1241.15,603.212,,,,,,,millions,USD,,,
FY2024,2972.811,,,,829.104,27.88956311047019,991.268,352.93,11.871928622438494,0.589,728.964,118.832,610.1320000000001,1948.603,5118.619,3170.016,1655.294,1193.939,598.65,36.041,,,,,,millions,USD,,,
H1 FY2025,1498.788,,,,374.297,24.973311769242883,,288.071,19.22026330608465,0.4895,354.213,25.156,329.057,1920.818,5048.309,3127.491,1617.321,1122.42,587.867,,,,,,,millions,USD,,,
FY2025,3114.621,,,,906.825,29.115099397326354,1071.337,607.564,19.50683566315131,1.0345,823.653,43.576,780.077,2154.092,5335.428,3181.336,1783.575,1255.669,586.792,43.0,,,,,,millions,USD,29.9,760.8,
H1 FY2026,1579.4,,,,378.9,23.99012283145498,,280.6,17.766240344434596,0.4848,336.9,15.6,321.29999999999995,2247.0,5103.9,2856.9,1516.1,1138.7,578.387,,,,,,,millions,USD,,,
FY2026,3257.5,,,,931.0,28.580199539524177,1105.4,619.2,19.00844205679202,1.0697,836.6,35.4,801.2,2287.4,4966.7,2679.3,1197.8,1053.7,578.387,49.9,,,,,,millions,USD,31.7,748.7,33.9
