Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,LeasePrincipalPaid
H1 FY2016,577.16,,,,70.016,12.1,134.01,48.213,8.4,0.2567,164.966,90.866,74.1,1073.253,1679.665,587.001,117.404,291.618,187.82,,,,,,,millions,AUD,
FY2016,1177.641,,,,-39.529,-3.4,94.439,-24.857,-2.1,-0.1331,315.997,127.221,188.776,989.79,1618.369,609.715,219.428,407.293,186.75,,,,,,,millions,AUD,
H1 FY2017,782.721,,,,204.947,26.2,283.108,140.349,17.9,0.7505,108.584,132.992,-24.408,1097.614,1891.355,774.916,302.256,388.67,187.01,,,,,,,millions,AUD,
FY2017,1457.992,,,,300.177,20.6,460.406,201.408,13.8,1.0766,295.529,216.379,79.15,1113.73,1834.512,702.42,274.661,378.169,187.08,,,,,,,millions,AUD,
H1 FY2018,854.491,,,,238.415,27.9,297.527,163.631,19.1,0.873,136.832,70.665,66.167,1218.697,1922.304,685.464,225.621,319.36,187.44,,,,,,,millions,AUD,
FY2018,1624.431,,,,400.319,24.6,513.195,272.498,16.8,1.453,411.428,342.128,69.3,1286.756,2085.335,780.769,239.289,240.406,187.54,,,,,,,millions,AUD,
H1 FY2019,554.695,,,,26.804,4.8,72.595,13.519,2.4,0.072,-13.025,494.176,-507.201,1220.624,2592.081,1354.204,789.165,136.202,187.76,,,,,,,millions,AUD,30.766
FY2019,1511.975,,,,269.885,17.8,378.519,163.669,10.8,0.8709,186.099,810.145,-624.046,1361.22,3161.257,1781.051,1136.984,265.399,187.93,20.904,,,,,,millions,AUD,
H1 FY2020,986.646,,,,1323.669,134.2,1416.163,884.403,89.6,4.7006,160.505,191.97,-31.465,2191.422,4309.082,2099.036,1227.566,1306.875,188.15,3.367,,,,,,millions,AUD,34.363
FY2020,2124.7,,,,1526.7,71.9,1720.3,1003.7,47.2,5.3296,594.6,390.9,203.7,2264.8,4630.9,2335.3,1290.7,1521.8,188.33,6.0,,,,,,millions,AUD,64.0
H1 FY2021,1530.5,,,,786.9,51.4,890.5,519.0,33.9,2.7527,183.5,351.1,-167.6,,,,,1113.4,188.54,,,,,,,millions,AUD,65.3
FY2021,3733.6,,,,1878.5,50.3,2136.5,1269.7,34.0,6.7318,1309.4,759.7,549.7,3203.5,5852.9,2606.8,1261.9,1542.1,188.61,10.3,,,,,,millions,AUD,109.8
H1 FY2022,1353.5,,,,72.9,5.4,235.1,19.2,1.4,0.1017,-120.4,603.3,-723.7,2886.9,5559.5,2629.6,1333.3,750.5,188.79,0.6,,,,,,millions,AUD,69.4
FY2022,3418.0,,,,601.8,17.6,954.0,349.2,10.2,1.8487,279.8,999.9,-720.1,3226.9,7811.1,4540.0,3125.7,2428.2,188.89,12.3,,,,,,millions,AUD,150.0
H1 FY2023,2350.1,,,,685.3,29.2,943.5,388.6,16.5,2.0218,281.0,740.9,-459.9,3447.3,8168.5,4675.5,3108.4,1714.3,192.2,6.7,,,,,,millions,AUD,53.9
FY2023,4779.1,,,,554.4,11.6,1004.8,243.3,5.1,1.2625,1353.7,1820.9,-467.2,3475.1,8395.2,4873.4,3234.1,1379.1,192.71,33.0,,,,,,millions,AUD,110.5
H1 FY2024,2514.7,,,,612.6,24.4,866.2,537.3,21.4,2.7241,624.2,2144.7,-1520.5,3954.9,10953.7,6968.4,4929.8,1383.1,197.24,16.2,,,,,,millions,AUD,60.8
FY2024,5278.0,,,,309.0,5.9,937.0,125.0,2.4,0.6354,1449.0,4135.0,-2686.0,3545.0,12232.0,8648.0,5336.0,908.0,196.73,32.0,,,,,,millions,AUD,78.0
H1 FY2025,2290.0,,,,-972.0,-42.4,-570.0,-809.0,-35.3,-4.1042,-656.0,1442.0,-2098.0,3312.0,12521.0,8736.0,5804.0,720.0,197.12,18.0,,,,,,millions,AUD,
FY2025,4472.0,,,,-804.0,-18.0,-46.0,-904.0,-20.2,-4.5881,-475.0,2156.0,-2631.0,3226.0,11927.0,8268.0,5762.0,412.0,197.03,22.0,,901.0,,,,millions,AUD,184.0
H1 FY2026,3052.0,,,,1031.0,33.8,1497.0,495.0,16.2,2.501,880.0,604.0,276.0,3732.0,11928.0,7716.0,5516.0,638.0,197.92,36.0,,,,,,millions,AUD,
FY2026,6461.0,,,,2075.0,32.1,3003.0,1061.0,16.4,5.338,2084.0,1222.0,862.0,4341.0,12885.0,8071.0,5829.0,1562.0,198.76,77.0,,2551.0,,,,millions,AUD,198.0
